Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
019,001,012,069,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Florida,Lake County,285793,2371,247712,2192,38021,2339,20339,1737,9683,1071,7999,1126,60,96,3,5
019,001,012,127,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Florida,Volusia County,482051,3847,413477,4170,68461,2673,40172,2212,13360,1650,14929,1343,113,84,4,9
019,001,017,073,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Illinois,Henry County,48629,609,43946,644,4683,621,2333,431,1517,370,833,266,,,10,14
019,001,019,003,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Adams County,4047,161,3721,97,326,148,96,61,230,135,,,,,10,14
019,001,019,025,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Calhoun County,9489,332,8224,248,1265,259,639,193,502,145,124,86,,,19,21
019,001,019,029,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Cass County,13409,334,11638,305,1771,339,1117,240,470,204,184,117,,,12,11
019,001,019,069,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Franklin County,10505,265,9439,241,1066,260,495,151,402,152,169,101,,,2,3
019,001,019,075,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Grundy County,12267,378,10865,221,1402,348,442,131,640,265,320,185,,,6,8
019,001,019,077,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Guthrie County,11014,408,9622,303,1392,354,505,179,838,288,49,42,,,92,55
019,001,019,099,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Jasper County,36412,664,30733,549,5679,771,2947,501,1965,412,767,331,,,1,2
019,001,019,111,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Lee County,35165,544,30841,555,4324,596,2612,506,1025,231,687,220,,,1,3
019,001,019,121,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Madison County,15162,354,13239,328,1923,365,1016,290,750,187,157,117,,,97,118
019,001,019,151,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Pocahontas County,7352,212,6486,187,866,275,525,156,232,100,109,149,,,11,17
019,001,019,153,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Polk County,404573,2031,331983,2572,72590,2492,51148,2232,12646,922,8796,841,,,62,91
019,001,029,147,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Missouri,Nodaway County,20766,594,15320,469,5446,657,3613,514,886,227,947,346,,,6,10
019,001,035,001,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,New Mexico,Bernalillo County,612170,2940,502137,3939,109975,4145,76033,3664,12846,1411,21096,1883,58,55,68,97
019,001,048,121,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Texas,Denton County,575682,4533,470378,4315,105304,3703,61372,2832,31039,1788,12893,1334,,,4,6
019,001,048,201,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Texas,Harris County,3799782,7697,3078709,10666,720853,11441,543415,10395,112535,3939,64903,3114,220,131,10,19
019,001,048,439,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Texas,Tarrant County,1656915,5428,1343857,6241,313044,6751,216163,5630,65844,2994,31037,1950,14,22,16,23
019,001,051,670,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Virginia,Hopewell city,22684,747,18841,641,3843,827,1834,686,1451,459,558,280,,,2,4
019,003,004,012,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Arizona,La Paz County,19802,522,17289,452,2513,495,1277,386,760,230,476,162,,,11,17
019,003,019,001,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,4,6
019,003,019,099,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Jasper County,36412,664,30733,549,5679,771,2947,501,1965,412,767,331,,,16,21
019,003,019,103,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Johnson County,118706,1569,88252,1568,30454,1767,19619,1376,4762,527,6073,754,,,3,6
019,003,019,107,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Keokuk County,10757,296,9125,249,1632,299,663,202,837,209,132,117,,,4,6
019,003,019,137,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Montgomery County,10802,246,9283,326,1519,355,949,299,475,182,95,69,,,34,30
019,003,019,153,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Polk County,404573,2031,331983,2572,72590,2492,51148,2232,12646,922,8796,841,,,12,15
019,003,019,155,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Pottawattamie County,87676,1157,71582,1431,16094,1357,10349,1236,1626,313,4119,634,,,1,1
019,003,019,159,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Ringgold County,5117,240,4431,150,686,233,280,103,361,214,45,51,,,1,1
019,003,019,169,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Story County,80179,1472,56418,1159,23753,1496,14771,1081,4576,669,4406,770,8,12,1,1
019,003,019,173,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Taylor County,6487,213,5903,98,584,189,135,49,254,109,195,160,,,19,24
019,003,019,175,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Union County,11903,385,9909,333,1994,424,1168,330,676,221,150,98,,,46,42
019,003,019,193,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Woodbury County,100112,1499,81691,1460,18421,1679,12065,1333,1662,395,4694,984,,,22,32
019,003,029,047,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Missouri,Clay County,211841,2037,177568,1931,34273,2155,19729,1661,9585,1090,4959,714,,,12,17
019,003,031,055,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Nebraska,Douglas County,489280,2025,395401,2595,93864,2806,63596,2480,13041,1201,17227,1341,15,24,7,11
019,003,031,153,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Nebraska,Sarpy County,140809,1659,119822,1236,20987,1489,9234,809,6229,831,5524,819,,,5,8
019,003,ASI,000,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Asia,-,,,,,,,,,,,,,,,7,11
019,005,006,037,Iowa,Allamakee County,14336,44,12265,357,2016,357,1270,312,517,236,229,98,55,46,California,Los Angeles County,9724599,9720,8385192,16130,1338968,17409,966637,14727,210484,5947,161847,4541,439,272,1,3
019,005,012,083,Iowa,Allamakee County,14336,44,12265,357,2016,357,1270,312,517,236,229,98,55,46,Florida,Marion County,306334,2259,261444,2650,44884,2697,29583,2060,7950,1061,7351,1022,6,10,1,3
