Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
026,001,004,019,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Arizona,Pima County,952798,3988,766189,5644,186563,6221,143700,5281,15801,1682,27062,1646,46,62,3,4
026,001,008,093,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Colorado,Park County,15717,872,13670,849,2047,460,542,248,1091,357,414,242,,,6,8
026,001,012,071,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Florida,Lee County,550928,3617,464022,3948,86761,3476,59111,2646,11984,1222,15666,1291,145,108,10,14
026,001,012,101,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Florida,Pasco County,431628,3188,372440,3369,59108,3376,33225,2502,16512,1674,9371,1133,80,66,10,12
026,001,018,147,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Indiana,Spencer County,20821,474,18022,390,2799,555,1184,369,1262,365,353,151,,,3,5
026,001,026,007,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Alpena County,29294,508,26158,526,3136,489,1867,393,736,257,533,334,,,13,11
026,001,026,011,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Arenac County,16663,486,14267,311,2396,390,961,197,1236,321,199,152,,,12,15
026,001,026,033,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Chippewa County,37807,779,30922,738,6885,633,3478,430,2518,382,889,268,,,4,7
026,001,026,049,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Genesee County,433697,1824,365424,2739,68273,2434,47001,2457,13152,1082,8120,986,,,11,11
026,001,026,051,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Gladwin County,25684,420,23265,321,2419,387,1272,244,797,241,350,165,,,10,13
026,001,026,055,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Grand Traverse County,83727,990,71606,1129,12121,1073,7204,999,3571,452,1346,368,,,8,10
026,001,026,057,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Gratiot County,42086,812,35156,593,6930,801,3165,486,2894,546,871,311,,,8,10
026,001,026,065,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Ingham County,271174,2109,214012,2195,57162,2475,32890,1784,15613,1137,8659,997,,,43,38
026,001,026,069,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Iosco County,26137,513,22763,476,3374,466,1587,358,1108,247,679,266,,,127,79
026,001,026,085,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Lake County,11477,447,9942,270,1535,342,334,103,806,282,395,159,,,7,9
026,001,026,093,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Livingston County,179953,1746,161241,1337,18712,1373,8854,891,6675,855,3183,690,,,16,17
026,001,026,099,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Macomb County,819844,3182,723251,3530,96593,3752,59367,2790,24807,1843,12419,1552,,,19,17
026,001,026,119,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Montmorency County,10264,369,9054,209,1210,344,466,157,680,300,64,42,,,4,6
026,001,026,125,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Oakland County,1191211,3785,1030982,4435,160148,4445,92068,3577,40782,2099,27298,2118,81,89,60,29
026,001,026,135,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Oscoda County,8944,218,7894,192,1050,217,446,150,238,112,366,159,,,19,18
026,001,026,145,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Saginaw County,201276,1298,171459,1597,29817,1735,20193,1426,6523,808,3101,500,,,22,18
026,001,026,163,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Michigan,Wayne County,1989373,5342,1668821,6613,320508,7231,226903,6010,56082,3074,37523,2518,44,60,118,70
026,001,039,151,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Ohio,Stark County,374094,1948,322076,2379,52018,2351,37080,2120,9060,905,5878,892,,,24,30
026,001,053,067,Michigan,Alcona County,11293,19,10307,158,986,156,423,103,501,122,62,38,,,Washington,Thurston County,230555,1883,191227,2135,39328,2409,25027,2081,8077,877,6224,825,,,6,9
026,003,002,090,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Alaska,Fairbanks North Star Borough,99178,2177,70967,1673,28211,2408,12946,1470,2072,461,13193,1597,,,20,32
026,003,004,013,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Arizona,Maricopa County,3722654,7682,2993298,11083,729328,10990,569170,9886,47055,2726,113103,4066,28,36,4,5
026,003,017,031,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Illinois,Cook County,5236008,8026,4424233,10635,810967,11783,575364,10651,101344,4126,134259,4548,808,265,6,10
026,003,017,197,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Illinois,Will County,651928,3289,578499,3536,73429,3064,38073,2447,24224,1567,11132,1268,,,3,6
026,003,026,001,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343,185,,,13,20
026,003,026,013,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Baraga County,8426,183,7553,145,873,192,310,129,485,138,78,72,,,49,49
026,003,026,033,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Chippewa County,37807,779,30922,738,6885,633,3478,430,2518,382,889,268,,,3,7
026,003,026,037,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Clinton County,69659,863,62444,657,7215,686,2620,407,3593,465,1002,350,,,2,4
026,003,026,039,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Crawford County,13536,404,11982,454,1554,387,777,262,662,216,115,82,,,7,11
026,003,026,041,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Delta County,36973,465,32956,680,4017,586,2545,427,660,180,812,274,,,12,19
026,003,026,047,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Emmet County,33129,522,28503,457,4626,507,2456,381,1586,305,584,224,,,5,6
026,003,026,053,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Gogebic County,15930,304,14235,314,1695,320,895,269,462,168,338,133,,,11,19
026,003,026,055,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Grand Traverse County,83727,990,71606,1129,12121,1073,7204,999,3571,452,1346,368,,,25,21
026,003,026,057,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Gratiot County,42086,812,35156,593,6930,801,3165,486,2894,546,871,311,,,37,47
026,003,026,061,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541,171,62,33,6,8,Michigan,Houghton County,33511,738,27825,694,5686,632,3399,517,844,186,1443,351,,,12,20
