Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
046,003,002,090,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,Alaska,Fairbanks North Star Borough,99178,2177,70967,1673,28211,2408,12946,1470,2072,461,13193,1597,,,4,6
046,003,027,161,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,Minnesota,Waseca County,19168,463,16607,395,2561,556,1255,338,737,191,569,303,,,8,7
046,003,037,119,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,North Carolina,Mecklenburg County,825205,3954,660480,4698,164692,4780,110845,3888,22495,1630,31352,2040,33,30,13,23
046,003,037,195,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,North Carolina,Wilson County,74594,915,63802,1156,10792,1195,7580,1067,2492,455,720,260,,,7,12
046,003,044,007,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,Rhode Island,Providence County,620614,2572,532841,2982,87533,3188,61169,2666,6216,778,20148,1539,240,246,6,12
046,003,045,019,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Carolina,Charleston County,338161,3012,276573,2919,61588,2647,33485,2021,14230,1403,13873,1298,,,12,23
046,003,045,059,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Carolina,Laurens County,67393,1176,57664,1216,9729,1296,6763,1056,2483,597,483,176,,,7,12
046,003,046,015,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Dakota,Brule County,5129,263,4408,279,721,259,237,209,353,170,131,93,,,12,17
046,003,046,023,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Dakota,Charles Mix County,9116,268,7630,221,1486,334,738,203,470,187,278,171,,,8,9
046,003,046,027,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Dakota,Clay County,13275,687,8872,423,4403,684,1892,413,1317,369,1194,416,,,2,6
046,003,046,035,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Dakota,Davison County,18130,747,14917,751,3213,580,1884,455,782,201,547,256,,,40,29
046,003,046,081,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Dakota,Lawrence County,22528,721,18572,562,3956,688,1887,438,873,360,1196,390,,,3,4
046,003,046,085,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Dakota,Lyman County,3923,148,3373,101,550,153,216,86,207,88,127,100,,,9,13
046,003,046,099,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Dakota,Minnehaha County,173103,1392,141343,2001,31727,1898,20556,1649,5061,620,6110,861,33,51,32,23
046,003,046,101,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Dakota,Moody County,6383,264,5704,227,679,229,364,150,237,164,78,55,,,3,5
046,003,046,111,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South Dakota,Sanborn County,2303,131,2083,115,220,84,71,30,128,78,21,33,,,5,7
046,003,051,155,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,Virginia,Pulaski County,34161,770,29320,741,4841,717,2769,533,1437,399,635,245,,,12,23
046,003,055,017,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,Wisconsin,Chippewa County,58299,819,51608,666,6691,672,3745,517,2241,454,705,212,,,6,8
046,003,072,000,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,Puerto Rico,-,,,,,,,,,,,,,,,6,12
046,003,CAM,000,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,Central America,-,,,,,,,,,,,,,,,14,16
046,003,EUR,000,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,Europe,-,,,,,,,,,,,,,,,4,6
046,003,SAM,000,South Dakota,Aurora County,2858,11,2561,121,265,108,76,36,114,48,75,103,32,28,South America,-,,,,,,,,,,,,,,,8,12
046,005,001,089,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Alabama,Madison County,303594,2582,252912,2287,50682,2837,33567,2211,7860,961,9255,1343,,,31,48
046,005,004,015,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Arizona,Mohave County,184860,1824,150464,2318,34396,2693,21658,2043,3320,785,9418,1091,,,7,14
046,005,006,031,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,California,Kings County,138697,2067,114167,2395,24530,1974,14068,1756,7224,872,3238,674,,,5,8
046,005,006,037,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,California,Los Angeles County,9724599,9720,8385192,16130,1338968,17409,966637,14727,210484,5947,161847,4541,439,272,6,9
046,005,006,059,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,California,Orange County,2935512,5997,2486770,8666,448604,8881,308826,7707,89401,4301,50377,2322,138,181,22,36
046,005,008,014,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Colorado,Broomfield County,51152,1284,42374,988,8778,1014,2455,516,4723,834,1600,370,,,23,36
046,005,013,179,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Georgia,Liberty County,55550,1642,40732,1384,14818,1546,5982,936,3350,696,5486,926,,,4,6
046,005,019,033,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Iowa,Cerro Gordo County,43817,727,37111,950,6706,819,4047,761,1454,299,1205,321,,,40,65
046,005,022,017,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Louisiana,Caddo Parish,250666,1991,209410,2335,41256,2243,25538,1936,8062,1277,7656,1045,,,69,105
046,005,027,067,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Minnesota,Kandiyohi County,40283,781,35619,692,4664,532,2402,372,1681,356,581,244,,,2,4
046,005,027,073,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Minnesota,Lac qui Parle County,7301,202,6405,139,896,188,357,90,393,127,146,103,,,1,3
046,005,027,117,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Minnesota,Pipestone County,9267,217,8167,178,1100,224,531,146,320,112,249,114,,,2,3
046,005,027,153,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Minnesota,Todd County,24161,521,20978,307,3183,520,1531,234,1170,362,482,281,,,9,15
046,005,031,017,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Nebraska,Brown County,3080,156,2700,151,380,170,211,128,157,99,12,13,,,5,11
046,005,031,043,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,Nebraska,Dakota County,19850,598,16401,717,3449,702,1769,533,242,131,1438,440,,,20,32
046,005,034,041,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225,97,626,213,52,52,New Jersey,Warren County,107326,1273,97096,1184,10230,1061,4644,663,1713,422,3873,609,,,8,13
