Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
055,001,001,105,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Alabama,Perry County,10756,859,9293,688,1463,522,441,216,743,369,279,267,,,28,46
055,001,006,037,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,California,Los Angeles County,9724599,9720,8385192,16130,1338968,17409,966637,14727,210484,5947,161847,4541,439,272,10,16
055,001,008,045,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Colorado,Garfield County,52009,1054,42277,926,9732,1068,5006,784,2554,729,2172,457,,,30,41
055,001,008,059,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Colorado,Jefferson County,521036,3354,434256,3098,86780,3668,41966,2138,31393,1907,13421,1149,,,13,22
055,001,008,117,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Colorado,Summit County,26416,813,21657,802,4759,785,1732,559,1483,413,1544,353,,,2,3
055,001,009,001,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Connecticut,Fairfield County,885337,3226,780202,3859,104678,3897,62344,3165,13224,1166,29110,1840,457,235,12,19
055,001,012,085,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Florida,Martin County,136279,1502,117352,1581,18927,1691,8997,1132,6525,958,3405,536,,,11,16
055,001,012,107,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Florida,Putnam County,72397,1457,62870,1246,9527,1506,5027,1041,2948,829,1552,550,,,3,5
055,001,012,115,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Florida,Sarasota County,359315,2857,306554,2423,52725,2717,30746,1967,11797,1358,10182,1034,36,42,2,2
055,001,013,089,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Georgia,DeKalb County,703868,5345,563434,5275,140434,5103,76911,3872,43585,2954,19938,1570,,,9,12
055,001,017,031,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,Cook County,5236008,8026,4424233,10635,810967,11783,575364,10651,101344,4126,134259,4548,808,265,102,48
055,001,017,043,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,DuPage County,914022,3784,800776,3862,113246,4283,57203,3225,35837,2070,20206,1528,,,18,15
055,001,017,051,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,Fayette County,21094,324,18541,442,2553,465,1518,402,906,265,129,75,,,1,2
055,001,017,089,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,Kane County,480316,3240,420354,3508,59954,3355,33803,2718,16977,1516,9174,1082,8,13,26,19
055,001,017,097,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,Lake County,694511,3095,604147,3235,90364,3733,48114,2401,16643,1284,25607,1949,,,7,7
055,001,017,099,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,LaSalle County,110932,955,97829,941,13103,1025,8669,861,3424,448,1010,316,,,19,23
055,001,017,111,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,McHenry County,310198,1739,277318,2422,32880,2202,17304,1695,8595,779,6981,1107,,,1,2
055,001,017,141,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,Ogle County,54354,819,47747,868,6607,837,3568,641,2223,414,816,289,,,3,5
055,001,017,143,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,Peoria County,181338,1662,151296,1817,30032,1889,19074,1398,7370,882,3588,577,10,16,28,46
055,001,017,163,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,St. Clair County,258505,2060,217161,2245,41344,2034,24891,1818,7406,822,9047,1140,,,6,9
055,001,017,167,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,Sangamon County,191988,1493,159595,1449,32393,1754,21970,1382,5821,793,4602,795,,,5,7
055,001,017,197,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,Will County,651928,3289,578499,3536,73429,3064,38073,2447,24224,1567,11132,1268,,,13,20
055,001,017,201,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Illinois,Winnebago County,292267,1810,250610,2032,41657,2363,28788,1684,5659,754,7210,994,,,2,4
055,001,018,091,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Indiana,LaPorte County,107497,1027,92341,1197,15156,1242,9912,1007,3038,411,2206,506,,,3,5
055,001,020,103,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Kansas,Leavenworth County,68174,1261,54964,1121,13210,1138,6140,825,2772,470,4298,676,,,14,23
055,001,020,121,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Kansas,Miami County,30342,687,25781,741,4561,748,2103,525,1674,496,784,308,,,2,4
055,001,021,101,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Kentucky,Henderson County,45064,713,36840,908,8224,1170,5599,941,1322,368,1303,349,,,4,7
055,001,021,115,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Kentucky,Johnson County,23635,516,20409,686,3226,622,2155,510,822,305,249,138,,,14,23
055,001,027,003,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Minnesota,Anoka County,321815,2403,281608,1917,40207,2312,19053,1483,16042,1268,5112,809,,,4,5
055,001,027,037,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Minnesota,Dakota County,385917,2187,334563,2623,51338,2727,24404,1996,18162,1363,8772,971,16,25,13,22
055,001,027,131,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Minnesota,Rice County,59419,1021,49918,1040,9501,995,4646,737,3179,529,1676,386,,,10,15
055,001,027,141,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Minnesota,Sherburne County,83273,899,73831,1021,9442,1160,3666,778,4509,608,1267,360,,,14,22
055,001,029,183,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Missouri,St. Charles County,334165,2168,295145,2176,39020,2352,21323,1797,10595,1103,7102,1117,,,1,2
055,001,031,153,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,Nebraska,Sarpy County,140809,1659,119822,1236,20987,1489,9234,809,6229,831,5524,819,,,7,10
055,001,034,011,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,New Jersey,Cumberland County,152551,1387,133874,1745,18237,1707,11220,1328,3982,683,3035,631,440,258,3,4
055,001,035,025,Wisconsin,Adams County,20219,55,17587,302,2572,294,1179,231,858,190,535,135,60,52,New Mexico,Lea County,55933,1070,46401,1287,9532,1220,6239,1078,1290,367,2003,438,,,11,15
