Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico2,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
004,001,001,097,Arizona,Apache County,70855,148,64964,807,5702,854,2461,591,1938,534,1303,300,189,106,Alabama,Mobile County,411135,1814,350179,2953,60956,2803,44962,2417,5985,855,10009,1188,,,14,21
004,001,002,020,Arizona,Apache County,70855,148,64964,807,5702,854,2461,591,1938,534,1303,300,189,106,Alaska,Anchorage Municipality,315266,3414,231102,2593,84088,3545,35631,2367,5070,543,43387,2905,76,83,42,46
004,001,002,090,Arizona,Apache County,70855,148,64964,807,5702,854,2461,591,1938,534,1303,300,189,106,Alaska,Fairbanks North Star Borough,103017,2264,71748,1643,31269,2235,13633,1359,2311,576,15325,1580,,,32,50
004,001,004,003,Arizona,Apache County,70855,148,64964,807,5702,854,2461,591,1938,534,1303,300,189,106,Arizona,Cochise County,126912,1738,104834,1448,22078,1628,11117,1099,3934,720,7027,1000,,,67,103
004,001,004,005,Arizona,Apache County,70855,148,64964,807,5702,854,2461,591,1938,534,1303,300,189,106,Arizona,Coconino County,131206,1639,106123,1633,25083,1766,14237,1217,6456,1125,4390,615,,,191,121
004,001,004,007,Arizona,Apache County,70855,148,64964,807,5702,854,2461,591,1938,534,1303,300,189,106,Arizona,Gila County,54019,952,46697,755,7322,1025,3096,626,3258,706,968,388,,,24,24
004,001,004,009,Arizona,Apache County,70855,148,64964,807,5702,854,2461,591,1938,534,1303,300,189,106,Arizona,Graham County,37751,879,30687,775,7064,1134,3246,611,2371,674,1447,332,,,106,116
