Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico2,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
020,001,008,071,Kansas,Allen County,13157,56,11295,336,1857,320,1072,238,647,228,138,68,5,9,Colorado,Las Animas County,15194,310,12828,384,2366,447,1458,368,491,164,417,213,,,4,6
020,001,012,049,Kansas,Allen County,13157,56,11295,336,1857,320,1072,238,647,228,138,68,5,9,Florida,Hardee County,26794,786,23308,725,3486,750,1784,516,1309,527,393,161,,,4,9
020,001,018,131,Kansas,Allen County,13157,56,11295,336,1857,320,1072,238,647,228,138,68,5,9,Indiana,Pulaski County,13503,359,12012,293,1491,400,642,241,667,267,182,101,,,4,9
020,001,020,003,Kansas,Allen County,13157,56,11295,336,1857,320,1072,238,647,228,138,68,5,9,Kansas,Anderson County,7739,391,6359,430,1380,485,705,367,392,159,283,235,,,56,40
020,001,020,011,Kansas,Allen County,13157,56,11295,336,1857,320,1072,238,647,228,138,68,5,9,Kansas,Bourbon County,14899,382,12494,440,2405,455,1524,402,376,150,505,264,,,14,22
020,001,020,015,Kansas,Allen County,13157,56,11295,336,1857,320,1072,238,647,228,138,68,5,9,Kansas,Butler County,65441,1235,54710,938,10731,1217,4922,726,4211,739,1598,469,,,26,37
020,001,020,021,Kansas,Allen County,13157,56,11295,336,1857,320,1072,238,647,228,138,68,5,9,Kansas,Cherokee County,21104,300,18519,431,2585,457,1719,363,287,118,579,183,,,4,8
