Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico2,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
033,001,004,025,New Hampshire,Belknap County,59668,161,53285,825,6097,796,2945,573,1882,450,1270,358,286,172,Arizona,Yavapai County,204342,1738,169364,2626,34978,2686,23062,2404,5041,744,6875,734,,,9,14
033,001,006,041,New Hampshire,Belknap County,59668,161,53285,825,6097,796,2945,573,1882,450,1270,358,286,172,California,Marin County,247608,1870,214134,2096,33474,1752,19148,1494,9899,1054,4427,570,,,58,72
033,001,006,071,New Hampshire,Belknap County,59668,161,53285,825,6097,796,2945,573,1882,450,1270,358,286,172,California,San Bernardino County,2011887,6096,1678315,8109,333527,8883,229746,7623,69788,3524,33993,2366,45,49,10,16
033,001,006,083,New Hampshire,Belknap County,59668,161,53285,825,6097,796,2945,573,1882,450,1270,358,286,172,California,Santa Barbara County,414229,2293,333346,3123,80883,3078,59381,2729,14000,1276,7502,797,,,63,75
033,001,006,085,New Hampshire,Belknap County,59668,161,53285,825,6097,796,2945,573,1882,450,1270,358,286,172,California,Santa Clara County,1773207,4619,1512310,6114,260897,5928,180664,5343,55340,2699,24893,1795,,,11,17
033,001,008,051,New Hampshire,Belknap County,59668,161,53285,825,6097,796,2945,573,1882,450,1270,358,286,172,Colorado,Gunnison County,14508,562,11237,566,3271,584,1828,416,713,251,730,223,,,26,41
033,001,009,001,New Hampshire,Belknap County,59668,161,53285,825,6097,796,2945,573,1882,450,1270,358,286,172,Connecticut,Fairfield County,914818,2809,813588,3142,101164,3366,64120,2699,12040,1092,25004,1375,66,56,5,12
