Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico2,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
045,001,012,086,South Carolina,Abbeville County,25010,80,22397,518,2565,522,1053,352,1347,359,165,78,48,42,Florida,Miami-Dade County,2514474,5248,2190789,7513,322554,7541,233242,6259,49736,2968,39576,2276,1131,327,3,5
045,001,013,073,South Carolina,Abbeville County,25010,80,22397,518,2565,522,1053,352,1347,359,165,78,48,42,Georgia,Columbia County,125043,1790,109801,1634,15242,1514,6336,1017,4130,965,4776,772,,,11,19
045,001,013,121,South Carolina,Abbeville County,25010,80,22397,518,2565,522,1053,352,1347,359,165,78,48,42,Georgia,Fulton County,944800,4613,748471,4037,196291,5034,100402,3796,56863,2838,39026,2325,38,41,16,19
045,001,013,181,South Carolina,Abbeville County,25010,80,22397,518,2565,522,1053,352,1347,359,165,78,48,42,Georgia,Lincoln County,7976,189,7231,196,745,217,354,174,236,104,155,124,,,11,17
045,001,013,291,South Carolina,Abbeville County,25010,80,22397,518,2565,522,1053,352,1347,359,165,78,48,42,Georgia,Union County,21275,439,19024,476,2251,485,1202,406,406,144,643,242,,,16,26
045,001,024,043,South Carolina,Abbeville County,25010,80,22397,518,2565,522,1053,352,1347,359,165,78,48,42,Maryland,Washington County,146096,1308,124218,1519,21878,1530,13355,1382,3463,387,5060,817,,,3,8
045,001,034,033,South Carolina,Abbeville County,25010,80,22397,518,2565,522,1053,352,1347,359,165,78,48,42,New Jersey,Salem County,65795,770,58393,698,7402,913,3818,670,2135,542,1449,408,,,8,13
