Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico2,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
022,001,008,041,Louisiana,Acadia Parish,61352,232,54182,1073,7136,1090,3889,790,2312,710,935,558,34,46,Colorado,El Paso County,689774,3984,554323,4808,135337,3944,77796,3477,14923,1610,42618,2389,114,108,31,49
022,001,022,017,Louisiana,Acadia Parish,61352,232,54182,1073,7136,1090,3889,790,2312,710,935,558,34,46,Louisiana,Caddo Parish,243529,2066,210591,2330,32938,2218,19860,1744,6631,901,6447,1125,,,2,5
022,001,022,019,Louisiana,Acadia Parish,61352,232,54182,1073,7136,1090,3889,790,2312,710,935,558,34,46,Louisiana,Calcasieu Parish,200278,1955,176314,1858,23964,2058,15816,1671,4576,842,3572,760,,,193,168
022,001,022,023,Louisiana,Acadia Parish,61352,232,54182,1073,7136,1090,3889,790,2312,710,935,558,34,46,Louisiana,Cameron Parish,7133,206,6587,186,546,241,212,184,261,182,73,79,,,38,51
022,001,022,033,Louisiana,Acadia Parish,61352,232,54182,1073,7136,1090,3889,790,2312,710,935,558,34,46,Louisiana,East Baton Rouge Parish,437112,2484,370225,3761,66860,3480,44047,3504,12428,1352,10385,1348,27,44,20,35
022,001,022,039,Louisiana,Acadia Parish,61352,232,54182,1073,7136,1090,3889,790,2312,710,935,558,34,46,Louisiana,Evangeline Parish,32389,553,29025,802,3364,759,2432,667,850,286,82,65,,,9,13
022,001,022,047,Louisiana,Acadia Parish,61352,232,54182,1073,7136,1090,3889,790,2312,710,935,558,34,46,Louisiana,Iberville Parish,31452,796,27658,768,3794,874,1568,454,1931,656,295,163,,,5,11
