Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico2,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
040,001,005,007,Oklahoma,Adair County,21867,70,19961,265,1896,259,1137,201,410,126,349,138,10,9,Arkansas,Benton County,268072,2123,231924,2375,36148,2553,20743,2091,6369,1115,9036,1192,,,107,97
040,001,005,051,Oklahoma,Adair County,21867,70,19961,265,1896,259,1137,201,410,126,349,138,10,9,Arkansas,Garland County,96722,1516,83763,1775,12959,1518,8212,1307,3539,593,1208,305,,,13,19
040,001,005,143,Oklahoma,Adair County,21867,70,19961,265,1896,259,1137,201,410,126,349,138,10,9,Arkansas,Washington County,227759,2231,191671,2078,36088,2098,22499,1708,7490,1226,6099,769,,,39,37
040,001,006,033,Oklahoma,Adair County,21867,70,19961,265,1896,259,1137,201,410,126,349,138,10,9,California,Lake County,62403,942,52304,1282,10099,1263,5790,1077,3262,550,1047,311,,,24,35
040,001,006,037,Oklahoma,Adair County,21867,70,19961,265,1896,259,1137,201,410,126,349,138,10,9,California,Los Angeles County,9992508,8259,8950027,12213,1042027,12780,717388,10582,180755,5598,143884,4931,454,239,10,14
040,001,012,019,Oklahoma,Adair County,21867,70,19961,265,1896,259,1137,201,410,126,349,138,10,9,Florida,Clay County,203654,2724,177543,3305,26111,2434,12744,1991,8948,1616,4419,823,,,6,10
040,001,022,027,Oklahoma,Adair County,21867,70,19961,265,1896,259,1137,201,410,126,349,138,10,9,Louisiana,Claiborne Parish,15455,265,14614,269,841,168,309,121,419,113,113,82,,,3,4
