Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
017,099,019,001,Illinois,LaSalle County,110980,209,97829,941,12987,972,8669,861,3143,477,1175,411,164,94,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,10,18
019,003,019,001,Iowa,Adams County,4022,25,3721,97,294,92,96,61,163,69,35,27,7,11,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,4,6
019,005,019,001,Iowa,Allamakee County,14336,44,12265,357,2016,357,1270,312,517,236,229,98,55,46,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,7,10
019,013,019,001,Iowa,Black Hawk County,125653,246,98133,1536,27084,1609,16676,1131,7132,858,3276,621,436,159,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,3,5
019,021,019,001,Iowa,Buena Vista County,19290,78,16416,367,2757,368,1581,302,456,128,720,213,117,90,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,11,19
019,029,019,001,Iowa,Cass County,13693,45,11638,305,2011,305,1117,240,622,235,272,117,44,37,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,120,108
019,049,019,001,Iowa,Dallas County,56175,133,46945,1074,9071,1031,3308,663,3786,488,1977,490,159,77,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,16,24
019,057,019,001,Iowa,Des Moines County,40223,114,34100,731,6098,730,4225,627,845,262,1028,333,25,28,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,14,24
019,065,019,001,Iowa,Fayette County,20215,76,17031,507,3141,514,1268,328,1096,338,777,291,43,29,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,64,99
019,077,019,001,Iowa,Guthrie County,10932,37,9622,303,1240,295,505,179,499,199,236,144,70,80,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,49,42
019,085,019,001,Iowa,Harrison County,15288,43,13547,290,1679,285,1089,250,281,111,309,138,62,86,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,3,4
019,087,019,001,Iowa,Henry County,19844,61,16852,564,2861,527,1383,320,919,328,559,247,131,95,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,37,63
019,113,019,001,Iowa,Linn County,202089,285,165384,2032,35692,2003,24757,1756,5796,682,5139,863,1013,265,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,21,24
019,121,019,001,Iowa,Madison County,15125,49,13239,328,1871,335,1016,290,784,270,71,84,15,15,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,49,62
019,123,019,001,Iowa,Mahaska County,21692,91,18694,320,2980,318,1583,298,819,240,578,153,18,17,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,12,15
019,139,019,001,Iowa,Muscatine County,41782,142,35763,719,5984,732,3555,609,1318,280,1111,417,35,39,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,12,18
019,153,019,001,Iowa,Polk County,409669,447,331983,2572,75919,2560,51148,2232,13057,1235,11714,1064,1767,444,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,38,45
019,163,019,001,Iowa,Scott County,160454,309,135494,1423,24349,1396,15022,1222,2752,469,6575,840,611,313,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,19,28
019,169,019,001,Iowa,Story County,83700,172,56418,1159,26297,1211,14771,1081,6998,710,4528,613,985,260,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,92,79
019,181,019,001,Iowa,Warren County,43734,109,36615,808,7031,823,3526,701,2728,421,777,260,88,48,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,4,6
019,193,019,001,Iowa,Woodbury County,100165,282,81691,1460,18214,1451,12065,1333,2236,490,3913,666,260,174,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,34,48
024,031,019,001,Maryland,Montgomery County,932026,770,794535,4206,121700,4047,69711,3287,15919,1318,36070,1884,15791,1608,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,8,15
031,109,019,001,Nebraska,Lancaster County,270378,343,207851,1884,60741,1928,40662,1893,12416,1137,7663,947,1786,412,Iowa,Adair County,7688,291,6660,215,1028,282,377,146,609,216,42,39,,,24,39
019,001,019,003,Iowa,Adair County,7473,35,6660,215,813,211,377,146,313,147,123,99,,,Iowa,Adams County,4047,161,3721,97,326,148,96,61,230,135,,,,,10,14
019,029,019,003,Iowa,Cass County,13693,45,11638,305,2011,305,1117,240,622,235,272,117,44,37,Iowa,Adams County,4047,161,3721,97,326,148,96,61,230,135,,,,,2,3
019,137,019,003,Iowa,Montgomery County,10802,62,9283,326,1500,322,949,299,277,124,274,156,19,25,Iowa,Adams County,4047,161,3721,97,326,148,96,61,230,135,,,,,50,43
019,145,019,003,Iowa,Page County,15576,71,12584,456,2979,461,1299,313,1054,402,626,249,13,16,Iowa,Adams County,4047,161,3721,97,326,148,96,61,230,135,,,,,17,28
019,153,019,003,Iowa,Polk County,409669,447,331983,2572,75919,2560,51148,2232,13057,1235,11714,1064,1767,444,Iowa,Adams County,4047,161,3721,97,326,148,96,61,230,135,,,,,9,14
019,173,019,003,Iowa,Taylor County,6376,21,5903,98,451,92,135,49,189,74,127,57,22,21,Iowa,Adams County,4047,161,3721,97,326,148,96,61,230,135,,,,,11,18
019,175,019,003,Iowa,Union County,11910,68,9909,333,1992,334,1168,330,450,138,374,162,9,9,Iowa,Adams County,4047,161,3721,97,326,148,96,61,230,135,,,,,75,91
019,183,019,003,Iowa,Washington County,20867,88,18205,482,2650,461,1475,366,858,248,317,118,12,14,Iowa,Adams County,4047,161,3721,97,326,148,96,61,230,135,,,,,51,81
019,187,019,003,Iowa,Webster County,38114,105,32685,731,5375,710,3547,590,1202,366,626,252,54,45,Iowa,Adams County,4047,161,3721,97,326,148,96,61,230,135,,,,,5,99
017,177,019,005,Illinois,Stephenson County,46377,123,39848,775,6500,768,4739,783,1026,309,735,263,29,46,Iowa,Allamakee County,14077,283,12265,357,1812,389,1270,312,435,151,107,60,,,21,34
019,013,019,005,Iowa,Black Hawk County,125653,246,98133,1536,27084,1609,16676,1131,7132,858,3276,621,436,159,Iowa,Allamakee County,14077,283,12265,357,1812,389,1270,312,435,151,107,60,,,56,58
019,033,019,005,Iowa,Cerro Gordo County,43518,111,37111,950,6382,938,4047,761,1454,429,881,343,25,27,Iowa,Allamakee County,14077,283,12265,357,1812,389,1270,312,435,151,107,60,,,4,6
019,043,019,005,Iowa,Clayton County,17467,52,15334,340,2101,334,1131,228,507,126,463,207,32,26,Iowa,Allamakee County,14077,283,12265,357,1812,389,1270,312,435,151,107,60,,,120,73
019,057,019,005,Iowa,Des Moines County,40223,114,34100,731,6098,730,4225,627,845,262,1028,333,25,28,Iowa,Allamakee County,14077,283,12265,357,1812,389,1270,312,435,151,107,60,,,22,36
019,061,019,005,Iowa,Dubuque County,90761,184,78626,1286,12032,1273,8367,1063,1651,381,2014,397,103,66,Iowa,Allamakee County,14077,283,12265,357,1812,389,1270,312,435,151,107,60,,,19,26
019,065,019,005,Iowa,Fayette County,20215,76,17031,507,3141,514,1268,328,1096,338,777,291,43,29,Iowa,Allamakee County,14077,283,12265,357,1812,389,1270,312,435,151,107,60,,,15,23
