Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
001,079,021,001,Alabama,Lawrence County,33701,124,29988,714,3691,744,2315,566,869,314,507,353,22,24,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,30,42
012,095,021,001,Florida,Orange County,1045575,973,820789,6357,211398,5870,137228,4701,42400,2508,31770,2659,13388,1561,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,18,29
017,023,021,001,Illinois,Clark County,16654,56,14354,503,2273,500,1256,423,464,231,553,299,27,26,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,38,62
017,059,021,001,Illinois,Gallatin County,5863,31,5147,189,716,187,394,166,174,73,148,79,,,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,4,6
018,069,021,001,Indiana,Huntington County,37362,122,32591,715,4718,705,3332,648,811,276,575,262,53,38,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,47,71
018,079,021,001,Indiana,Jennings County,27639,146,22244,956,5367,947,3422,717,1523,567,422,249,28,29,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,54,92
018,081,021,001,Indiana,Johnson County,134461,261,111529,1783,22726,1747,10002,1154,9836,1240,2888,478,206,115,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,25,38
018,095,021,001,Indiana,Madison County,129918,184,107352,1454,22307,1443,14781,1228,5485,741,2041,517,259,125,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,29,46
021,003,021,001,Kentucky,Allen County,18535,109,16147,492,2388,498,1540,409,531,242,317,251,,,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,26,29
021,029,021,001,Kentucky,Bullitt County,72786,146,65213,848,7499,858,4014,722,2815,617,670,207,74,66,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,2,3
021,035,021,001,Kentucky,Calloway County,35735,106,28368,755,7032,756,3534,545,1963,377,1535,358,335,206,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,52,71
021,045,021,001,Kentucky,Casey County,16148,98,14669,442,1479,421,712,283,582,296,185,130,,,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,11,22
021,047,021,001,Kentucky,Christian County,77934,304,59373,1614,16696,1628,6631,968,1586,423,8479,1219,1865,437,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,25,38
021,049,021,001,Kentucky,Clark County,35008,132,28894,925,6101,897,3764,718,1304,402,1033,381,13,20,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,12,22
021,067,021,001,Kentucky,Fayette County,283534,475,210071,2702,70560,2677,44926,2529,14764,1427,10870,1269,2903,678,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,203,151
021,077,021,001,Kentucky,Gallatin County,7945,90,6320,501,1617,511,714,343,779,372,124,96,8,16,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,10,20
021,087,021,001,Kentucky,Green County,11359,61,10325,293,1024,272,636,224,301,127,87,60,10,17,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,13,22
021,099,021,001,Kentucky,Hart County,17951,110,15604,558,2347,531,1032,332,1054,299,261,216,,,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,9,16
021,111,021,001,Kentucky,Jefferson County,701225,641,589027,4022,108312,3848,75261,3280,12414,946,20637,1590,3886,545,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,20,20
021,123,021,001,Kentucky,Larue County,13419,74,11696,459,1723,451,1124,384,454,212,145,91,,,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,16,27
021,143,021,001,Kentucky,Lyon County,8276,51,6794,315,1482,309,625,240,795,286,62,39,,,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,8,13
021,169,021,001,Kentucky,Metcalfe County,9932,65,8522,505,1391,529,930,482,338,171,123,81,19,23,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,44,36
021,177,021,001,Kentucky,Muhlenberg County,30973,119,27110,761,3844,769,2404,667,1051,336,389,222,19,24,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,57,97
021,185,021,001,Kentucky,Oldham County,55626,122,48567,816,6930,841,1692,380,3740,645,1498,399,129,77,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,10,16
021,203,021,001,Kentucky,Rockcastle County,16248,106,14536,489,1695,464,1030,340,502,242,163,119,17,20,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,6,11
021,207,021,001,Kentucky,Russell County,16859,100,15284,470,1575,439,1014,426,299,166,262,173,,,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,105,110
021,217,021,001,Kentucky,Taylor County,23863,104,20179,625,3556,616,2217,547,736,235,603,326,128,155,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,72,88
021,227,021,001,Kentucky,Warren County,102937,227,79506,1379,22926,1409,12846,1117,6073,923,4007,712,505,188,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,222,192
029,201,021,001,Missouri,Scott County,40157,120,34291,975,5779,980,3547,761,1305,404,927,439,87,82,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,15,24
045,015,021,001,South Carolina,Berkeley County,160889,340,133505,1987,26281,2029,10181,1475,8081,1127,8019,1071,1103,395,Kentucky,Adair County,17323,577,14823,549,2500,492,1304,381,923,305,273,143,,,13,21
013,051,021,003,Georgia,Chatham County,244166,446,205996,2207,36733,2162,21293,1637,6219,969,9221,1076,1437,405,Kentucky,Allen County,18844,563,16147,492,2697,596,1540,409,527,232,630,320,,,17,26
013,233,021,003,Georgia,Polk County,40595,230,33790,1203,6780,1140,4682,988,1512,495,586,428,25,38,Kentucky,Allen County,18844,563,16147,492,2697,596,1540,409,527,232,630,320,,,34,53
018,059,021,003,Indiana,Hancock County,64938,164,56728,762,8084,759,4415,712,3024,459,645,249,126,99,Kentucky,Allen County,18844,563,16147,492,2697,596,1540,409,527,232,630,320,,,26,42
021,009,021,003,Kentucky,Barren County,40423,104,34320,885,6005,870,4311,797,1003,333,691,270,98,51,Kentucky,Allen County,18844,563,16147,492,2697,596,1540,409,527,232,630,320,,,30,32
021,021,021,003,Kentucky,Boyle County,28613,93,23065,585,5493,598,2449,485,2029,386,1015,385,55,61,Kentucky,Allen County,18844,563,16147,492,2697,596,1540,409,527,232,630,320,,,16,26
021,047,021,003,Kentucky,Christian County,77934,304,59373,1614,16696,1628,6631,968,1586,423,8479,1219,1865,437,Kentucky,Allen County,18844,563,16147,492,2697,596,1540,409,527,232,630,320,,,9,15
021,059,021,003,Kentucky,Daviess County,92651,227,76804,1501,15759,1572,10684,1207,3409,964,1666,421,88,58,Kentucky,Allen County,18844,563,16147,492,2697,596,1540,409,527,232,630,320,,,18,28
021,141,021,003,Kentucky,Logan County,26688,108,22509,703,3995,679,2174,569,642,214,1179,493,184,221,Kentucky,Allen County,18844,563,16147,492,2697,596,1540,409,527,232,630,320,,,21,31
