Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
001,089,028,001,Alabama,Madison County,310170,389,252912,2287,55022,2310,33567,2211,7285,782,14170,1705,2236,593,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,35,38
001,097,028,001,Alabama,Mobile County,399807,551,341967,2754,56145,2636,42234,2491,4615,781,9296,1058,1695,472,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,59,91
004,021,028,001,Arizona,Pinal County,291403,462,220095,3651,68430,3481,24302,2293,28020,2415,16108,1551,2878,672,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,11,19
012,005,028,001,Florida,Bay County,160964,324,124512,1906,35149,1844,21885,1785,4258,787,9006,1285,1303,449,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,22,26
012,017,028,001,Florida,Citrus County,137104,253,118453,1482,18381,1466,9430,1138,4414,697,4537,859,270,110,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,11,17
012,031,028,001,Florida,Duval County,834556,809,664346,4998,165606,4786,113622,4035,22275,1642,29709,2151,4604,871,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,56,88
022,029,028,001,Louisiana,Concordia Parish,18844,78,15600,624,3244,633,1877,564,796,236,571,318,,,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,206,112
022,033,028,001,Louisiana,East Baton Rouge Parish,421971,492,337813,3563,82839,3362,54530,2808,19036,1668,9273,1060,1319,479,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,25,40
022,041,028,001,Louisiana,Franklin Parish,19609,122,16432,611,3175,601,1647,436,1248,335,280,128,2,4,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,10,15
022,051,028,001,Louisiana,Jefferson Parish,433996,502,365025,3783,67642,3683,36880,2676,20280,1827,10482,1206,1329,431,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,16,25
022,063,028,001,Louisiana,Livingston Parish,115071,227,101527,1274,13391,1314,6542,950,5385,786,1464,421,153,132,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,12,19
022,071,028,001,Louisiana,Orleans Parish,324298,510,245553,3633,77334,3596,41480,3166,15236,1600,20618,2060,1411,397,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,100,156
022,073,028,001,Louisiana,Ouachita Parish,147417,342,125362,1789,21866,1701,14714,1482,4498,803,2654,619,189,115,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,27,40
022,079,028,001,Louisiana,Rapides Parish,130190,449,109161,1647,20595,1680,13931,1489,4438,607,2226,443,434,196,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,54,64
022,103,028,001,Louisiana,St. Tammany Parish,222529,361,188546,2159,33350,2095,18932,1781,7447,913,6971,929,633,405,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,37,57
022,109,028,001,Louisiana,Terrebonne Parish,106768,229,92557,1519,14166,1553,10262,1308,2414,540,1490,421,45,43,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,12,20
022,119,028,001,Louisiana,Webster Parish,40105,144,33517,941,6572,929,4311,793,1399,371,862,342,16,21,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,11,18
024,011,028,001,Maryland,Caroline County,32267,121,28728,530,3461,493,1621,408,1322,348,518,242,78,71,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,6,11
028,005,028,001,Mississippi,Amite County,13148,83,12029,325,1108,336,522,174,342,248,244,122,11,27,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,12,20
028,021,028,001,Mississippi,Claiborne County,10842,58,9299,460,1543,450,625,296,629,322,289,169,,,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,33,37
028,029,028,001,Mississippi,Copiah County,28760,119,25840,649,2920,649,1617,477,910,292,393,246,,,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,15,24
028,035,028,001,Mississippi,Forrest County,77467,260,60361,1289,16814,1251,7853,1166,6430,979,2531,524,292,215,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,62,37
028,041,028,001,Mississippi,Greene County,13405,148,10723,501,2643,498,738,444,1522,334,383,277,39,40,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,21,35
028,047,028,001,Mississippi,Harrison County,178165,338,137897,2650,38784,2541,22383,1848,6785,1278,9616,1656,1484,402,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,83,63
028,049,028,001,Mississippi,Hinds County,244775,445,196467,2593,47775,2521,33452,2163,8479,1109,5844,982,533,232,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,51,67
028,063,028,001,Mississippi,Jefferson County,8908,58,7903,432,1005,431,369,204,591,327,45,50,,,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,37,36
028,067,028,001,Mississippi,Jones County,66249,221,57233,1081,8937,1060,6441,850,1658,491,838,408,79,76,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,37,55
028,071,028,001,Mississippi,Lafayette County,42747,114,29681,1157,12888,1138,6289,798,3731,696,2868,522,178,96,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,17,28
028,073,028,001,Mississippi,Lamar County,46637,136,36507,1207,9992,1219,4286,795,4691,911,1015,309,138,103,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,112,104
028,079,028,001,Mississippi,Leake County,22438,129,19583,549,2855,594,1239,444,1442,392,174,102,,,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,11,18
028,081,028,001,Mississippi,Lee County,79126,252,65472,1392,13426,1375,7975,1238,4334,856,1117,323,228,218,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,16,26
028,087,028,001,Mississippi,Lowndes County,58897,153,47054,1336,11668,1319,7422,1174,1774,467,2472,585,175,115,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,65,87
028,089,028,001,Mississippi,Madison County,87716,240,74206,1237,13387,1193,6026,1044,5194,815,2167,614,123,83,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,51,52
028,093,028,001,Mississippi,Marshall County,35823,153,31613,922,4210,939,2198,792,1312,480,700,392,,,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,9,16
028,105,028,001,Mississippi,Oktibbeha County,42924,175,30556,1069,12269,1098,6685,866,3952,674,1632,479,99,88,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,38,41
028,121,028,001,Mississippi,Rankin County,135574,344,112350,1516,23106,1590,11228,1141,8680,998,3198,627,118,61,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,30,35
028,127,028,001,Mississippi,Simpson County,27661,114,24352,599,3236,594,1596,439,1321,393,319,207,73,75,Mississippi,Adams County,31220,666,27162,674,4058,647,2197,574,768,218,1093,380,,,43,51
