Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
004,013,029,001,Arizona,Maricopa County,3790712,1932,2993298,11083,762397,10588,569170,9886,38081,2432,155146,4477,35017,2618,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,79,89
008,041,029,001,Colorado,El Paso County,577823,582,444359,4003,126618,3715,75679,3276,10472,1018,40467,2025,6846,852,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,28,43
012,033,029,001,Florida,Escambia County,299000,494,232385,2483,64618,2431,36250,2204,8785,1218,19583,1425,1997,436,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,47,77
012,099,029,001,Florida,Palm Beach County,1254108,871,1059021,5131,183796,4926,120456,4708,27250,2083,36090,2154,11291,1217,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,13,19
013,059,029,001,Georgia,Clarke County,111555,252,79646,1702,31225,1696,17102,1329,10510,843,3613,524,684,223,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,11,18
017,019,029,001,Illinois,Champaign County,189747,313,135121,2087,51717,1981,31028,1936,14468,1292,6221,1032,2909,541,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,46,55
017,043,029,001,Illinois,DuPage County,914265,579,800776,3862,108919,3985,57203,3225,33930,2007,17786,1447,4570,729,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,54,71
017,077,029,001,Illinois,Jackson County,57766,139,40764,1048,16481,991,6995,743,7921,837,1565,334,521,169,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,16,25
017,097,029,001,Illinois,Lake County,693366,487,604147,3235,84504,3122,48114,2401,17192,1466,19198,1592,4715,705,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,12,17
017,113,029,001,Illinois,McLean County,161594,252,124843,1614,35869,1568,20419,1383,12636,1144,2814,567,882,204,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,84,96
017,167,029,001,Illinois,Sangamon County,191545,284,159595,1449,31390,1403,21970,1382,6340,832,3080,549,560,238,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,40,49
017,197,029,001,Illinois,Will County,655294,702,578499,3536,74244,3449,38073,2447,28057,2424,8114,1220,2551,692,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,13,22
018,133,029,001,Indiana,Putnam County,36590,115,30686,600,5793,580,2491,480,2591,332,711,235,111,53,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,16,25
019,007,029,001,Iowa,Appanoose County,12773,51,10917,388,1856,375,1222,287,254,100,380,226,,,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,7,11
019,061,029,001,Iowa,Dubuque County,90761,184,78626,1286,12032,1273,8367,1063,1651,381,2014,397,103,66,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,13,20
019,095,029,001,Iowa,Iowa County,15657,54,13732,377,1904,376,907,251,686,253,311,161,21,23,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,34,52
019,109,029,001,Iowa,Kossuth County,15296,57,13841,338,1439,321,857,256,343,127,239,122,16,17,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,9,12
019,153,029,001,Iowa,Polk County,409669,447,331983,2572,75919,2560,51148,2232,13057,1235,11714,1064,1767,444,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,31,52
019,155,029,001,Iowa,Pottawattamie County,88147,200,71582,1431,16399,1435,10349,1236,2228,515,3822,788,166,74,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,13,20
019,179,029,001,Iowa,Wapello County,34904,139,29263,671,5561,653,3253,533,1552,430,756,238,80,68,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,108,140
020,057,029,001,Kansas,Ford County,31753,239,26291,899,5302,874,2788,669,1314,499,1200,462,160,138,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,13,21
020,091,029,001,Kansas,Johnson County,517988,510,431630,2673,83270,2584,48115,2120,11575,1140,23580,1576,3088,590,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,27,31
026,049,029,001,Michigan,Genesee County,427152,482,365424,2739,60908,2756,47001,2457,10042,1014,3865,578,820,223,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,34,55
026,125,029,001,Michigan,Oakland County,1189034,683,1030982,4435,148811,4331,92068,3577,41736,2060,15007,1330,9241,909,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,101,102
026,161,029,001,Michigan,Washtenaw County,341877,390,258849,2707,79232,2747,43816,2313,21694,1646,13722,1282,3796,498,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,13,21
027,049,029,001,Minnesota,Goodhue County,45084,99,39711,669,5288,674,2717,498,1700,343,871,274,85,47,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,17,24
029,005,029,001,Missouri,Atchison County,6023,27,5291,155,726,153,519,121,77,48,130,68,6,10,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,4,7
029,007,029,001,Missouri,Audrain County,25471,85,21673,471,3785,481,1816,447,1444,257,525,213,13,21,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,17,24
029,019,029,001,Missouri,Boone County,149811,223,108138,1757,40013,1720,25209,1344,10001,959,4803,601,1660,451,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,238,123
029,021,029,001,Missouri,Buchanan County,87205,212,69017,1486,18083,1471,11627,1321,3881,495,2575,587,105,79,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,100,89
029,023,029,001,Missouri,Butler County,40645,169,33101,987,7476,1011,5239,931,1534,542,703,287,68,50,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,16,26
029,027,029,001,Missouri,Callaway County,42605,146,34460,793,8078,764,3847,716,3315,557,916,366,67,44,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,23,34
029,029,029,001,Missouri,Camden County,39824,120,33091,734,6646,750,2959,664,2187,414,1500,369,87,86,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,57,79
029,031,029,001,Missouri,Cape Girardeau County,71814,193,56888,1100,14609,1102,8368,916,3954,662,2287,493,317,140,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,25,28
029,047,029,001,Missouri,Clay County,215204,252,177568,1931,36992,1968,19729,1661,11037,1052,6226,852,644,253,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,89,84
029,069,029,001,Missouri,Dunklin County,31043,113,24559,975,6446,953,3595,535,1661,485,1190,355,38,39,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,15,24
029,071,029,001,Missouri,Franklin County,98745,180,85693,1481,12977,1454,7880,1207,3650,748,1447,589,75,50,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,28,43
