Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence FIPS State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad1,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
004,013,040,001,Arizona,Maricopa County,3790712,1932,2993298,11083,762397,10588,569170,9886,38081,2432,155146,4477,35017,2618,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,26,42
005,007,040,001,Arkansas,Benton County,207148,346,165945,2329,40530,2288,22460,2021,5725,975,12345,1594,673,205,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,312,245
005,131,040,001,Arkansas,Sebastian County,119444,288,96234,1773,22833,1717,15412,1603,3381,620,4040,646,377,163,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,4,6
005,143,040,001,Arkansas,Washington County,189893,457,140596,2327,48024,2261,29535,1947,9048,917,9441,1345,1273,458,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,212,176
006,019,040,001,California,Fresno County,874912,954,727561,5635,142484,5535,113150,4941,22226,2152,7108,991,4867,895,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,10,17
006,025,040,001,California,Imperial County,157392,395,132867,2194,22034,1991,14155,1624,6089,819,1790,531,2491,658,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,4,9
006,107,040,001,California,Tulare County,407846,635,352348,3030,53302,2809,39618,2275,10295,1212,3389,835,2196,599,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,16,27
008,041,040,001,Colorado,El Paso County,577823,582,444359,4003,126618,3715,75679,3276,10472,1018,40467,2025,6846,852,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,178,264
020,125,040,001,Kansas,Montgomery County,33893,119,27680,730,6202,730,3523,581,1210,346,1469,333,11,13,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,12,20
025,003,040,001,Massachusetts,Berkshire County,129011,216,114266,1271,14402,1259,9673,1159,1905,568,2824,550,343,238,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,22,33
025,017,040,001,Massachusetts,Middlesex County,1462248,718,1250323,5351,194862,5176,113632,4796,41666,2208,39564,2090,17063,1415,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,13,21
025,021,040,001,Massachusetts,Norfolk County,650306,473,572115,2794,72789,2768,35092,2040,24852,1764,12845,1131,5402,891,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,33,51
029,213,040,001,Missouri,Taney County,45225,175,34498,1130,10645,1157,4636,879,2572,533,3437,638,82,119,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,1,4
031,055,040,001,Nebraska,Douglas County,489238,442,395401,2595,90616,2489,63596,2480,11108,934,15912,1165,3221,536,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,11,18
040,005,040,001,Oklahoma,Atoka County,14294,50,11809,339,2478,335,789,221,1330,233,359,151,7,11,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,4,5
040,015,040,001,Oklahoma,Caddo County,29078,111,23379,638,5676,624,3056,532,1396,283,1224,356,23,30,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,14,21
040,019,040,001,Oklahoma,Carter County,46588,230,39919,739,6609,746,4811,691,987,315,811,279,60,46,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,5,8
040,021,040,001,Oklahoma,Cherokee County,44723,142,37010,1275,7572,1249,3519,712,2748,1004,1305,431,141,92,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,113,105
040,031,040,001,Oklahoma,Comanche County,110721,305,78659,1486,30008,1416,15718,1315,3651,516,10639,927,2054,458,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,31,35
040,035,040,001,Oklahoma,Craig County,14940,63,11918,506,3010,520,1296,319,1059,304,655,343,12,19,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,8,15
040,041,040,001,Oklahoma,Delaware County,39826,87,34138,663,5655,686,3017,561,1261,334,1377,342,33,45,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,23,33
040,043,040,001,Oklahoma,Dewey County,4352,21,3683,299,664,300,345,145,290,262,29,38,5,7,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,20,33
040,069,040,001,Oklahoma,Johnston County,10278,50,8790,926,1452,864,734,553,460,255,258,196,36,97,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,10,17
040,071,040,001,Oklahoma,Kay County,45250,153,38481,703,6646,692,4553,639,1068,214,1025,227,123,60,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,7,7
040,079,040,001,Oklahoma,Le Flore County,48925,119,40172,859,8436,851,4944,675,1546,342,1946,528,317,320,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,38,51
040,091,040,001,Oklahoma,McIntosh County,19441,79,16639,523,2782,518,1007,309,1307,402,468,200,20,30,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,26,40
040,097,040,001,Oklahoma,Mayes County,39024,169,33136,709,5860,696,3453,605,1549,381,858,266,28,33,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,48,78
040,101,040,001,Oklahoma,Muskogee County,69295,242,57140,1051,12128,990,7363,916,3587,887,1178,315,27,27,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,8,17
040,105,040,001,Oklahoma,Nowata County,10442,89,9129,332,1257,288,716,212,384,185,157,93,56,76,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,9,16
040,109,040,001,Oklahoma,Oklahoma County,688516,751,535912,4409,148126,4188,102595,3919,22261,1550,23270,1843,4478,848,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,48,49
040,115,040,001,Oklahoma,Ottawa County,31740,62,25076,714,6631,713,3747,467,1512,432,1372,295,33,21,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,13,16
040,119,040,001,Oklahoma,Payne County,77417,233,53176,1434,23450,1482,13778,1253,7179,1018,2493,516,791,283,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,47,71
040,131,040,001,Oklahoma,Rogers County,82193,154,67957,1307,14073,1294,6528,869,5088,644,2457,668,163,128,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,49,73
040,135,040,001,Oklahoma,Sequoyah County,40421,136,33516,858,6851,889,4044,684,940,283,1867,526,54,55,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,68,80
040,139,040,001,Oklahoma,Texas County,20000,128,15880,753,3752,611,2053,516,314,161,1385,427,368,319,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,32,50
040,143,040,001,Oklahoma,Tulsa County,577067,597,456087,3658,118164,3588,80602,3060,18077,1478,19485,1705,2816,542,Oklahoma,Adair County,22875,670,20153,334,2722,715,794,272,1010,488,918,434,,,389,448
