Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
001,101,017,001,Alabama,Montgomery County,225883,414,176350,2458,48319,2481,32143,2347,8907,1019,7269,936,1214,446,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,238,324
006,037,017,001,California,Los Angeles County,9777020,2063,8451700,14171,1258734,13557,1043118,12522,121153,3737,94463,3659,66586,2476,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,67,82
008,001,017,001,Colorado,Adams County,444796,563,366358,3702,75724,3647,37658,2486,28746,2062,9320,1081,2714,690,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,12,18
012,005,017,001,Florida,Bay County,168169,352,133789,2157,33329,2118,21922,1973,4152,718,7255,1084,1051,375,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,18,30
012,057,017,001,Florida,Hillsborough County,1243653,858,1015779,5527,216526,5528,150436,4474,34001,2036,32089,2291,11348,1148,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,11,16
012,115,017,001,Florida,Sarasota County,380201,383,322460,2909,55270,2991,30384,2332,11388,1490,13498,1072,2471,525,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,23,41
012,127,017,001,Florida,Volusia County,491960,492,421054,3211,68939,3072,36936,1949,15009,1376,16994,1636,1967,513,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,10,17
013,167,017,001,Georgia,Johnson County,9785,51,8192,307,1593,310,641,234,891,193,61,46,,,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,7,12
013,175,017,001,Georgia,Laurens County,47383,194,41553,809,5794,772,4527,731,825,240,442,185,36,26,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,12,21
017,003,017,001,Illinois,Alexander County,7968,15,6908,219,1060,222,564,153,162,72,334,161,,,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,4,7
017,009,017,001,Illinois,Brown County,6861,30,5659,224,1182,206,177,97,928,170,77,71,20,27,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,21,21
017,011,017,001,Illinois,Bureau County,34354,58,31038,477,3289,468,1890,382,962,180,437,124,27,27,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,12,18
017,019,017,001,Illinois,Champaign County,200416,258,146036,1942,50529,1971,32821,1746,11693,971,6015,713,3851,467,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,23,23
017,021,017,001,Illinois,Christian County,34290,96,30638,445,3616,458,1853,374,1387,237,376,231,36,37,Illinois,Adams County,67387,607,58045,864,9292,1002,6109,858,1222,223,1961,519,50,79,11,16
