Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
038,015,038,001,North Dakota,Burleigh County,82715,198,69686,823,12893,810,6908,742,3595,464,2390,455,136,76,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,69,90
038,017,038,001,North Dakota,Cass County,151965,300,117397,1582,33585,1599,18994,1577,4080,683,10511,1101,983,317,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,88,62
038,019,038,001,North Dakota,Cavalier County,3909,20,3492,128,415,124,177,71,175,107,63,54,2,3,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,5,7
038,021,038,001,North Dakota,Dickey County,5144,41,4519,118,625,121,237,94,170,67,218,79,,,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,26,28
038,035,038,001,North Dakota,Grand Forks County,66458,170,51446,1079,14312,1040,7045,785,1895,267,5372,631,700,272,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,8,12
038,041,038,001,North Dakota,Hettinger County,2503,16,2166,85,336,82,77,42,122,48,137,64,1,2,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,5,5
038,049,038,001,North Dakota,McHenry County,5533,22,5063,122,460,116,95,40,250,89,115,59,10,11,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,3,7
038,055,038,001,North Dakota,McLean County,9087,28,8131,131,941,127,257,73,444,100,240,92,15,11,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,3,6
038,059,038,001,North Dakota,Morton County,27547,106,23670,634,3828,627,1455,428,1256,356,1117,380,49,42,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,25,34
038,065,038,001,North Dakota,Oliver County,1798,87,1717,89,79,38,27,28,47,32,5,7,2,4,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,6,10
038,081,038,001,North Dakota,Sargent County,3831,12,3413,99,393,97,210,78,138,61,45,33,25,21,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,4,5
038,089,038,001,North Dakota,Stark County,25355,102,21051,624,4177,569,1696,298,1098,265,1383,464,127,63,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,32,54
038,093,038,001,North Dakota,Stutsman County,20829,88,17734,395,3055,374,1481,308,771,216,803,256,40,45,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,42,63
038,099,038,001,North Dakota,Walsh County,11000,38,9973,186,980,194,562,123,268,126,150,85,47,31,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,6,8
038,101,038,001,North Dakota,Ward County,63050,161,48669,1293,13737,1180,7238,812,1469,307,5030,810,644,287,North Dakota,Adams County,2517,180,2004,101,513,159,118,49,346,150,49,43,,,9,16
