Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
006,071,049,001,California,San Bernardino County,2028423,1098,1678315,8109,339904,8116,229746,7623,84492,4069,25666,1955,10204,1039,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,39,63
016,005,049,001,Idaho,Bannock County,81952,182,66070,1335,15455,1359,9486,1038,3616,651,2353,486,427,166,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,52,56
016,051,049,001,Idaho,Jefferson County,26005,110,22561,644,3261,653,1360,394,1511,419,390,176,183,114,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,28,47
032,003,049,001,Nevada,Clark County,1951257,1160,1498081,7448,440338,7384,351610,6624,4676,709,84052,3368,12838,1167,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,19,32
032,023,049,001,Nevada,Nye County,43014,116,35412,1112,7538,1123,3915,849,2095,487,1528,447,64,75,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,1,3
032,033,049,001,Nevada,White Pine County,9906,72,8223,340,1678,334,991,276,383,113,304,146,5,8,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,1,2
049,003,049,001,Utah,Box Elder County,49297,186,43409,682,5773,659,3216,527,1439,236,1118,360,115,61,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,18,26
049,005,049,001,Utah,Cache County,112112,213,87775,1291,23201,1290,13406,1122,5573,659,4222,707,1136,284,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,10,15
049,009,049,001,Utah,Daggett County,812,113,691,114,115,57,39,28,61,60,15,16,6,8,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,7,14
049,011,049,001,Utah,Davis County,306144,450,263733,2623,40908,2465,20298,1857,12554,1205,8056,1033,1503,412,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,26,33
049,013,049,001,Utah,Duchesne County,18674,87,16117,297,2536,279,1603,269,589,177,344,137,21,18,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,31,39
049,017,049,001,Utah,Garfield County,5073,27,4518,141,545,136,157,79,225,103,163,63,10,9,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,6,11
049,021,049,001,Utah,Iron County,45465,176,38254,953,7000,960,4069,807,1862,373,1069,269,211,100,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,36,35
049,027,049,001,Utah,Millard County,12330,58,10727,318,1570,312,789,200,458,168,323,153,33,37,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,26,24
049,031,049,001,Utah,Piute County,1775,116,1652,126,123,51,41,28,48,40,34,31,,,Utah,Beaver County,6798,403,5541,269,1257,451,305,176,798,368,154,105,,,17,24
