Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
001,003,051,001,Alabama,Baldwin County,184905,346,151868,2529,32178,2538,18726,2001,5903,1072,7549,1337,859,315,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,114,174
001,089,051,001,Alabama,Madison County,335095,452,283745,2430,49789,2499,32321,2170,6577,861,10891,1149,1561,377,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,11,18
005,143,051,001,Arkansas,Washington County,205423,350,154458,2456,49892,2374,31565,2145,10212,1259,8115,1048,1073,328,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,48,78
006,073,051,001,California,San Diego County,3098462,1290,2599071,7556,466548,7360,345496,6455,50075,2131,70977,3187,32843,2123,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,10,23
009,001,051,001,Connecticut,Fairfield County,916700,728,813588,3142,94927,2811,64120,2699,7783,984,23024,1596,8185,1067,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,11,17
009,011,051,001,Connecticut,New London County,271492,290,231363,1929,38691,1898,21642,1617,6264,723,10785,1095,1438,359,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,31,45
010,005,051,001,Delaware,Sussex County,198741,295,174890,1645,22658,1570,13796,1438,1833,371,7029,784,1193,792,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,88,135
012,125,051,001,Florida,Union County,15149,69,12706,302,2441,282,446,134,1725,220,270,141,2,3,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,11,17
013,009,051,001,Georgia,Baldwin County,45492,163,36505,1010,8930,1021,5514,915,2792,468,624,241,57,46,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,23,33
015,009,051,001,Hawaii,Maui County,154490,296,127918,1745,25192,1702,18630,1455,1641,392,4921,761,1380,427,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,20,34
023,011,051,001,Maine,Kennebec County,120820,173,103764,1425,16751,1409,10698,1175,3734,598,2319,464,305,113,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,25,25
024,003,051,001,Maryland,Anne Arundel County,537322,584,466713,3286,67269,3113,34927,2265,15051,1331,17291,1609,3340,675,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,21,25
024,021,051,001,Maryland,Frederick County,234101,286,206051,1633,26836,1560,15735,1413,5662,820,5439,853,1214,345,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,29,45
024,029,051,001,Maryland,Kent County,19825,76,17627,364,2144,365,826,238,665,235,653,218,54,40,Virginia,Accomack County,33546,828,30791,690,2755,479,938,295,1011,313,806,298,,,17,24
