Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
002,016,002,013,Alaska,Aleutians West Census Area,5674,8,4578,148,976,143,466,106,151,54,359,80,120,84,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,22,19
002,020,002,013,Alaska,Anchorage Municipality,288241,403,234127,3093,51619,3057,34184,2400,5819,1199,11616,1278,2495,617,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,476,260
002,090,002,013,Alaska,Fairbanks North Star Borough,96814,306,77176,1690,18483,1503,9612,1106,2115,555,6756,958,1155,533,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,59,48
002,105,002,013,Alaska,Hoonah-Angoon Census Area,2123,7,1864,82,259,82,66,41,96,50,97,75,,,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,5,9
002,122,002,013,Alaska,Kenai Peninsula Borough,58243,130,49513,764,8590,736,5027,712,1574,361,1989,379,140,116,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,22,19
002,150,002,013,Alaska,Kodiak Island Borough,13236,63,10832,410,2193,379,751,265,504,204,938,239,211,152,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,44,46
002,170,002,013,Alaska,Matanuska-Susitna Borough,105958,161,89456,1094,16082,1104,8216,874,4818,669,3048,552,420,187,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,158,140
002,220,002,013,Alaska,Sitka City and Borough,8499,27,6623,278,1809,277,984,216,367,129,458,144,67,35,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,11,15
002,240,002,013,Alaska,Southeast Fairbanks Census Area,6817,35,5367,238,1397,243,647,176,422,155,328,147,53,51,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,26,38
004,021,002,013,Arizona,Pinal County,442252,647,366513,3925,73281,3736,28840,2424,25631,2409,18810,1916,2458,411,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,29,40
053,039,002,013,Washington,Klickitat County,21914,66,19522,460,2157,457,787,233,442,152,928,328,235,197,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,1,3
053,045,002,013,Washington,Mason County,64489,185,56031,1171,8310,1184,3034,829,4075,781,1201,425,148,143,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,5,11
053,061,002,013,Washington,Snohomish County,802042,646,685271,3710,111177,3393,64881,2851,29716,1976,16580,1909,5594,767,Alaska,Aleutians East Borough,3854,366,2832,142,1022,332,151,44,823,333,48,52,,,13,18
002,013,002,016,Alaska,Aleutians East Borough,3364,15,2832,142,461,105,151,44,112,42,198,87,71,58,Alaska,Aleutians West Census Area,5370,216,4578,148,792,188,466,106,146,103,180,144,,,16,22
