Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
012,033,018,001,Florida,Escambia County,312952,451,252767,2689,58576,2809,29526,2341,11185,1600,17865,1429,1609,486,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,59,90
012,119,018,001,Florida,Sumter County,129498,158,112625,1842,16040,1767,5675,1370,4458,747,5907,995,833,354,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,30,48
017,107,018,001,Illinois,Logan County,28586,76,24197,483,4377,472,1883,379,2096,358,398,181,12,15,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,2,3
017,129,018,001,Illinois,Menard County,12114,46,11109,220,1002,207,484,157,470,138,48,31,3,4,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,6,9
018,003,018,001,Indiana,Allen County,370815,434,316615,2712,52388,2591,37816,2405,7069,878,7503,955,1812,478,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,212,111
018,005,018,001,Indiana,Bartholomew County,82326,186,68445,1464,12362,1433,7829,1273,3044,647,1489,374,1519,442,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,75,123
018,009,018,001,Indiana,Blackford County,11758,59,10195,400,1544,406,436,151,935,388,173,112,19,25,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,46,40
018,017,018,001,Indiana,Cass County,37378,104,32249,795,5056,799,3185,752,1427,357,444,186,73,41,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,56,61
018,019,018,001,Indiana,Clark County,116198,176,104798,1057,11340,1063,6172,923,2475,498,2693,606,60,51,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,9,17
018,023,018,001,Indiana,Clinton County,31781,105,27805,616,3967,609,2244,461,1242,328,481,260,9,20,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,26,51
018,031,018,001,Indiana,Decatur County,26429,69,23691,517,2723,491,1540,373,991,358,192,90,15,25,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,16,19
018,035,018,001,Indiana,Delaware County,113297,221,88271,1567,24781,1547,14002,1126,8226,805,2553,599,245,120,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,170,103
018,039,018,001,Indiana,Elkhart County,202244,385,176612,2012,24931,2081,16161,2033,5361,1127,3409,834,701,317,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,210,259
018,043,018,001,Indiana,Floyd County,77026,166,69176,866,7659,831,3753,534,2366,447,1540,350,191,143,Indiana,Adams County,36993,711,30638,687,6355,849,2906,591,2911,593,538,220,,,42,62
