Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
001,025,035,001,Alabama,Clarke County,23618,100,21945,428,1613,412,1217,370,164,72,232,139,60,74,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,5,11
001,045,035,001,Alabama,Dale County,48477,173,39285,967,8864,942,3014,573,1906,377,3944,695,328,180,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,27,39
001,073,035,001,Alabama,Jefferson County,650370,801,551514,3889,96486,3843,67835,3305,16700,1531,11951,1364,2370,537,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,5,8
001,089,035,001,Alabama,Madison County,363144,535,302863,2609,58499,2516,38502,2216,8617,1131,11380,1033,1782,449,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,30,50
001,097,035,001,Alabama,Mobile County,408424,690,360820,2949,46870,2922,35108,2758,4522,895,7240,910,734,262,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,10,22
001,101,035,001,Alabama,Montgomery County,224042,433,178307,2981,43125,2705,27874,2515,7382,1143,7869,1391,2610,1190,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,52,75
001,125,035,001,Alabama,Tuscaloosa County,206573,450,171983,2281,33914,2279,17792,1736,7957,1061,8165,965,676,276,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,15,25
002,020,035,001,Alaska,Anchorage Municipality,288241,403,234127,3093,51619,3057,34184,2400,5819,1199,11616,1278,2495,617,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,13,21
002,090,035,001,Alaska,Fairbanks North Star Borough,96814,306,77176,1690,18483,1503,9612,1106,2115,555,6756,958,1155,533,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,20,32
002,122,035,001,Alaska,Kenai Peninsula Borough,58243,130,49513,764,8590,736,5027,712,1574,361,1989,379,140,116,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,87,128
002,130,035,001,Alaska,Ketchikan Gateway Borough,13677,46,11674,262,1912,250,1068,166,239,55,605,173,91,55,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,8,13
002,170,035,001,Alaska,Matanuska-Susitna Borough,105958,161,89456,1094,16082,1104,8216,874,4818,669,3048,552,420,187,New Mexico,Bernalillo County,674596,3148,575026,3745,99570,3426,65001,2886,13068,1353,21501,1641,,,67,40
