Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
006,065,045,001,California,Riverside County,2411845,1319,2120021,8916,281555,8528,164401,5901,90386,4781,26768,1875,10269,1036,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,6,9
012,105,045,001,Florida,Polk County,698222,771,594427,4721,98262,4791,49573,3589,26015,2431,22674,2365,5533,968,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,14,23
028,111,045,001,Mississippi,Perry County,11949,27,10616,489,1321,487,435,250,699,421,187,148,12,16,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,35,52
036,119,045,001,New York,Westchester County,959290,697,865815,3513,85259,3387,47651,2551,26371,1811,11237,1145,8216,975,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,110,168
037,195,045,001,North Carolina,Wilson County,80888,201,71667,1198,9003,1206,5788,1086,2572,573,643,236,218,111,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,11,22
039,063,045,001,Ohio,Hancock County,74913,209,63421,1026,11176,1062,6639,896,3165,577,1372,312,316,171,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,9,13
045,003,045,001,South Carolina,Aiken County,167586,473,147358,1625,20078,1570,10171,1111,3037,633,6870,1269,150,165,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,52,44
045,005,045,001,South Carolina,Allendale County,8678,113,7722,289,909,288,170,134,619,201,120,121,47,70,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,26,49
045,007,045,001,South Carolina,Anderson County,197888,288,170770,2042,26676,2036,14443,1752,7540,1098,4693,655,442,196,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,50,42
045,011,045,001,South Carolina,Barnwell County,20967,109,18529,493,2405,486,859,346,1108,435,438,203,33,44,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,10,18
045,013,045,001,South Carolina,Beaufort County,187612,379,160557,1783,26264,1792,12746,1347,2570,753,10948,1148,791,224,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,36,59
045,015,045,001,South Carolina,Berkeley County,218763,555,183781,2391,33824,2410,11592,1377,10353,1028,11879,1919,1158,345,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,32,35
045,019,045,001,South Carolina,Charleston County,402931,490,340711,3249,60113,3252,34002,2852,10586,751,15525,1276,2107,628,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,129,114
045,021,045,001,South Carolina,Cherokee County,56395,190,50032,899,6300,907,3890,877,1477,457,933,335,63,46,South Carolina,Abbeville County,23966,673,21797,595,2169,410,662,260,1316,367,191,141,,,20,25
