Table with column headers in rows 2 through 4.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Current Residence State Code,Current Residence FIPS County Code,Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code,Residence 1 Year Ago FIPS County Code,State of Current Residence,County of Current Residence,County of Current Residence,,,,,,,,,,,,,,State/U.S. Island Area/Foreign Region of Residence 1 Year Ago,County of Residence 1 Year Ago,County of Residence 1 Year Ago,,,,,,,,,,,,,,Movers in County-to-County Flow,
,,,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States or Puerto Rico1,,Movers within Same County,,"Movers from Different County, Same State",,Movers from Different State,,Movers from Abroad2,,,,Population 1 Year and Over,,Nonmovers,,Movers within United States,,Movers within Same County,,"Movers to Different County, Same State",,Movers to Different State,,Movers to Puerto Rico,,,
,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
027,079,046,003,Minnesota,Le Sueur County,28082,73,24941,430,3073,419,1244,275,1451,276,378,156,68,58,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,7,10
029,187,046,003,Missouri,St. Francois County,65941,195,54808,1155,11025,1153,6692,1027,3263,407,1070,390,108,98,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,2,4
029,189,046,003,Missouri,St. Louis County,985901,881,852976,4501,127790,4468,79754,3928,26614,1796,21422,1753,5135,918,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,7,14
029,215,046,003,Missouri,Texas County,25137,136,22617,485,2486,510,1172,403,786,226,528,224,34,39,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,1,2
038,017,046,003,North Dakota,Cass County,177105,512,137290,2504,38815,2518,23214,2081,4689,948,10912,1278,1000,357,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,3,6
038,059,046,003,North Dakota,Morton County,30733,132,26774,815,3794,763,993,348,2263,620,538,195,165,180,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,11,24
038,089,046,003,North Dakota,Stark County,30531,172,25522,776,4664,761,2441,552,752,260,1471,493,345,209,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,5,11
046,005,046,003,South Dakota,Beadle County,18004,135,15323,579,2646,565,1468,388,560,251,618,440,35,45,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,2,4
046,009,046,003,South Dakota,Bon Homme County,6867,19,5719,181,1147,178,260,85,665,124,222,89,1,3,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,6,10
046,011,046,003,South Dakota,Brookings County,34756,92,26946,795,7534,796,3501,701,2319,562,1714,324,276,161,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,9,15
046,013,046,003,South Dakota,Brown County,38361,275,32861,864,5261,842,3377,758,881,251,1003,335,239,148,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,57,55
046,023,046,003,South Dakota,Charles Mix County,9151,38,8281,162,870,155,437,117,340,114,93,40,,,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,4,5
046,025,046,003,South Dakota,Clark County,3636,34,3343,99,275,104,138,63,132,78,5,7,18,17,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,3,6
046,027,046,003,South Dakota,Clay County,13905,70,9023,370,4749,375,1984,347,1665,302,1100,197,133,74,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,47,68
046,029,046,003,South Dakota,Codington County,27825,101,23954,632,3799,630,2245,545,878,239,676,249,72,87,South Dakota,Aurora County,3540,331,2523,100,1017,323,70,35,908,313,39,33,,,11,16
