,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
0,13.0,02,16.0,Alaska,Aleutians East Borough,2935.0,175.0,1846.0,287.0,1038.0,367.0,357.0,263.0,27.0,22.0,654.0,186.0,51.0,37.0,Alaska,Aleutians West Census Area,5231.0,877.0,3657.0,784.0,1574.0,473.0,297.0,146.0,163.0,117.0,1114.0,421.0,,,6.0,9.0,Aleutians East Borough,Aleutians West Census Area,02_013,02_016,inflow_05_09_Alaska.csv,2005,2009
1,13.0,02,20.0,Alaska,Aleutians East Borough,2935.0,175.0,1846.0,287.0,1038.0,367.0,357.0,263.0,27.0,22.0,654.0,186.0,51.0,37.0,Alaska,Anchorage Municipality,289935.0,3312.0,210426.0,2824.0,79509.0,3058.0,40186.0,2078.0,6453.0,692.0,32870.0,2166.0,,,21.0,20.0,Aleutians East Borough,Anchorage Municipality,02_013,02_020,inflow_05_09_Alaska.csv,2005,2009
2,13.0,04,13.0,Alaska,Aleutians East Borough,2935.0,175.0,1846.0,287.0,1038.0,367.0,357.0,263.0,27.0,22.0,654.0,186.0,51.0,37.0,Arizona,Maricopa County,3722654.0,7682.0,2993298.0,11083.0,729328.0,10990.0,569170.0,9886.0,47055.0,2726.0,113103.0,4066.0,28.0,36.0,19.0,26.0,Aleutians East Borough,Maricopa,02_013,04_013,inflow_05_09_Alaska.csv,2005,2009
3,13.0,06,13.0,Alaska,Aleutians East Borough,2935.0,175.0,1846.0,287.0,1038.0,367.0,357.0,263.0,27.0,22.0,654.0,186.0,51.0,37.0,California,Contra Costa County,1000914.0,3442.0,852992.0,5650.0,147922.0,5588.0,94954.0,5006.0,37903.0,2004.0,15065.0,1442.0,,,8.0,13.0,Aleutians East Borough,Contra Costa,02_013,06_013,inflow_05_09_Alaska.csv,2005,2009
4,13.0,06,29.0,Alaska,Aleutians East Borough,2935.0,175.0,1846.0,287.0,1038.0,367.0,357.0,263.0,27.0,22.0,654.0,186.0,51.0,37.0,California,Kern County,748753.0,3618.0,608357.0,4691.0,140396.0,4467.0,102451.0,4131.0,24300.0,1509.0,13645.0,1486.0,,,30.0,36.0,Aleutians East Borough,Kern,02_013,06_029,inflow_05_09_Alaska.csv,2005,2009
5,13.0,06,37.0,Alaska,Aleutians East Borough,2935.0,175.0,1846.0,287.0,1038.0,367.0,357.0,263.0,27.0,22.0,654.0,186.0,51.0,37.0,California,Los Angeles County,9724599.0,9720.0,8385192.0,16130.0,1338968.0,17409.0,966637.0,14727.0,210484.0,5947.0,161847.0,4541.0,439.0,272.0,88.0,72.0,Aleutians East Borough,Los Angeles,02_013,06_037,inflow_05_09_Alaska.csv,2005,2009
6,13.0,06,47.0,Alaska,Aleutians East Borough,2935.0,175.0,1846.0,287.0,1038.0,367.0,357.0,263.0,27.0,22.0,654.0,186.0,51.0,37.0,California,Merced County,238262.0,2126.0,193867.0,2655.0,44395.0,2930.0,31513.0,2382.0,9774.0,1295.0,3108.0,665.0,,,7.0,12.0,Aleutians East Borough,Merced,02_013,06_047,inflow_05_09_Alaska.csv,2005,2009
7,13.0,06,53.0,Alaska,Aleutians East Borough,2935.0,175.0,1846.0,287.0,1038.0,367.0,357.0,263.0,27.0,22.0,654.0,186.0,51.0,37.0,California,Monterey County,396935.0,2471.0,326404.0,2670.0,70531.0,3352.0,44314.0,2598.0,15193.0,1454.0,11024.0,1442.0,,,39.0,32.0,Aleutians East Borough,Monterey,02_013,06_053,inflow_05_09_Alaska.csv,2005,2009
8,13.0,06,59.0,Alaska,Aleutians East Borough,2935.0,175.0,1846.0,287.0,1038.0,367.0,357.0,263.0,27.0,22.0,654.0,186.0,51.0,37.0,California,Orange County,2935512.0,5997.0,2486770.0,8666.0,448604.0,8881.0,308826.0,7707.0,89401.0,4301.0,50377.0,2322.0,138.0,181.0,9.0,15.0,Aleutians East Borough,Orange,02_013,06_059,inflow_05_09_Alaska.csv,2005,2009
9,13.0,06,73.0,Alaska,Aleutians East Borough,2935.0,175.0,1846.0,287.0,1038.0,367.0,357.0,263.0,27.0,22.0,654.0,186.0,51.0,37.0,California,San Diego County,2923461.0,6696.0,2402432.0,8152.0,520924.0,8429.0,363883.0,7418.0,63506.0,2853.0,93535.0,3351.0,105.0,79.0,50.0,55.0,Aleutians East Borough,San Diego,02_013,06_073,inflow_05_09_Alaska.csv,2005,2009
