,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
0,1.0,04,3.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Arizona,Cochise County,123455.0,2233.0,99519.0,1766.0,23936.0,1861.0,11517.0,1459.0,5800.0,1255.0,6619.0,1007.0,,,38.0,59.0,Androscoggin,Cochise,23_001,04_003,inflow_05_09_Maine.csv,2005,2009
1,1.0,04,17.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Arizona,Navajo County,108563.0,1514.0,92556.0,1691.0,16007.0,1761.0,8384.0,1353.0,5052.0,987.0,2571.0,505.0,,,7.0,11.0,Androscoggin,Navajo,23_001,04_017,inflow_05_09_Maine.csv,2005,2009
2,1.0,04,19.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Arizona,Pima County,952798.0,3988.0,766189.0,5644.0,186563.0,6221.0,143700.0,5281.0,15801.0,1682.0,27062.0,1646.0,46.0,62.0,15.0,24.0,Androscoggin,Pima,23_001,04_019,inflow_05_09_Maine.csv,2005,2009
3,1.0,06,59.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,California,Orange County,2935512.0,5997.0,2486770.0,8666.0,448604.0,8881.0,308826.0,7707.0,89401.0,4301.0,50377.0,2322.0,138.0,181.0,56.0,58.0,Androscoggin,Orange,23_001,06_059,inflow_05_09_Maine.csv,2005,2009
4,1.0,06,67.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,California,Sacramento County,1346497.0,4593.0,1076592.0,6391.0,269888.0,7009.0,196753.0,5776.0,48055.0,2333.0,25080.0,1960.0,17.0,26.0,14.0,22.0,Androscoggin,Sacramento,23_001,06_067,inflow_05_09_Maine.csv,2005,2009
5,1.0,06,73.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,California,San Diego County,2923461.0,6696.0,2402432.0,8152.0,520924.0,8429.0,363883.0,7418.0,63506.0,2853.0,93535.0,3351.0,105.0,79.0,240.0,305.0,Androscoggin,San Diego,23_001,06_073,inflow_05_09_Maine.csv,2005,2009
6,1.0,08,31.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Colorado,Denver County,578604.0,3719.0,444801.0,4003.0,133787.0,4235.0,65361.0,3260.0,45802.0,2184.0,22624.0,1712.0,16.0,25.0,10.0,16.0,Androscoggin,Denver,23_001,08_031,inflow_05_09_Maine.csv,2005,2009
7,1.0,09,1.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Connecticut,Fairfield County,885337.0,3226.0,780202.0,3859.0,104678.0,3897.0,62344.0,3165.0,13224.0,1166.0,29110.0,1840.0,457.0,235.0,24.0,25.0,Androscoggin,Fairfield,23_001,09_001,inflow_05_09_Maine.csv,2005,2009
8,1.0,09,3.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Connecticut,Hartford County,864500.0,2839.0,753028.0,3572.0,110505.0,3917.0,74302.0,3142.0,14755.0,1193.0,21448.0,1400.0,967.0,342.0,42.0,32.0,Androscoggin,Hartford,23_001,09_003,inflow_05_09_Maine.csv,2005,2009
9,1.0,09,5.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Connecticut,Litchfield County,188509.0,1394.0,169677.0,1175.0,18772.0,1429.0,9681.0,958.0,3517.0,516.0,5574.0,754.0,60.0,93.0,28.0,46.0,Androscoggin,Litchfield,23_001,09_005,inflow_05_09_Maine.csv,2005,2009
10,1.0,09,9.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Connecticut,New Haven County,834769.0,3145.0,726541.0,4091.0,107679.0,4256.0,70187.0,3567.0,14688.0,1166.0,22804.0,1661.0,549.0,274.0,32.0,27.0,Androscoggin,New Haven,23_001,09_009,inflow_05_09_Maine.csv,2005,2009
11,1.0,09,13.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Connecticut,Tolland County,142594.0,1568.0,122033.0,1292.0,20561.0,1645.0,11132.0,1240.0,6160.0,825.0,3269.0,521.0,,,15.0,24.0,Androscoggin,Tolland,23_001,09_013,inflow_05_09_Maine.csv,2005,2009
12,1.0,12,11.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Florida,Broward County,1724177.0,5167.0,1444750.0,7248.0,279147.0,6404.0,184874.0,5862.0,50096.0,2958.0,44177.0,2614.0,280.0,160.0,9.0,15.0,Androscoggin,Broward,23_001,12_011,inflow_05_09_Maine.csv,2005,2009
13,1.0,12,31.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Florida,Duval County,830165.0,3778.0,664346.0,4998.0,165584.0,4532.0,113622.0,4035.0,22870.0,1841.0,29092.0,2096.0,235.0,154.0,10.0,20.0,Androscoggin,Duval,23_001,12_031,inflow_05_09_Maine.csv,2005,2009
14,1.0,12,33.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Florida,Escambia County,296015.0,2605.0,232385.0,2483.0,63569.0,2949.0,36250.0,2204.0,8535.0,1053.0,18784.0,1493.0,61.0,57.0,15.0,22.0,Androscoggin,Escambia,23_001,12_033,inflow_05_09_Maine.csv,2005,2009
15,1.0,12,57.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Florida,Hillsborough County,1147449.0,4261.0,918416.0,5632.0,227932.0,6068.0,152269.0,4424.0,39586.0,2428.0,36077.0,2132.0,1101.0,396.0,103.0,119.0,Androscoggin,Hillsborough,23_001,12_057,inflow_05_09_Maine.csv,2005,2009
16,1.0,12,86.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Florida,Miami-Dade County,2432452.0,6426.0,2064866.0,7611.0,366130.0,8522.0,261685.0,6790.0,58861.0,3706.0,45584.0,2611.0,1456.0,360.0,32.0,43.0,Androscoggin,Miami-Dade,23_001,12_086,inflow_05_09_Maine.csv,2005,2009
17,1.0,12,99.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Florida,Palm Beach County,1241542.0,4091.0,1059021.0,5131.0,182256.0,4649.0,120456.0,4708.0,31820.0,1931.0,29980.0,1811.0,265.0,173.0,20.0,32.0,Androscoggin,Palm Beach,23_001,12_099,inflow_05_09_Maine.csv,2005,2009
18,1.0,12,105.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Florida,Polk County,545938.0,3751.0,448799.0,3842.0,97037.0,3889.0,67077.0,3129.0,16123.0,1608.0,13837.0,1261.0,102.0,59.0,38.0,60.0,Androscoggin,Polk,23_001,12_105,inflow_05_09_Maine.csv,2005,2009
19,1.0,12,109.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Florida,St. Johns County,167539.0,2182.0,143123.0,2125.0,24416.0,1613.0,12959.0,1262.0,6710.0,1073.0,4747.0,802.0,,,76.0,143.0,Androscoggin,St. Johns,23_001,12_109,inflow_05_09_Maine.csv,2005,2009
20,1.0,13,51.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Georgia,Chatham County,247426.0,2163.0,205996.0,2207.0,41353.0,2311.0,21293.0,1637.0,8714.0,943.0,11346.0,1323.0,77.0,68.0,16.0,24.0,Androscoggin,Chatham,23_001,13_051,inflow_05_09_Maine.csv,2005,2009
21,1.0,13,57.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Georgia,Cherokee County,194145.0,1977.0,167624.0,1888.0,26521.0,2104.0,13776.0,1628.0,8659.0,1315.0,4086.0,720.0,,,10.0,16.0,Androscoggin,Cherokee,23_001,13_057,inflow_05_09_Maine.csv,2005,2009
22,1.0,15,1.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Hawaii,Hawaii County,169358.0,1526.0,146035.0,1980.0,23323.0,2107.0,14555.0,1607.0,2516.0,611.0,6252.0,919.0,,,3.0,5.0,Androscoggin,Hawaii,23_001,15_001,inflow_05_09_Maine.csv,2005,2009
23,1.0,17,31.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Illinois,Cook County,5236008.0,8026.0,4424233.0,10635.0,810967.0,11783.0,575364.0,10651.0,101344.0,4126.0,134259.0,4548.0,808.0,265.0,34.0,54.0,Androscoggin,Cook,23_001,17_031,inflow_05_09_Maine.csv,2005,2009
24,1.0,17,161.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Illinois,Rock Island County,145412.0,1428.0,122949.0,1268.0,22463.0,1696.0,13830.0,1269.0,3270.0,663.0,5363.0,836.0,,,11.0,17.0,Androscoggin,Rock Island,23_001,17_161,inflow_05_09_Maine.csv,2005,2009
25,1.0,18,63.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Indiana,Hendricks County,130326.0,1415.0,113614.0,1453.0,16712.0,1292.0,8325.0,1130.0,6004.0,864.0,2383.0,489.0,,,20.0,34.0,Androscoggin,Hendricks,23_001,18_063,inflow_05_09_Maine.csv,2005,2009
26,1.0,18,157.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Indiana,Tippecanoe County,152485.0,1610.0,111705.0,1809.0,40768.0,1839.0,28701.0,1647.0,5312.0,647.0,6755.0,818.0,12.0,19.0,103.0,163.0,Androscoggin,Tippecanoe,23_001,18_157,inflow_05_09_Maine.csv,2005,2009
27,1.0,20,51.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Kansas,Ellis County,26209.0,874.0,20588.0,719.0,5621.0,674.0,3581.0,514.0,1551.0,376.0,489.0,192.0,,,10.0,17.0,Androscoggin,Ellis,23_001,20_051,inflow_05_09_Maine.csv,2005,2009
28,1.0,20,155.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Kansas,Reno County,61963.0,884.0,50783.0,996.0,11180.0,967.0,6975.0,830.0,2665.0,386.0,1540.0,410.0,,,32.0,51.0,Androscoggin,Reno,23_001,20_155,inflow_05_09_Maine.csv,2005,2009
29,1.0,20,193.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Kansas,Thomas County,6871.0,325.0,5672.0,276.0,1199.0,302.0,614.0,211.0,463.0,154.0,122.0,81.0,,,11.0,17.0,Androscoggin,Thomas,23_001,20_193,inflow_05_09_Maine.csv,2005,2009
30,1.0,22,51.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Louisiana,Jefferson Parish,440265.0,3404.0,365025.0,3783.0,75205.0,3122.0,36880.0,2676.0,19434.0,1513.0,18891.0,1581.0,35.0,42.0,11.0,17.0,Androscoggin,Jefferson Parish,23_001,22_051,inflow_05_09_Maine.csv,2005,2009
31,1.0,22,127.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Louisiana,Winn Parish,15110.0,320.0,13365.0,460.0,1745.0,465.0,1139.0,408.0,421.0,151.0,185.0,154.0,,,26.0,43.0,Androscoggin,Winn Parish,23_001,22_127,inflow_05_09_Maine.csv,2005,2009
32,1.0,23,3.0,Maine,Androscoggin County,105162.0,240.0,84948.0,1503.0,19939.0,1473.0,13059.0,1346.0,3798.0,609.0,3082.0,762.0,275.0,121.0,Maine,Aroostook County,71147.0,750.0,62857.0,636.0,8290.0,716.0,5845.0,530.0,1148.0,207.0,1297.0,485.0,,,23.0,24.0,Androscoggin,Aroostook,23_001,23_003,inflow_05_09_Maine.csv,2005,2009
