,origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
0,6,37.0,31.0,1.0,California,Los Angeles County,9639633.0,2416.0,8385192.0,16130.0,1179519.0,15903.0,966637.0,14727.0,116102.0,4179.0,96780.0,3804.0,74922.0,2875.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,18.0,30.0,Los Angeles,Adams,06_037,31_001,outflow_05_09_Nebraska.csv,2005,2009
1,8,31.0,31.0,1.0,Colorado,Denver County,571132.0,755.0,444801.0,4003.0,120979.0,3801.0,65361.0,3260.0,36431.0,2068.0,19187.0,1386.0,5352.0,827.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,12.0,19.0,Denver,Adams,08_031,31_001,outflow_05_09_Nebraska.csv,2005,2009
2,8,41.0,31.0,1.0,Colorado,El Paso County,577823.0,582.0,444359.0,4003.0,126618.0,3715.0,75679.0,3276.0,10472.0,1018.0,40467.0,2025.0,6846.0,852.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,12.0,20.0,El Paso,Adams,08_041,31_001,outflow_05_09_Nebraska.csv,2005,2009
3,8,117.0,31.0,1.0,Colorado,Summit County,25907.0,134.0,21657.0,802.0,4109.0,803.0,1732.0,559.0,939.0,449.0,1438.0,504.0,141.0,80.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,23.0,32.0,Summit,Adams,08_117,31_001,outflow_05_09_Nebraska.csv,2005,2009
4,19,149.0,31.0,1.0,Iowa,Plymouth County,24039.0,79.0,20984.0,507.0,3038.0,503.0,2008.0,465.0,593.0,173.0,437.0,188.0,17.0,15.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,10.0,16.0,Plymouth,Adams,19_149,31_001,outflow_05_09_Nebraska.csv,2005,2009
5,20,41.0,31.0,1.0,Kansas,Dickinson County,18777.0,67.0,15760.0,500.0,2961.0,501.0,1499.0,424.0,703.0,227.0,759.0,278.0,56.0,42.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,4.0,6.0,Dickinson,Adams,20_041,31_001,outflow_05_09_Nebraska.csv,2005,2009
6,20,123.0,31.0,1.0,Kansas,Mitchell County,6301.0,22.0,5455.0,224.0,844.0,228.0,226.0,98.0,387.0,158.0,231.0,158.0,2.0,4.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,19.0,31.0,Mitchell,Adams,20_123,31_001,outflow_05_09_Nebraska.csv,2005,2009
7,24,27.0,31.0,1.0,Maryland,Howard County,270528.0,350.0,234336.0,2296.0,34251.0,2204.0,13289.0,1514.0,11720.0,1324.0,9242.0,1068.0,1941.0,481.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,36.0,58.0,Howard,Adams,24_027,31_001,outflow_05_09_Nebraska.csv,2005,2009
8,24,43.0,31.0,1.0,Maryland,Washington County,142170.0,251.0,122069.0,1783.0,19733.0,1709.0,11185.0,1431.0,4645.0,687.0,3903.0,671.0,368.0,173.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,38.0,54.0,Washington,Adams,24_043,31_001,outflow_05_09_Nebraska.csv,2005,2009
9,27,53.0,31.0,1.0,Minnesota,Hennepin County,1119973.0,686.0,917935.0,4466.0,193382.0,4563.0,125553.0,3935.0,35258.0,2247.0,32571.0,1853.0,8656.0,911.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,21.0,25.0,Hennepin,Adams,27_053,31_001,outflow_05_09_Nebraska.csv,2005,2009
10,27,123.0,31.0,1.0,Minnesota,Ramsey County,492887.0,467.0,406501.0,2949.0,82512.0,2917.0,45579.0,2257.0,25427.0,1650.0,11506.0,1311.0,3874.0,650.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,7.0,12.0,Ramsey,Adams,27_123,31_001,outflow_05_09_Nebraska.csv,2005,2009
11,29,95.0,31.0,1.0,Missouri,Jackson County,679139.0,654.0,557930.0,3713.0,119014.0,3749.0,83937.0,3513.0,13804.0,1215.0,21273.0,1502.0,2195.0,502.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,27.0,31.0,Jackson,Adams,29_095,31_001,outflow_05_09_Nebraska.csv,2005,2009
12,31,19.0,31.0,1.0,Nebraska,Buffalo County,44124.0,127.0,34684.0,747.0,9241.0,731.0,5326.0,768.0,2765.0,491.0,1150.0,339.0,199.0,85.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,150.0,70.0,Buffalo,Adams,31_019,31_001,outflow_05_09_Nebraska.csv,2005,2009
13,31,31.0,31.0,1.0,Nebraska,Cherry County,5635.0,28.0,5102.0,186.0,510.0,187.0,235.0,131.0,109.0,90.0,166.0,77.0,23.0,28.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,2.0,6.0,Cherry,Adams,31_031,31_001,outflow_05_09_Nebraska.csv,2005,2009
14,31,35.0,31.0,1.0,Nebraska,Clay County,6251.0,27.0,5269.0,219.0,970.0,216.0,374.0,132.0,432.0,165.0,164.0,97.0,12.0,12.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,206.0,129.0,Clay,Adams,31_035,31_001,outflow_05_09_Nebraska.csv,2005,2009
15,31,41.0,31.0,1.0,Nebraska,Custer County,10784.0,40.0,9274.0,351.0,1490.0,354.0,1036.0,317.0,313.0,115.0,141.0,68.0,20.0,25.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,1.0,3.0,Custer,Adams,31_041,31_001,outflow_05_09_Nebraska.csv,2005,2009
16,31,51.0,31.0,1.0,Nebraska,Dixon County,6134.0,29.0,5621.0,131.0,513.0,130.0,220.0,96.0,136.0,53.0,157.0,78.0,,,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,3.0,4.0,Dixon,Adams,31_051,31_001,outflow_05_09_Nebraska.csv,2005,2009
17,31,53.0,31.0,1.0,Nebraska,Dodge County,35399.0,109.0,29579.0,747.0,5746.0,752.0,3390.0,570.0,1625.0,415.0,731.0,243.0,74.0,52.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,18.0,28.0,Dodge,Adams,31_053,31_001,outflow_05_09_Nebraska.csv,2005,2009
18,31,55.0,31.0,1.0,Nebraska,Douglas County,489238.0,442.0,395401.0,2595.0,90616.0,2489.0,63596.0,2480.0,11108.0,934.0,15912.0,1165.0,3221.0,536.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,216.0,166.0,Douglas,Adams,31_055,31_001,outflow_05_09_Nebraska.csv,2005,2009
19,31,59.0,31.0,1.0,Nebraska,Fillmore County,6004.0,27.0,4963.0,196.0,1041.0,199.0,392.0,199.0,599.0,228.0,50.0,43.0,,,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,26.0,33.0,Fillmore,Adams,31_059,31_001,outflow_05_09_Nebraska.csv,2005,2009
20,31,61.0,31.0,1.0,Nebraska,Franklin County,3144.0,13.0,2679.0,187.0,459.0,182.0,104.0,58.0,273.0,144.0,82.0,57.0,6.0,8.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,6.0,9.0,Franklin,Adams,31_061,31_001,outflow_05_09_Nebraska.csv,2005,2009
21,31,65.0,31.0,1.0,Nebraska,Furnas County,4638.0,21.0,4073.0,131.0,565.0,126.0,282.0,95.0,190.0,67.0,93.0,50.0,,,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,5.0,9.0,Furnas,Adams,31_065,31_001,outflow_05_09_Nebraska.csv,2005,2009
22,31,73.0,31.0,1.0,Nebraska,Gosper County,1910.0,14.0,1706.0,87.0,199.0,87.0,81.0,56.0,118.0,75.0,,,5.0,5.0,Nebraska,Adams County,31861.0,621.0,26450.0,674.0,5411.0,603.0,3564.0,501.0,1432.0,317.0,415.0,158.0,,,7.0,12.0,Gosper,Adams,31_073,31_001,outflow_05_09_Nebraska.csv,2005,2009
