,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
0,1.0,30,63.0,North Dakota,Adams County,2285.0,6.0,1946.0,122.0,339.0,123.0,164.0,66.0,93.0,68.0,82.0,75.0,,,Montana,Missoula County,102095.0,1592.0,80027.0,1951.0,22068.0,1488.0,14235.0,1196.0,3362.0,536.0,4471.0,563.0,,,5.0,8.0,Adams,Missoula,38_001,30_063,inflow_05_09_North Dakota.csv,2005,2009
1,1.0,38,11.0,North Dakota,Adams County,2285.0,6.0,1946.0,122.0,339.0,123.0,164.0,66.0,93.0,68.0,82.0,75.0,,,North Dakota,Bowman County,3054.0,165.0,2656.0,108.0,398.0,159.0,161.0,93.0,152.0,92.0,85.0,100.0,,,50.0,67.0,Adams,Bowman,38_001,38_011,inflow_05_09_North Dakota.csv,2005,2009
2,1.0,38,13.0,North Dakota,Adams County,2285.0,6.0,1946.0,122.0,339.0,123.0,164.0,66.0,93.0,68.0,82.0,75.0,,,North Dakota,Burke County,2034.0,154.0,1831.0,129.0,203.0,86.0,84.0,54.0,116.0,65.0,3.0,4.0,,,16.0,23.0,Adams,Burke,38_001,38_013,inflow_05_09_North Dakota.csv,2005,2009
3,1.0,38,55.0,North Dakota,Adams County,2285.0,6.0,1946.0,122.0,339.0,123.0,164.0,66.0,93.0,68.0,82.0,75.0,,,North Dakota,McLean County,8547.0,207.0,7694.0,111.0,853.0,188.0,226.0,79.0,449.0,141.0,178.0,93.0,,,18.0,22.0,Adams,McLean,38_001,38_055,inflow_05_09_North Dakota.csv,2005,2009
4,1.0,38,89.0,North Dakota,Adams County,2285.0,6.0,1946.0,122.0,339.0,123.0,164.0,66.0,93.0,68.0,82.0,75.0,,,North Dakota,Stark County,21250.0,652.0,18390.0,591.0,2860.0,507.0,1551.0,322.0,766.0,312.0,543.0,199.0,,,9.0,11.0,Adams,Stark,38_001,38_089,inflow_05_09_North Dakota.csv,2005,2009
5,1.0,46,103.0,North Dakota,Adams County,2285.0,6.0,1946.0,122.0,339.0,123.0,164.0,66.0,93.0,68.0,82.0,75.0,,,South Dakota,Pennington County,93407.0,1288.0,74385.0,1364.0,19022.0,1363.0,11746.0,1031.0,2920.0,467.0,4356.0,706.0,,,2.0,4.0,Adams,Pennington,38_001,46_103,inflow_05_09_North Dakota.csv,2005,2009
6,1.0,46,105.0,North Dakota,Adams County,2285.0,6.0,1946.0,122.0,339.0,123.0,164.0,66.0,93.0,68.0,82.0,75.0,,,South Dakota,Perkins County,2934.0,162.0,2504.0,128.0,430.0,137.0,210.0,81.0,54.0,40.0,166.0,108.0,,,66.0,75.0,Adams,Perkins,38_001,46_105,inflow_05_09_North Dakota.csv,2005,2009
7,1.0,48,339.0,North Dakota,Adams County,2285.0,6.0,1946.0,122.0,339.0,123.0,164.0,66.0,93.0,68.0,82.0,75.0,,,Texas,Montgomery County,388152.0,3397.0,329910.0,3524.0,58242.0,2980.0,34454.0,2515.0,17188.0,1420.0,6600.0,929.0,,,9.0,13.0,Adams,Montgomery,38_001,48_339,inflow_05_09_North Dakota.csv,2005,2009
8,3.0,05,143.0,North Dakota,Barnes County,10708.0,44.0,9246.0,246.0,1385.0,241.0,870.0,217.0,259.0,111.0,256.0,103.0,77.0,95.0,Arkansas,Washington County,183907.0,2280.0,140596.0,2327.0,43311.0,2414.0,29535.0,1947.0,7664.0,1135.0,6112.0,749.0,,,4.0,6.0,Barnes,Washington,38_003,05_143,inflow_05_09_North Dakota.csv,2005,2009
9,3.0,06,73.0,North Dakota,Barnes County,10708.0,44.0,9246.0,246.0,1385.0,241.0,870.0,217.0,259.0,111.0,256.0,103.0,77.0,95.0,California,San Diego County,2923461.0,6696.0,2402432.0,8152.0,520924.0,8429.0,363883.0,7418.0,63506.0,2853.0,93535.0,3351.0,105.0,79.0,6.0,9.0,Barnes,San Diego,38_003,06_073,inflow_05_09_North Dakota.csv,2005,2009
10,3.0,08,5.0,North Dakota,Barnes County,10708.0,44.0,9246.0,246.0,1385.0,241.0,870.0,217.0,259.0,111.0,256.0,103.0,77.0,95.0,Colorado,Arapahoe County,531127.0,3677.0,440783.0,3280.0,90332.0,3331.0,42087.0,2280.0,32771.0,1872.0,15474.0,1269.0,12.0,19.0,3.0,5.0,Barnes,Arapahoe,38_003,08_005,inflow_05_09_North Dakota.csv,2005,2009
11,3.0,12,86.0,North Dakota,Barnes County,10708.0,44.0,9246.0,246.0,1385.0,241.0,870.0,217.0,259.0,111.0,256.0,103.0,77.0,95.0,Florida,Miami-Dade County,2432452.0,6426.0,2064866.0,7611.0,366130.0,8522.0,261685.0,6790.0,58861.0,3706.0,45584.0,2611.0,1456.0,360.0,8.0,14.0,Barnes,Miami-Dade,38_003,12_086,inflow_05_09_North Dakota.csv,2005,2009
