,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,municipio_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,movers_within_puerto_rico_estimate,origin_col_11_moe,movers_within_same_municipio_estimate,origin_col_13_moe,movers_from_different_municipio_estimate,origin_col_15_moe,movers_from_u_s_estimate,origin_col_17_moe,movers_from_elsewhere1_estimate,origin_col_19_moe,dest_state_name,dest_county_name,municipio_county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,movers_within_puerto_rico_or_united_states2_estimate,dest_col_27_moe,movers_within_same_municipio_county_estimate,dest_col_29_moe,movers_to_different_municipio_or_county__same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end,county_of_current_residence_estimate,origin_movers_us_estimate,origin_movers_same_county_estimate,origin_movers_diff_county_same_state_estimate,origin_movers_diff_state_estimate,origin_movers_abroad_estimate,county_of_residence_1_year_ago_estimate,dest_movers_us_estimate,dest_movers_same_county_estimate,dest_movers_diff_county_same_state_estimate
0,1.0,36,47.0,Puerto Rico,Adjuntas Municipio,18310.0,82.0,17440.0,276.0,782.0,282.0,630.0,260.0,152.0,110.0,60.0,69.0,28.0,45.0,New York,Kings County,2544049.0,5627.0,2269307.0,5310.0,273424.0,6396.0,146802.0,4948.0,60165.0,3155.0,66457.0,2999.0,1318.0,315.0,24.0,39.0,Adjuntas Municipio,Kings,72_001,36_047,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
1,1.0,48,223.0,Puerto Rico,Adjuntas Municipio,18310.0,82.0,17440.0,276.0,782.0,282.0,630.0,260.0,152.0,110.0,60.0,69.0,28.0,45.0,Texas,Hopkins County,32920.0,712.0,27783.0,728.0,5101.0,725.0,3307.0,568.0,1366.0,386.0,428.0,199.0,36.0,58.0,36.0,58.0,Adjuntas Municipio,Hopkins,72_001,48_223,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
2,1.0,72,21.0,Puerto Rico,Adjuntas Municipio,18310.0,82.0,17440.0,276.0,782.0,282.0,630.0,260.0,152.0,110.0,60.0,69.0,28.0,45.0,Puerto Rico,Bayamón Municipio,214319.0,1181.0,196841.0,1398.0,17478.0,1221.0,10625.0,928.0,6853.0,849.0,,,,,27.0,40.0,Adjuntas Municipio,Bayamón Municipio,72_001,72_021,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
3,1.0,72,43.0,Puerto Rico,Adjuntas Municipio,18310.0,82.0,17440.0,276.0,782.0,282.0,630.0,260.0,152.0,110.0,60.0,69.0,28.0,45.0,Puerto Rico,Coamo Municipio,39276.0,482.0,36660.0,494.0,2616.0,576.0,1615.0,457.0,1001.0,348.0,,,,,45.0,55.0,Adjuntas Municipio,Coamo Municipio,72_001,72_043,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
4,1.0,72,81.0,Puerto Rico,Adjuntas Municipio,18310.0,82.0,17440.0,276.0,782.0,282.0,630.0,260.0,152.0,110.0,60.0,69.0,28.0,45.0,Puerto Rico,Lares Municipio,37269.0,487.0,34672.0,647.0,2597.0,568.0,1887.0,514.0,710.0,271.0,,,,,36.0,58.0,Adjuntas Municipio,Lares Municipio,72_001,72_081,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
5,1.0,72,113.0,Puerto Rico,Adjuntas Municipio,18310.0,82.0,17440.0,276.0,782.0,282.0,630.0,260.0,152.0,110.0,60.0,69.0,28.0,45.0,Puerto Rico,Ponce Municipio,174100.0,943.0,158364.0,1532.0,15736.0,1410.0,12915.0,1260.0,2821.0,540.0,,,,,10.0,19.0,Adjuntas Municipio,Ponce Municipio,72_001,72_113,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
6,1.0,72,127.0,Puerto Rico,Adjuntas Municipio,18310.0,82.0,17440.0,276.0,782.0,282.0,630.0,260.0,152.0,110.0,60.0,69.0,28.0,45.0,Puerto Rico,San Juan Municipio,410511.0,1935.0,368481.0,2301.0,42030.0,2412.0,30902.0,1756.0,11128.0,1280.0,,,,,23.0,40.0,Adjuntas Municipio,San Juan Municipio,72_001,72_127,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
7,1.0,72,137.0,Puerto Rico,Adjuntas Municipio,18310.0,82.0,17440.0,276.0,782.0,282.0,630.0,260.0,152.0,110.0,60.0,69.0,28.0,45.0,Puerto Rico,Toa Baja Municipio,93177.0,934.0,87046.0,890.0,6131.0,965.0,3287.0,697.0,2844.0,653.0,,,,,11.0,19.0,Adjuntas Municipio,Toa Baja Municipio,72_001,72_137,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
8,1.0,CAM,0.0,Puerto Rico,Adjuntas Municipio,18310.0,82.0,17440.0,276.0,782.0,282.0,630.0,260.0,152.0,110.0,60.0,69.0,28.0,45.0,Central America,-,,,,,,,,,,,,,,,10.0,16.0,Adjuntas Municipio,,72_001,Central America,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
9,1.0,CAR,0.0,Puerto Rico,Adjuntas Municipio,18310.0,82.0,17440.0,276.0,782.0,282.0,630.0,260.0,152.0,110.0,60.0,69.0,28.0,45.0,Caribbean,-,,,,,,,,,,,,,,,18.0,29.0,Adjuntas Municipio,,72_001,Caribbean,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
10,3.0,09,1.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,Connecticut,Fairfield County,885337.0,3226.0,780202.0,3859.0,104678.0,3897.0,62344.0,3165.0,13224.0,1166.0,29110.0,1840.0,457.0,235.0,35.0,56.0,Aguada Municipio,Fairfield,72_003,09_001,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
11,3.0,09,9.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,Connecticut,New Haven County,834769.0,3145.0,726541.0,4091.0,107679.0,4256.0,70187.0,3567.0,14688.0,1166.0,22804.0,1661.0,549.0,274.0,44.0,60.0,Aguada Municipio,New Haven,72_003,09_009,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
12,3.0,12,95.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,Florida,Orange County,1048784.0,6112.0,820789.0,6357.0,225287.0,6074.0,137228.0,4701.0,51297.0,2986.0,36762.0,2247.0,2708.0,527.0,60.0,98.0,Aguada Municipio,Orange,72_003,12_095,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
13,3.0,12,97.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,Florida,Osceola County,245902.0,2823.0,201145.0,2809.0,43784.0,2999.0,23193.0,2114.0,12847.0,1622.0,7744.0,1050.0,973.0,317.0,10.0,15.0,Aguada Municipio,Osceola,72_003,12_097,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
14,3.0,13,121.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,Georgia,Fulton County,979207.0,6790.0,764369.0,5679.0,214633.0,5967.0,108571.0,3949.0,64379.0,3302.0,41683.0,2288.0,205.0,133.0,15.0,25.0,Aguada Municipio,Fulton,72_003,13_121,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
15,3.0,13,135.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,Georgia,Gwinnett County,741994.0,4070.0,620709.0,4696.0,121089.0,4457.0,68832.0,3363.0,34360.0,2175.0,17897.0,1752.0,196.0,257.0,16.0,25.0,Aguada Municipio,Gwinnett,72_003,13_135,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
16,3.0,17,31.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,Illinois,Cook County,5236008.0,8026.0,4424233.0,10635.0,810967.0,11783.0,575364.0,10651.0,101344.0,4126.0,134259.0,4548.0,808.0,265.0,59.0,92.0,Aguada Municipio,Cook,72_003,17_031,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
17,3.0,25,25.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,Massachusetts,Suffolk County,714122.0,4598.0,559410.0,4973.0,153654.0,5338.0,87295.0,4179.0,36873.0,2273.0,29486.0,1806.0,1058.0,298.0,73.0,87.0,Aguada Municipio,Suffolk,72_003,25_025,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
18,3.0,34,13.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,New Jersey,Essex County,766562.0,3421.0,657212.0,3910.0,108968.0,4255.0,67717.0,3316.0,21651.0,1445.0,19600.0,1925.0,382.0,220.0,33.0,54.0,Aguada Municipio,Essex,72_003,34_013,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
19,3.0,34,27.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,New Jersey,Morris County,481183.0,2271.0,436009.0,2509.0,45161.0,2184.0,19798.0,1771.0,11733.0,1102.0,13630.0,1199.0,13.0,16.0,7.0,13.0,Aguada Municipio,Morris,72_003,34_027,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
20,3.0,36,5.0,Puerto Rico,Aguada Municipio,45222.0,147.0,42663.0,584.0,1988.0,550.0,1656.0,514.0,332.0,214.0,571.0,257.0,,,New York,Bronx County,1359477.0,4380.0,1195162.0,4701.0,162760.0,5004.0,99106.0,3908.0,34544.0,2122.0,29110.0,2096.0,1555.0,431.0,31.0,48.0,Aguada Municipio,Bronx,72_003,36_005,inflow_05_09_Puerto Rico.csv,2005,2009,,,,,,,,,,
