origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
18,001,12,103,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Florida,Pinellas County,901831.0,2832.0,762103.0,4594.0,139649.0,4203.0,93558.0,3697.0,24601.0,1764.0,21490.0,1280.0,79.0,74.0,10,15,Adams,Pinellas,18_001,12_103,inflow_05_09_Indiana.csv,2005,2009
18,001,13,089,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Georgia,DeKalb County,703868.0,5345.0,563434.0,5275.0,140434.0,5103.0,76911.0,3872.0,43585.0,2954.0,19938.0,1570.0,,,21,29,Adams,DeKalb,18_001,13_089,inflow_05_09_Indiana.csv,2005,2009
18,001,13,153,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Georgia,Houston County,126466.0,1606.0,101364.0,1676.0,25085.0,2124.0,16264.0,1774.0,4907.0,860.0,3914.0,588.0,17.0,27.0,6,10,Adams,Houston,18_001,13_153,inflow_05_09_Indiana.csv,2005,2009
18,001,17,041,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Illinois,Douglas County,19394.0,442.0,16738.0,431.0,2656.0,483.0,1450.0,298.0,897.0,307.0,309.0,193.0,,,12,20,Adams,Douglas,18_001,17_041,inflow_05_09_Indiana.csv,2005,2009
18,001,17,201,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Illinois,Winnebago County,292267.0,1810.0,250610.0,2032.0,41657.0,2363.0,28788.0,1684.0,5659.0,754.0,7210.0,994.0,,,12,20,Adams,Winnebago,18_001,17_201,inflow_05_09_Indiana.csv,2005,2009
18,001,18,003,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Allen County,345791.0,1908.0,295131.0,1947.0,50660.0,1974.0,34345.0,1717.0,8420.0,770.0,7895.0,1018.0,,,230,160,Adams,Allen,18_001,18_003,inflow_05_09_Indiana.csv,2005,2009
18,001,18,009,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Blackford County,13097.0,440.0,10658.0,478.0,2439.0,548.0,1510.0,429.0,612.0,208.0,317.0,228.0,,,24,38,Adams,Blackford,18_001,18_009,inflow_05_09_Indiana.csv,2005,2009
18,001,18,023,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Clinton County,33230.0,513.0,28537.0,807.0,4693.0,697.0,3205.0,641.0,1086.0,301.0,402.0,184.0,,,55,79,Adams,Clinton,18_001,18_023,inflow_05_09_Indiana.csv,2005,2009
18,001,18,039,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Elkhart County,195103.0,1577.0,162203.0,2188.0,32900.0,2341.0,23245.0,2192.0,5120.0,685.0,4535.0,713.0,,,12,16,Adams,Elkhart,18_001,18_039,inflow_05_09_Indiana.csv,2005,2009
18,001,18,053,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Grant County,68270.0,984.0,57758.0,1072.0,10512.0,1172.0,6807.0,937.0,1974.0,507.0,1731.0,496.0,,,13,21,Adams,Grant,18_001,18_053,inflow_05_09_Indiana.csv,2005,2009
18,001,18,065,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Henry County,46583.0,833.0,39503.0,875.0,7080.0,927.0,4235.0,739.0,2130.0,439.0,715.0,244.0,,,19,30,Adams,Henry,18_001,18_065,inflow_05_09_Indiana.csv,2005,2009
18,001,18,069,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Huntington County,37633.0,562.0,32591.0,715.0,5042.0,774.0,3332.0,648.0,1296.0,307.0,414.0,183.0,,,46,60,Adams,Huntington,18_001,18_069,inflow_05_09_Indiana.csv,2005,2009
18,001,18,075,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Jay County,21393.0,546.0,18562.0,468.0,2831.0,587.0,1425.0,352.0,936.0,259.0,470.0,327.0,,,49,32,Adams,Jay,18_001,18_075,inflow_05_09_Indiana.csv,2005,2009
18,001,18,085,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Kosciusko County,75152.0,1016.0,63868.0,1022.0,11284.0,1271.0,7019.0,957.0,2812.0,515.0,1453.0,443.0,,,59,77,Adams,Kosciusko,18_001,18_085,inflow_05_09_Indiana.csv,2005,2009
18,001,18,091,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,LaPorte County,107497.0,1027.0,92341.0,1197.0,15156.0,1242.0,9912.0,1007.0,3038.0,411.0,2206.0,506.0,,,33,48,Adams,LaPorte,18_001,18_091,inflow_05_09_Indiana.csv,2005,2009
18,001,18,097,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Marion County,867492.0,3607.0,684908.0,4421.0,182584.0,4661.0,125949.0,3877.0,34789.0,2097.0,21846.0,1686.0,,,42,67,Adams,Marion,18_001,18_097,inflow_05_09_Indiana.csv,2005,2009
18,001,18,105,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Monroe County,117334.0,1840.0,85202.0,1624.0,32132.0,1729.0,21168.0,1424.0,4794.0,648.0,6170.0,712.0,,,33,46,Adams,Monroe,18_001,18_105,inflow_05_09_Indiana.csv,2005,2009
18,001,18,109,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Morgan County,70676.0,1126.0,59467.0,1143.0,11209.0,1304.0,6140.0,926.0,4037.0,814.0,1032.0,329.0,,,3,5,Adams,Morgan,18_001,18_109,inflow_05_09_Indiana.csv,2005,2009
18,001,18,135,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Randolph County,26410.0,827.0,22359.0,459.0,4051.0,814.0,1947.0,381.0,1116.0,313.0,988.0,591.0,,,17,30,Adams,Randolph,18_001,18_135,inflow_05_09_Indiana.csv,2005,2009
18,001,18,179,Indiana,Adams County,33328,154,29111,794,4188,773,3066,735,736,227,386,195,29.0,35.0,Indiana,Wells County,27347.0,561.0,23758.0,591.0,3589.0,648.0,2223.0,503.0,1094.0,347.0,272.0,140.0,,,81,85,Adams,Wells,18_001,18_179,inflow_05_09_Indiana.csv,2005,2009
