origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
21,001,01,055,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,Alabama,Etowah County,100455.0,1130.0,85209.0,1314.0,15246.0,1492.0,10223.0,1249.0,2947.0,479.0,2076.0,636.0,,,63.0,95.0,Adair,Etowah,21_001,01_055,inflow_05_09_Kentucky.csv,2005,2009
21,001,01,103,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,Alabama,Morgan County,114163.0,1225.0,96729.0,1149.0,17434.0,1292.0,10952.0,986.0,4663.0,760.0,1819.0,427.0,,,29.0,49.0,Adair,Morgan,21_001,01_103,inflow_05_09_Kentucky.csv,2005,2009
21,001,05,045,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,Arkansas,Faulkner County,98884.0,1343.0,79508.0,1356.0,19376.0,1432.0,12112.0,1173.0,4409.0,716.0,2855.0,658.0,,,48.0,77.0,Adair,Faulkner,21_001,05_045,inflow_05_09_Kentucky.csv,2005,2009
21,001,06,065,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,California,Riverside County,1959883.0,5623.0,1644224.0,7910.0,315594.0,6985.0,217463.0,5782.0,63426.0,3013.0,34705.0,2595.0,65.0,62.0,120.0,191.0,Adair,Riverside,21_001,06_065,inflow_05_09_Kentucky.csv,2005,2009
21,001,12,107,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,Florida,Putnam County,72397.0,1457.0,62870.0,1246.0,9527.0,1506.0,5027.0,1041.0,2948.0,829.0,1552.0,550.0,,,19.0,31.0,Adair,Putnam,21_001,12_107,inflow_05_09_Kentucky.csv,2005,2009
21,001,20,009,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,Kansas,Barton County,27083.0,637.0,22545.0,814.0,4538.0,797.0,2781.0,674.0,1180.0,333.0,577.0,270.0,,,67.0,80.0,Adair,Barton,21_001,20_009,inflow_05_09_Kentucky.csv,2005,2009
21,001,20,027,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,Kansas,Clay County,8793.0,242.0,7663.0,255.0,1130.0,270.0,484.0,194.0,362.0,135.0,284.0,147.0,,,66.0,79.0,Adair,Clay,21_001,20_027,inflow_05_09_Kentucky.csv,2005,2009
21,001,20,115,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,Kansas,Marion County,12398.0,412.0,10350.0,367.0,2048.0,506.0,944.0,370.0,764.0,313.0,340.0,187.0,,,48.0,57.0,Adair,Marion,21_001,20_115,inflow_05_09_Kentucky.csv,2005,2009
21,001,21,007,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,Kentucky,Ballard County,8092.0,206.0,7104.0,245.0,988.0,249.0,607.0,191.0,328.0,152.0,53.0,50.0,,,14.0,22.0,Adair,Ballard,21_001,21_007,inflow_05_09_Kentucky.csv,2005,2009
21,001,21,045,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,Kentucky,Casey County,16075.0,410.0,14669.0,442.0,1406.0,354.0,712.0,283.0,542.0,168.0,152.0,91.0,,,114.0,92.0,Adair,Casey,21_001,21_045,inflow_05_09_Kentucky.csv,2005,2009
21,001,21,057,Kentucky,Adair County,17724.0,59.0,14823.0,549.0,2893.0,534.0,1304.0,381.0,902.0,315.0,687.0,410.0,8.0,13.0,Kentucky,Cumberland County,7091.0,218.0,6305.0,236.0,786.0,268.0,410.0,197.0,96.0,59.0,280.0,187.0,,,9.0,15.0,Adair,Cumberland,21_001,21_057,inflow_05_09_Kentucky.csv,2005,2009
