origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file,year_start,year_end
022,001,001,097,Louisiana,Acadia Parish,58882.0,181.0,51210.0,1187.0,7465.0,1179.0,4865.0,931.0,1947.0,577.0,653.0,238.0,207.0,121.0,Alabama,Mobile County,401131.0,2330.0,341967.0,2754.0,59164.0,3174.0,42234.0,2491.0,5073.0,713.0,11857.0,1632.0,,,29.0,44.0,Acadia Parish,Mobile,inflow_05_09_Louisiana.csv,2005,2009
022,001,001,125,Louisiana,Acadia Parish,58882.0,181.0,51210.0,1187.0,7465.0,1179.0,4865.0,931.0,1947.0,577.0,653.0,238.0,207.0,121.0,Alabama,Tuscaloosa County,168917.0,1914.0,139762.0,2097.0,29155.0,1893.0,20417.0,1731.0,4609.0,650.0,4129.0,618.0,,,14.0,22.0,Acadia Parish,Tuscaloosa,inflow_05_09_Louisiana.csv,2005,2009
022,001,006,013,Louisiana,Acadia Parish,58882.0,181.0,51210.0,1187.0,7465.0,1179.0,4865.0,931.0,1947.0,577.0,653.0,238.0,207.0,121.0,California,Contra Costa County,1000914.0,3442.0,852992.0,5650.0,147922.0,5588.0,94954.0,5006.0,37903.0,2004.0,15065.0,1442.0,,,8.0,16.0,Acadia Parish,Contra Costa,inflow_05_09_Louisiana.csv,2005,2009
022,001,006,037,Louisiana,Acadia Parish,58882.0,181.0,51210.0,1187.0,7465.0,1179.0,4865.0,931.0,1947.0,577.0,653.0,238.0,207.0,121.0,California,Los Angeles County,9724599.0,9720.0,8385192.0,16130.0,1338968.0,17409.0,966637.0,14727.0,210484.0,5947.0,161847.0,4541.0,439.0,272.0,29.0,41.0,Acadia Parish,Los Angeles,inflow_05_09_Louisiana.csv,2005,2009
022,001,008,005,Louisiana,Acadia Parish,58882.0,181.0,51210.0,1187.0,7465.0,1179.0,4865.0,931.0,1947.0,577.0,653.0,238.0,207.0,121.0,Colorado,Arapahoe County,531127.0,3677.0,440783.0,3280.0,90332.0,3331.0,42087.0,2280.0,32771.0,1872.0,15474.0,1269.0,12.0,19.0,14.0,25.0,Acadia Parish,Arapahoe,inflow_05_09_Louisiana.csv,2005,2009
022,001,008,045,Louisiana,Acadia Parish,58882.0,181.0,51210.0,1187.0,7465.0,1179.0,4865.0,931.0,1947.0,577.0,653.0,238.0,207.0,121.0,Colorado,Garfield County,52009.0,1054.0,42277.0,926.0,9732.0,1068.0,5006.0,784.0,2554.0,729.0,2172.0,457.0,,,8.0,13.0,Acadia Parish,Garfield,inflow_05_09_Louisiana.csv,2005,2009
022,001,009,003,Louisiana,Acadia Parish,58882.0,181.0,51210.0,1187.0,7465.0,1179.0,4865.0,931.0,1947.0,577.0,653.0,238.0,207.0,121.0,Connecticut,Hartford County,864500.0,2839.0,753028.0,3572.0,110505.0,3917.0,74302.0,3142.0,14755.0,1193.0,21448.0,1400.0,967.0,342.0,22.0,33.0,Acadia Parish,Hartford,inflow_05_09_Louisiana.csv,2005,2009
022,001,012,031,Louisiana,Acadia Parish,58882.0,181.0,51210.0,1187.0,7465.0,1179.0,4865.0,931.0,1947.0,577.0,653.0,238.0,207.0,121.0,Florida,Duval County,830165.0,3778.0,664346.0,4998.0,165584.0,4532.0,113622.0,4035.0,22870.0,1841.0,29092.0,2096.0,235.0,154.0,72.0,112.0,Acadia Parish,Duval,inflow_05_09_Louisiana.csv,2005,2009
022,001,020,013,Louisiana,Acadia Parish,58882.0,181.0,51210.0,1187.0,7465.0,1179.0,4865.0,931.0,1947.0,577.0,653.0,238.0,207.0,121.0,Kansas,Brown County,9927.0,211.0,8467.0,244.0,1460.0,288.0,845.0,218.0,511.0,145.0,104.0,80.0,,,40.0,64.0,Acadia Parish,Brown,inflow_05_09_Louisiana.csv,2005,2009
022,001,022,005,Louisiana,Acadia Parish,58882.0,181.0,51210.0,1187.0,7465.0,1179.0,4865.0,931.0,1947.0,577.0,653.0,238.0,207.0,121.0,Louisiana,Ascension Parish,95766.0,1264.0,83554.0,1414.0,12212.0,1655.0,6679.0,1222.0,3861.0,793.0,1672.0,510.0,,,17.0,27.0,Acadia Parish,Ascension Parish,inflow_05_09_Louisiana.csv,2005,2009
