origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
39,001,04,025,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38.0,58.0,Arizona,Yavapai County,204103.0,2051.0,171335.0,2504.0,32768.0,2283.0,19147.0,1923.0,6079.0,841.0,7542.0,1002.0,,,5,9,Adams,Yavapai,39_001,04_025,inflow_05_09_Ohio.csv,2005,2009
39,001,06,013,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38.0,58.0,California,Contra Costa County,1000914.0,3442.0,852992.0,5650.0,147922.0,5588.0,94954.0,5006.0,37903.0,2004.0,15065.0,1442.0,,,22,31,Adams,Contra Costa,39_001,06_013,inflow_05_09_Ohio.csv,2005,2009
39,001,21,017,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38.0,58.0,Kentucky,Bourbon County,19407.0,522.0,15740.0,650.0,3667.0,744.0,2135.0,604.0,1417.0,423.0,115.0,82.0,,,23,38,Adams,Bourbon,39_001,21_017,inflow_05_09_Ohio.csv,2005,2009
39,001,21,187,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38.0,58.0,Kentucky,Owen County,11239.0,447.0,9672.0,284.0,1567.0,447.0,696.0,229.0,862.0,354.0,9.0,11.0,,,5,8,Adams,Owen,39_001,21_187,inflow_05_09_Ohio.csv,2005,2009
39,001,24,001,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38.0,58.0,Maryland,Allegany County,69779.0,1015.0,60140.0,1131.0,9639.0,988.0,6059.0,745.0,1644.0,391.0,1936.0,422.0,,,27,31,Adams,Allegany,39_001,24_001,inflow_05_09_Ohio.csv,2005,2009
39,001,26,041,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38.0,58.0,Michigan,Delta County,36973.0,465.0,32956.0,680.0,4017.0,586.0,2545.0,427.0,660.0,180.0,812.0,274.0,,,52,77,Adams,Delta,39_001,26_041,inflow_05_09_Ohio.csv,2005,2009
39,001,26,125,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38.0,58.0,Michigan,Oakland County,1191211.0,3785.0,1030982.0,4435.0,160148.0,4445.0,92068.0,3577.0,40782.0,2099.0,27298.0,2118.0,81.0,89.0,33,46,Adams,Oakland,39_001,26_125,inflow_05_09_Ohio.csv,2005,2009
39,001,30,029,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38.0,58.0,Montana,Flathead County,87015.0,1142.0,77458.0,990.0,9557.0,1164.0,4588.0,670.0,1794.0,376.0,3175.0,767.0,,,9,14,Adams,Flathead,39_001,30_029,inflow_05_09_Ohio.csv,2005,2009
39,001,31,055,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38.0,58.0,Nebraska,Douglas County,489280.0,2025.0,395401.0,2595.0,93864.0,2806.0,63596.0,2480.0,13041.0,1201.0,17227.0,1341.0,15.0,24.0,16,24,Adams,Douglas,39_001,31_055,inflow_05_09_Ohio.csv,2005,2009
39,001,32,031,Ohio,Adams County,27695,119,23974,634,3683,637,2443,521,839,300,401,227,38.0,58.0,Nevada,Washoe County,393167.0,2428.0,313480.0,3016.0,79687.0,3371.0,57482.0,3076.0,5085.0,911.0,17120.0,1663.0,,,29,42,Adams,Washoe,39_001,32_031,inflow_05_09_Ohio.csv,2005,2009
