origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
49,001,06,037,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,California,Los Angeles County,9724599.0,9720.0,8385192.0,16130.0,1338968.0,17409.0,966637.0,14727.0,210484.0,5947.0,161847.0,4541.0,439.0,272.0,19.0,26.0,Beaver,Los Angeles,49_001,06_037,inflow_05_09_Utah.csv,2005,2009
49,001,06,065,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,California,Riverside County,1959883.0,5623.0,1644224.0,7910.0,315594.0,6985.0,217463.0,5782.0,63426.0,3013.0,34705.0,2595.0,65.0,62.0,29.0,41.0,Beaver,Riverside,49_001,06_065,inflow_05_09_Utah.csv,2005,2009
49,001,12,005,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Florida,Bay County,158989.0,2161.0,124512.0,1906.0,34477.0,2350.0,21885.0,1785.0,4808.0,781.0,7784.0,1141.0,,,8.0,14.0,Beaver,Bay,49_001,12_005,inflow_05_09_Utah.csv,2005,2009
49,001,12,105,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Florida,Polk County,545938.0,3751.0,448799.0,3842.0,97037.0,3889.0,67077.0,3129.0,16123.0,1608.0,13837.0,1261.0,102.0,59.0,23.0,37.0,Beaver,Polk,49_001,12_105,inflow_05_09_Utah.csv,2005,2009
49,001,27,161,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Minnesota,Waseca County,19168.0,463.0,16607.0,395.0,2561.0,556.0,1255.0,338.0,737.0,191.0,569.0,303.0,,,22.0,33.0,Beaver,Waseca,49_001,27_161,inflow_05_09_Utah.csv,2005,2009
49,001,32,003,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Nevada,Clark County,1761415.0,5178.0,1390931.0,7574.0,370326.0,7850.0,283754.0,6564.0,6217.0,953.0,80355.0,3057.0,158.0,149.0,29.0,39.0,Beaver,Clark,49_001,32_003,inflow_05_09_Utah.csv,2005,2009
49,001,40,109,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Oklahoma,Oklahoma County,685707.0,3636.0,535912.0,4409.0,149795.0,4732.0,102595.0,3919.0,28093.0,2087.0,19107.0,1675.0,,,26.0,40.0,Beaver,Oklahoma,49_001,40_109,inflow_05_09_Utah.csv,2005,2009
49,001,41,009,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Oregon,Columbia County,47522.0,701.0,41446.0,682.0,6076.0,791.0,3239.0,532.0,1639.0,395.0,1198.0,364.0,,,109.0,135.0,Beaver,Columbia,49_001,41_009,inflow_05_09_Utah.csv,2005,2009
49,001,49,003,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Utah,Box Elder County,46857.0,766.0,40045.0,887.0,6812.0,932.0,4422.0,791.0,1574.0,374.0,816.0,244.0,,,22.0,37.0,Beaver,Box Elder,49_001,49_003,inflow_05_09_Utah.csv,2005,2009
49,001,49,005,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Utah,Cache County,101419.0,1414.0,77996.0,1489.0,23423.0,1396.0,15754.0,1178.0,3900.0,722.0,3769.0,626.0,,,23.0,37.0,Beaver,Cache,49_001,49_005,inflow_05_09_Utah.csv,2005,2009
49,001,49,013,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Utah,Duchesne County,16057.0,461.0,13570.0,455.0,2487.0,468.0,1395.0,370.0,782.0,279.0,310.0,193.0,,,23.0,37.0,Beaver,Duchesne,49_001,49_013,inflow_05_09_Utah.csv,2005,2009
49,001,49,017,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Utah,Garfield County,4862.0,418.0,3890.0,185.0,972.0,436.0,232.0,141.0,487.0,383.0,253.0,134.0,,,28.0,40.0,Beaver,Garfield,49_001,49_017,inflow_05_09_Utah.csv,2005,2009
49,001,49,027,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Utah,Millard County,12315.0,392.0,10514.0,272.0,1801.0,422.0,697.0,208.0,714.0,213.0,390.0,301.0,,,55.0,83.0,Beaver,Millard,49_001,49_027,inflow_05_09_Utah.csv,2005,2009
49,001,49,035,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Utah,Salt Lake County,974032.0,4008.0,798076.0,4228.0,175938.0,5143.0,124099.0,4078.0,23596.0,1780.0,28243.0,2327.0,18.0,29.0,29.0,32.0,Beaver,Salt Lake,49_001,49_035,inflow_05_09_Utah.csv,2005,2009
49,001,49,049,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Utah,Utah County,475595.0,3703.0,380593.0,3864.0,95002.0,3468.0,64439.0,2817.0,12430.0,1240.0,18133.0,1511.0,,,23.0,37.0,Beaver,Utah,49_001,49_049,inflow_05_09_Utah.csv,2005,2009
49,001,49,053,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Utah,Washington County,126095.0,2008.0,99510.0,1951.0,26585.0,1916.0,15896.0,1393.0,5844.0,1041.0,4845.0,825.0,,,50.0,78.0,Beaver,Washington,49_001,49_053,inflow_05_09_Utah.csv,2005,2009
49,001,49,057,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Utah,Weber County,216354.0,2020.0,179432.0,2428.0,36922.0,2299.0,23139.0,1939.0,8940.0,1194.0,4843.0,850.0,,,22.0,37.0,Beaver,Weber,49_001,49_057,inflow_05_09_Utah.csv,2005,2009
49,001,CAM,000,Utah,Beaver County,6002.0,59.0,5095.0,345.0,871.0,342.0,331.0,156.0,275.0,240.0,265.0,153.0,36.0,42.0,Central America,-,,,,,,,,,,,,,,,36.0,42.0,Beaver,,49_001,Central America,inflow_05_09_Utah.csv,2005,2009
49,003,04,019,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Arizona,Pima County,952798.0,3988.0,766189.0,5644.0,186563.0,6221.0,143700.0,5281.0,15801.0,1682.0,27062.0,1646.0,46.0,62.0,4.0,7.0,Box Elder,Pima,49_003,04_019,inflow_05_09_Utah.csv,2005,2009
49,003,06,013,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,California,Contra Costa County,1000914.0,3442.0,852992.0,5650.0,147922.0,5588.0,94954.0,5006.0,37903.0,2004.0,15065.0,1442.0,,,32.0,47.0,Box Elder,Contra Costa,49_003,06_013,inflow_05_09_Utah.csv,2005,2009
49,003,06,037,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,California,Los Angeles County,9724599.0,9720.0,8385192.0,16130.0,1338968.0,17409.0,966637.0,14727.0,210484.0,5947.0,161847.0,4541.0,439.0,272.0,3.0,5.0,Box Elder,Los Angeles,49_003,06_037,inflow_05_09_Utah.csv,2005,2009
49,003,06,073,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,California,San Diego County,2923461.0,6696.0,2402432.0,8152.0,520924.0,8429.0,363883.0,7418.0,63506.0,2853.0,93535.0,3351.0,105.0,79.0,11.0,18.0,Box Elder,San Diego,49_003,06_073,inflow_05_09_Utah.csv,2005,2009
49,003,08,005,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Colorado,Arapahoe County,531127.0,3677.0,440783.0,3280.0,90332.0,3331.0,42087.0,2280.0,32771.0,1872.0,15474.0,1269.0,12.0,19.0,40.0,64.0,Box Elder,Arapahoe,49_003,08_005,inflow_05_09_Utah.csv,2005,2009
49,003,08,031,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Colorado,Denver County,578604.0,3719.0,444801.0,4003.0,133787.0,4235.0,65361.0,3260.0,45802.0,2184.0,22624.0,1712.0,16.0,25.0,13.0,20.0,Box Elder,Denver,49_003,08_031,inflow_05_09_Utah.csv,2005,2009
49,003,08,059,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Colorado,Jefferson County,521036.0,3354.0,434256.0,3098.0,86780.0,3668.0,41966.0,2138.0,31393.0,1907.0,13421.0,1149.0,,,6.0,9.0,Box Elder,Jefferson,49_003,08_059,inflow_05_09_Utah.csv,2005,2009
49,003,08,077,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Colorado,Mesa County,133624.0,1747.0,105435.0,2064.0,28189.0,2108.0,19946.0,1892.0,3938.0,842.0,4305.0,725.0,,,130.0,188.0,Box Elder,Mesa,49_003,08_077,inflow_05_09_Utah.csv,2005,2009
49,003,08,123,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Colorado,Weld County,233904.0,2167.0,192844.0,2445.0,41060.0,2485.0,24623.0,2059.0,10372.0,1173.0,6065.0,997.0,,,12.0,19.0,Box Elder,Weld,49_003,08_123,inflow_05_09_Utah.csv,2005,2009
49,003,12,009,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Florida,Brevard County,523789.0,3164.0,448165.0,3644.0,75557.0,3358.0,47486.0,2620.0,12529.0,1336.0,15542.0,1672.0,67.0,62.0,13.0,19.0,Box Elder,Brevard,49_003,12_009,inflow_05_09_Utah.csv,2005,2009
49,003,16,001,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Idaho,Ada County,355622.0,2780.0,281642.0,3030.0,73914.0,3077.0,49573.0,2523.0,10386.0,1337.0,13955.0,1355.0,66.0,83.0,21.0,27.0,Box Elder,Ada,49_003,16_001,inflow_05_09_Utah.csv,2005,2009
49,003,16,005,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Idaho,Bannock County,77886.0,1037.0,60964.0,1144.0,16922.0,1419.0,10923.0,1066.0,3247.0,629.0,2752.0,545.0,,,10.0,16.0,Box Elder,Bannock,49_003,16_005,inflow_05_09_Utah.csv,2005,2009
49,003,16,007,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Idaho,Bear Lake County,5735.0,297.0,4879.0,234.0,856.0,243.0,369.0,140.0,214.0,124.0,273.0,152.0,,,21.0,23.0,Box Elder,Bear Lake,49_003,16_007,inflow_05_09_Utah.csv,2005,2009
49,003,16,011,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Idaho,Bingham County,43202.0,1031.0,36349.0,881.0,6853.0,1005.0,3457.0,615.0,2438.0,698.0,958.0,322.0,,,2.0,8.0,Box Elder,Bingham,49_003,16_011,inflow_05_09_Utah.csv,2005,2009
49,003,16,027,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Idaho,Canyon County,167714.0,2039.0,136394.0,2014.0,31320.0,1778.0,20623.0,1497.0,6642.0,803.0,4055.0,764.0,,,9.0,15.0,Box Elder,Canyon,49_003,16_027,inflow_05_09_Utah.csv,2005,2009
49,003,16,029,Utah,Box Elder County,47040.0,185.0,40045.0,887.0,6767.0,866.0,4422.0,791.0,1644.0,349.0,701.0,277.0,228.0,92.0,Idaho,Caribou County,6585.0,242.0,6004.0,246.0,581.0,199.0,299.0,146.0,64.0,66.0,218.0,144.0,,,7.0,13.0,Box Elder,Caribou,49_003,16_029,inflow_05_09_Utah.csv,2005,2009
