origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
15,001,02,020,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Alaska,Anchorage Municipality,315266.0,3414.0,231102.0,2593.0,84088.0,3545.0,35631.0,2367.0,5070.0,543.0,43387.0,2905.0,76.0,83.0,6.0,9.0,Hawaii,Anchorage Municipality,15_001,02_020,inflow_09_13_Hawaii.csv,2009,2013
15,001,02,068,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Alaska,Denali Borough,2145.0,278.0,1637.0,162.0,508.0,229.0,77.0,57.0,344.0,213.0,87.0,46.0,,,1.0,5.0,Hawaii,Denali Borough,15_001,02_068,inflow_09_13_Hawaii.csv,2009,2013
15,001,02,090,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Alaska,Fairbanks North Star Borough,103017.0,2264.0,71748.0,1643.0,31269.0,2235.0,13633.0,1359.0,2311.0,576.0,15325.0,1580.0,,,66.0,96.0,Hawaii,Fairbanks North Star Borough,15_001,02_090,inflow_09_13_Hawaii.csv,2009,2013
15,001,02,122,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Alaska,Kenai Peninsula Borough,58795.0,1069.0,46404.0,884.0,12391.0,1011.0,5276.0,624.0,1911.0,463.0,5204.0,802.0,,,68.0,92.0,Hawaii,Kenai Peninsula Borough,15_001,02_122,inflow_09_13_Hawaii.csv,2009,2013
15,001,02,170,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Alaska,Matanuska-Susitna Borough,94161.0,1449.0,75823.0,1137.0,18338.0,1484.0,7851.0,921.0,2684.0,534.0,7803.0,1130.0,,,9.0,10.0,Hawaii,Matanuska-Susitna Borough,15_001,02_170,inflow_09_13_Hawaii.csv,2009,2013
15,001,04,013,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Arizona,Maricopa County,3800889.0,7481.0,3067321.0,12603.0,733520.0,12578.0,574235.0,11769.0,44611.0,3308.0,114674.0,3970.0,48.0,62.0,12.0,21.0,Hawaii,Maricopa,15_001,04_013,inflow_09_13_Hawaii.csv,2009,2013
15,001,04,015,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Arizona,Mohave County,195452.0,2157.0,157636.0,2588.0,37816.0,2266.0,23733.0,1964.0,3887.0,674.0,10196.0,1223.0,,,10.0,13.0,Hawaii,Mohave,15_001,04_015,inflow_09_13_Hawaii.csv,2009,2013
15,001,04,019,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Arizona,Pima County,964539.0,3452.0,775890.0,4373.0,188554.0,5149.0,142315.0,4181.0,16170.0,1518.0,30069.0,2060.0,95.0,74.0,61.0,67.0,Hawaii,Pima,15_001,04_019,inflow_09_13_Hawaii.csv,2009,2013
15,001,04,021,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Arizona,Pinal County,361104.0,4266.0,298716.0,3950.0,62299.0,3549.0,32311.0,3218.0,21061.0,2045.0,8927.0,1214.0,89.0,139.0,12.0,23.0,Hawaii,Pinal,15_001,04_021,inflow_09_13_Hawaii.csv,2009,2013
15,001,04,025,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Arizona,Yavapai County,204342.0,1738.0,169364.0,2626.0,34978.0,2686.0,23062.0,2404.0,5041.0,744.0,6875.0,734.0,,,20.0,31.0,Hawaii,Yavapai,15_001,04_025,inflow_09_13_Hawaii.csv,2009,2013
15,001,05,119,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,Arkansas,Pulaski County,382318.0,2483.0,317476.0,2615.0,64821.0,3347.0,42115.0,2511.0,12134.0,1276.0,10572.0,1193.0,21.0,35.0,7.0,17.0,Hawaii,Pulaski,15_001,05_119,inflow_09_13_Hawaii.csv,2009,2013
15,001,06,001,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,California,Alameda County,1505176.0,4168.0,1276966.0,4940.0,228100.0,4948.0,146481.0,3798.0,58767.0,2487.0,22852.0,1772.0,110.0,157.0,76.0,66.0,Hawaii,Alameda,15_001,06_001,inflow_09_13_Hawaii.csv,2009,2013
15,001,06,007,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,California,Butte County,217001.0,1777.0,172521.0,2072.0,44480.0,2116.0,32415.0,1874.0,8915.0,1030.0,3150.0,729.0,,,21.0,33.0,Hawaii,Butte,15_001,06_007,inflow_09_13_Hawaii.csv,2009,2013
15,001,06,023,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,California,Humboldt County,132313.0,1409.0,108151.0,1597.0,24162.0,1568.0,16260.0,1248.0,5152.0,683.0,2750.0,561.0,,,6.0,10.0,Hawaii,Humboldt,15_001,06_023,inflow_09_13_Hawaii.csv,2009,2013
15,001,06,025,Hawaii,Hawaii County,185044.0,273.0,161019.0,2182.0,23117.0,2184.0,16414.0,2006.0,1474.0,573.0,5229.0,850.0,908.0,266.0,California,Imperial County,173705.0,1228.0,144946.0,1851.0,28759.0,1908.0,20258.0,1737.0,5712.0,718.0,2789.0,670.0,,,3.0,7.0,Hawaii,Imperial,15_001,06_025,inflow_09_13_Hawaii.csv,2009,2013
