origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file,year_start,year_end
018,001,001,073,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Alabama,Jefferson County,650526.0,2939.0,544969.0,3272.0,105542.0,3546.0,73468.0,2924.0,20663.0,1569.0,11411.0,1238.0,15.0,17.0,8.0,15.0,Adams,Jefferson,inflow_09_13_Indiana.csv,2009,2013
018,001,002,020,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Alaska,Anchorage Municipality,315266.0,3414.0,231102.0,2593.0,84088.0,3545.0,35631.0,2367.0,5070.0,543.0,43387.0,2905.0,76.0,83.0,8.0,14.0,Adams,Anchorage Municipality,inflow_09_13_Indiana.csv,2009,2013
018,001,006,037,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,California,Los Angeles County,9807660.0,9635.0,8451700.0,14171.0,1355690.0,13607.0,1043118.0,12522.0,188628.0,4907.0,123944.0,3677.0,270.0,190.0,5.0,10.0,Adams,Los Angeles,inflow_09_13_Indiana.csv,2009,2013
018,001,018,003,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Allen County,357279.0,1654.0,306162.0,1953.0,51117.0,2096.0,34802.0,1640.0,9008.0,784.0,7307.0,1032.0,,,147.0,81.0,Adams,Allen,inflow_09_13_Indiana.csv,2009,2013
018,001,018,005,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Bartholomew County,75936.0,1321.0,64642.0,1175.0,11294.0,1115.0,6940.0,1077.0,2702.0,505.0,1652.0,472.0,,,63.0,133.0,Adams,Bartholomew,inflow_09_13_Indiana.csv,2009,2013
018,001,018,031,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Decatur County,25682.0,509.0,21867.0,729.0,3815.0,711.0,2493.0,580.0,1066.0,302.0,256.0,132.0,,,6.0,19.0,Adams,Decatur,inflow_09_13_Indiana.csv,2009,2013
018,001,018,035,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Delaware County,111199.0,1323.0,85102.0,1490.0,26097.0,1418.0,18516.0,1341.0,4378.0,492.0,3203.0,456.0,,,21.0,25.0,Adams,Delaware,inflow_09_13_Indiana.csv,2009,2013
018,001,018,043,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Floyd County,74221.0,1029.0,65207.0,807.0,9014.0,891.0,4313.0,644.0,3049.0,544.0,1652.0,345.0,,,13.0,24.0,Adams,Floyd,inflow_09_13_Indiana.csv,2009,2013
018,001,018,065,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Henry County,48503.0,699.0,41091.0,785.0,7412.0,787.0,4384.0,640.0,2485.0,423.0,543.0,219.0,,,12.0,20.0,Adams,Henry,inflow_09_13_Indiana.csv,2009,2013
018,001,018,069,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Huntington County,36297.0,661.0,31307.0,696.0,4990.0,719.0,3408.0,588.0,1019.0,407.0,563.0,249.0,,,32.0,49.0,Adams,Huntington,inflow_09_13_Indiana.csv,2009,2013
018,001,018,075,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Jay County,21501.0,485.0,18887.0,387.0,2614.0,477.0,1260.0,320.0,1162.0,372.0,192.0,98.0,,,110.0,75.0,Adams,Jay,inflow_09_13_Indiana.csv,2009,2013
018,001,018,085,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Kosciusko County,76625.0,1093.0,66949.0,935.0,9676.0,1022.0,5848.0,789.0,3013.0,640.0,815.0,259.0,,,80.0,108.0,Adams,Kosciusko,inflow_09_13_Indiana.csv,2009,2013
018,001,018,089,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Lake County,491256.0,2436.0,427259.0,2863.0,63950.0,2909.0,40806.0,2470.0,10106.0,1052.0,13038.0,1259.0,47.0,77.0,12.0,16.0,Adams,Lake,inflow_09_13_Indiana.csv,2009,2013
018,001,018,095,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Madison County,130926.0,1249.0,109162.0,1364.0,21764.0,1483.0,14538.0,1161.0,5161.0,744.0,2065.0,468.0,,,42.0,41.0,Adams,Madison,inflow_09_13_Indiana.csv,2009,2013
018,001,018,097,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Marion County,902360.0,3713.0,737020.0,4688.0,165304.0,4839.0,113392.0,3705.0,31454.0,2120.0,20458.0,1810.0,36.0,42.0,10.0,12.0,Adams,Marion,inflow_09_13_Indiana.csv,2009,2013
018,001,018,113,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Noble County,46774.0,795.0,39437.0,1051.0,7337.0,971.0,4836.0,778.0,1962.0,412.0,539.0,205.0,,,4.0,9.0,Adams,Noble,inflow_09_13_Indiana.csv,2009,2013
018,001,018,135,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Randolph County,26883.0,880.0,22299.0,560.0,4584.0,927.0,2107.0,464.0,1584.0,554.0,893.0,523.0,,,14.0,16.0,Adams,Randolph,inflow_09_13_Indiana.csv,2009,2013
018,001,018,137,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Ripley County,28837.0,525.0,25749.0,422.0,3088.0,414.0,1316.0,267.0,1202.0,282.0,570.0,223.0,,,32.0,39.0,Adams,Ripley,inflow_09_13_Indiana.csv,2009,2013
018,001,018,143,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Scott County,24453.0,562.0,20336.0,523.0,4117.0,672.0,2391.0,514.0,1507.0,447.0,219.0,113.0,,,9.0,16.0,Adams,Scott,inflow_09_13_Indiana.csv,2009,2013
018,001,018,169,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Wabash County,31908.0,437.0,27664.0,585.0,4244.0,593.0,2861.0,542.0,918.0,195.0,465.0,251.0,,,15.0,24.0,Adams,Wabash,inflow_09_13_Indiana.csv,2009,2013
018,001,018,179,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Indiana,Wells County,28083.0,717.0,23852.0,496.0,4231.0,763.0,2367.0,470.0,1174.0,289.0,690.0,552.0,,,33.0,32.0,Adams,Wells,inflow_09_13_Indiana.csv,2009,2013
018,001,021,049,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Kentucky,Clark County,35422.0,719.0,28462.0,758.0,6960.0,898.0,4638.0,721.0,1950.0,440.0,372.0,187.0,,,3.0,4.0,Adams,Clark,inflow_09_13_Indiana.csv,2009,2013
018,001,026,125,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Michigan,Oakland County,1198362.0,4531.0,1031769.0,4812.0,166566.0,4385.0,96624.0,3443.0,42853.0,1729.0,27089.0,1973.0,27.0,43.0,6.0,10.0,Adams,Oakland,inflow_09_13_Indiana.csv,2009,2013
018,001,029,121,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Missouri,Macon County,15754.0,322.0,13999.0,231.0,1755.0,363.0,887.0,209.0,629.0,203.0,239.0,200.0,,,113.0,174.0,Adams,Macon,inflow_09_13_Indiana.csv,2009,2013
018,001,039,107,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Ohio,Mercer County,40420.0,680.0,36306.0,653.0,4114.0,722.0,2268.0,458.0,1241.0,409.0,605.0,294.0,,,21.0,34.0,Adams,Mercer,inflow_09_13_Indiana.csv,2009,2013
018,001,039,137,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Ohio,Putnam County,35211.0,508.0,31183.0,536.0,4028.0,675.0,1864.0,506.0,1731.0,409.0,433.0,213.0,,,39.0,44.0,Adams,Putnam,inflow_09_13_Indiana.csv,2009,2013
018,001,039,161,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Ohio,Van Wert County,28721.0,571.0,24984.0,513.0,3737.0,538.0,1976.0,393.0,1268.0,332.0,493.0,192.0,,,10.0,15.0,Adams,Van Wert,inflow_09_13_Indiana.csv,2009,2013
018,001,042,071,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Pennsylvania,Lancaster County,514043.0,1921.0,459751.0,2548.0,54147.0,2577.0,38087.0,2118.0,10455.0,842.0,5605.0,686.0,145.0,104.0,8.0,12.0,Adams,Lancaster,inflow_09_13_Indiana.csv,2009,2013
018,001,ASI,000,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,Asia,-,,,,,,,,,,,,,,,107.0,158.0,Adams,,inflow_09_13_Indiana.csv,2009,2013
018,001,SAM,000,Indiana,Adams County,33797.0,105.0,30453.0,538.0,3224.0,507.0,2348.0,415.0,655.0,238.0,221.0,183.0,120.0,162.0,South America,-,,,,,,,,,,,,,,,13.0,20.0,Adams,,inflow_09_13_Indiana.csv,2009,2013
018,003,001,017,Indiana,Allen County,353431.0,375.0,306162.0,1953.0,46105.0,1905.0,34802.0,1640.0,5219.0,566.0,6084.0,878.0,1164.0,311.0,Alabama,Chambers County,34739.0,710.0,29069.0,740.0,5643.0,836.0,3280.0,637.0,1311.0,402.0,1052.0,507.0,27.0,43.0,59.0,83.0,Allen,Chambers,inflow_09_13_Indiana.csv,2009,2013
018,003,001,073,Indiana,Allen County,353431.0,375.0,306162.0,1953.0,46105.0,1905.0,34802.0,1640.0,5219.0,566.0,6084.0,878.0,1164.0,311.0,Alabama,Jefferson County,650526.0,2939.0,544969.0,3272.0,105542.0,3546.0,73468.0,2924.0,20663.0,1569.0,11411.0,1238.0,15.0,17.0,14.0,23.0,Allen,Jefferson,inflow_09_13_Indiana.csv,2009,2013
018,003,001,089,Indiana,Allen County,353431.0,375.0,306162.0,1953.0,46105.0,1905.0,34802.0,1640.0,5219.0,566.0,6084.0,878.0,1164.0,311.0,Alabama,Madison County,334126.0,2137.0,283745.0,2430.0,50381.0,2588.0,32321.0,2170.0,7769.0,764.0,10291.0,1297.0,,,23.0,26.0,Allen,Madison,inflow_09_13_Indiana.csv,2009,2013
018,003,001,097,Indiana,Allen County,353431.0,375.0,306162.0,1953.0,46105.0,1905.0,34802.0,1640.0,5219.0,566.0,6084.0,878.0,1164.0,311.0,Alabama,Mobile County,411135.0,1814.0,350179.0,2953.0,60956.0,2803.0,44962.0,2417.0,5985.0,855.0,10009.0,1188.0,,,128.0,191.0,Allen,Mobile,inflow_09_13_Indiana.csv,2009,2013
018,003,002,020,Indiana,Allen County,353431.0,375.0,306162.0,1953.0,46105.0,1905.0,34802.0,1640.0,5219.0,566.0,6084.0,878.0,1164.0,311.0,Alaska,Anchorage Municipality,315266.0,3414.0,231102.0,2593.0,84088.0,3545.0,35631.0,2367.0,5070.0,543.0,43387.0,2905.0,76.0,83.0,14.0,17.0,Allen,Anchorage Municipality,inflow_09_13_Indiana.csv,2009,2013
018,003,004,003,Indiana,Allen County,353431.0,375.0,306162.0,1953.0,46105.0,1905.0,34802.0,1640.0,5219.0,566.0,6084.0,878.0,1164.0,311.0,Arizona,Cochise County,126912.0,1738.0,104834.0,1448.0,22078.0,1628.0,11117.0,1099.0,3934.0,720.0,7027.0,1000.0,,,16.0,24.0,Allen,Cochise,inflow_09_13_Indiana.csv,2009,2013
