origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
46,003,04,013,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,Arizona,Maricopa County,3800889.0,7481.0,3067321.0,12603.0,733520.0,12578.0,574235.0,11769.0,44611.0,3308.0,114674.0,3970.0,48.0,62.0,5.0,7.0,Aurora,Maricopa,46_003,04_013,inflow_09_13_South Dakota.csv,2009,2013
46,003,27,067,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,Minnesota,Kandiyohi County,42033.0,629.0,36194.0,596.0,5830.0,674.0,3321.0,481.0,1646.0,259.0,863.0,343.0,9.0,14.0,2.0,3.0,Aurora,Kandiyohi,46_003,27_067,inflow_09_13_South Dakota.csv,2009,2013
46,003,27,161,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,Minnesota,Waseca County,19197.0,503.0,16624.0,301.0,2573.0,520.0,1158.0,295.0,1089.0,385.0,326.0,164.0,,,5.0,5.0,Aurora,Waseca,46_003,27_161,inflow_09_13_South Dakota.csv,2009,2013
46,003,31,055,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,Nebraska,Douglas County,516322.0,2693.0,424780.0,2700.0,91509.0,3216.0,61996.0,2432.0,12906.0,1261.0,16607.0,1339.0,33.0,32.0,3.0,4.0,Aurora,Douglas,46_003,31_055,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,011,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Brookings County,29845.0,843.0,21668.0,830.0,8177.0,891.0,4862.0,667.0,1824.0,364.0,1491.0,299.0,,,5.0,9.0,Aurora,Brookings,46_003,46_011,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,013,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Brown County,35765.0,563.0,30788.0,679.0,4977.0,732.0,3162.0,648.0,990.0,233.0,825.0,236.0,,,11.0,11.0,Aurora,Brown,46_003,46_013,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,015,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Brule County,5375.0,191.0,4649.0,170.0,726.0,202.0,263.0,138.0,272.0,105.0,191.0,129.0,,,2.0,3.0,Aurora,Brule,46_003,46_015,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,023,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Charles Mix County,8914.0,197.0,7760.0,210.0,1154.0,193.0,725.0,163.0,218.0,75.0,211.0,103.0,,,5.0,6.0,Aurora,Charles Mix,46_003,46_023,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,033,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Custer County,8433.0,394.0,7248.0,248.0,1185.0,463.0,481.0,206.0,510.0,229.0,194.0,173.0,,,4.0,5.0,Aurora,Custer,46_003,46_033,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,035,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Davison County,18491.0,593.0,15589.0,675.0,2902.0,675.0,1602.0,552.0,824.0,221.0,476.0,260.0,,,43.0,36.0,Aurora,Davison,46_003,46_035,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,043,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Douglas County,2897.0,120.0,2640.0,72.0,257.0,105.0,105.0,43.0,100.0,60.0,52.0,69.0,,,14.0,22.0,Aurora,Douglas,46_003,46_043,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,051,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Grant County,7250.0,166.0,6319.0,265.0,931.0,241.0,613.0,218.0,133.0,68.0,185.0,94.0,,,2.0,3.0,Aurora,Grant,46_003,46_051,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,065,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Hughes County,16784.0,569.0,13558.0,545.0,3226.0,584.0,1621.0,453.0,1055.0,326.0,550.0,239.0,,,10.0,21.0,Aurora,Hughes,46_003,46_065,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,067,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Hutchinson County,7140.0,255.0,6440.0,153.0,700.0,248.0,255.0,109.0,361.0,191.0,84.0,55.0,,,3.0,6.0,Aurora,Hutchinson,46_003,46_067,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,077,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Kingsbury County,5026.0,219.0,4478.0,150.0,548.0,182.0,146.0,77.0,214.0,134.0,188.0,121.0,,,6.0,8.0,Aurora,Kingsbury,46_003,46_077,inflow_09_13_South Dakota.csv,2009,2013
46,003,46,099,South Dakota,Aurora County,2681.0,17.0,2464.0,79.0,201.0,75.0,61.0,34.0,125.0,56.0,15.0,11.0,16.0,15.0,South Dakota,Minnehaha County,173383.0,1655.0,142457.0,1673.0,30875.0,1757.0,17447.0,1289.0,6813.0,832.0,6615.0,802.0,51.0,49.0,9.0,12.0,Aurora,Minnehaha,46_003,46_099,inflow_09_13_South Dakota.csv,2009,2013
