origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
53,001,04,013,Washington,Adams County,18420.0,114.0,16512.0,460.0,1847.0,421.0,1198.0,355.0,491.0,193.0,158.0,106.0,61.0,43.0,Arizona,Maricopa County,3800889.0,7481.0,3067321.0,12603.0,733520.0,12578.0,574235.0,11769.0,44611.0,3308.0,114674.0,3970.0,48.0,62.0,3.0,5.0,Adams,Maricopa,53_001,04_013,inflow_09_13_Washington.csv,2009,2013
53,001,06,037,Washington,Adams County,18420.0,114.0,16512.0,460.0,1847.0,421.0,1198.0,355.0,491.0,193.0,158.0,106.0,61.0,43.0,California,Los Angeles County,9807660.0,9635.0,8451700.0,14171.0,1355690.0,13607.0,1043118.0,12522.0,188628.0,4907.0,123944.0,3677.0,270.0,190.0,19.0,23.0,Adams,Los Angeles,53_001,06_037,inflow_09_13_Washington.csv,2009,2013
53,001,06,073,Washington,Adams County,18420.0,114.0,16512.0,460.0,1847.0,421.0,1198.0,355.0,491.0,193.0,158.0,106.0,61.0,43.0,California,San Diego County,3086170.0,6471.0,2599071.0,7556.0,487029.0,7492.0,345496.0,6455.0,58504.0,3058.0,83029.0,3393.0,70.0,66.0,39.0,60.0,Adams,San Diego,53_001,06_073,inflow_09_13_Washington.csv,2009,2013
53,001,16,019,Washington,Adams County,18420.0,114.0,16512.0,460.0,1847.0,421.0,1198.0,355.0,491.0,193.0,158.0,106.0,61.0,43.0,Idaho,Bonneville County,104160.0,1421.0,87854.0,1562.0,16306.0,1720.0,9684.0,1339.0,3211.0,593.0,3411.0,743.0,,,4.0,11.0,Adams,Bonneville,53_001,16_019,inflow_09_13_Washington.csv,2009,2013
53,001,16,027,Washington,Adams County,18420.0,114.0,16512.0,460.0,1847.0,421.0,1198.0,355.0,491.0,193.0,158.0,106.0,61.0,43.0,Idaho,Canyon County,186068.0,2262.0,155068.0,1957.0,31000.0,2347.0,19047.0,1849.0,6358.0,902.0,5595.0,1170.0,,,3.0,6.0,Adams,Canyon,53_001,16_027,inflow_09_13_Washington.csv,2009,2013
53,001,16,055,Washington,Adams County,18420.0,114.0,16512.0,460.0,1847.0,421.0,1198.0,355.0,491.0,193.0,158.0,106.0,61.0,43.0,Idaho,Kootenai County,137374.0,1504.0,115400.0,2033.0,21974.0,1744.0,14042.0,1423.0,2038.0,354.0,5894.0,812.0,,,9.0,10.0,Adams,Kootenai,53_001,16_055,inflow_09_13_Washington.csv,2009,2013
53,001,16,057,Washington,Adams County,18420.0,114.0,16512.0,460.0,1847.0,421.0,1198.0,355.0,491.0,193.0,158.0,106.0,61.0,43.0,Idaho,Latah County,35312.0,1031.0,26262.0,909.0,9050.0,1030.0,5250.0,748.0,1287.0,377.0,2513.0,492.0,,,9.0,15.0,Adams,Latah,53_001,16_057,inflow_09_13_Washington.csv,2009,2013
53,001,19,109,Washington,Adams County,18420.0,114.0,16512.0,460.0,1847.0,421.0,1198.0,355.0,491.0,193.0,158.0,106.0,61.0,43.0,Iowa,Kossuth County,15462.0,293.0,13815.0,219.0,1647.0,327.0,875.0,194.0,531.0,221.0,241.0,120.0,,,6.0,10.0,Adams,Kossuth,53_001,19_109,inflow_09_13_Washington.csv,2009,2013
53,001,30,031,Washington,Adams County,18420.0,114.0,16512.0,460.0,1847.0,421.0,1198.0,355.0,491.0,193.0,158.0,106.0,61.0,43.0,Montana,Gallatin County,86558.0,1111.0,67907.0,1263.0,18651.0,1297.0,12484.0,1167.0,1853.0,303.0,4314.0,539.0,,,4.0,6.0,Adams,Gallatin,53_001,30_031,inflow_09_13_Washington.csv,2009,2013
53,001,35,015,Washington,Adams County,18420.0,114.0,16512.0,460.0,1847.0,421.0,1198.0,355.0,491.0,193.0,158.0,106.0,61.0,43.0,New Mexico,Eddy County,53810.0,912.0,45933.0,979.0,7877.0,1060.0,4805.0,799.0,1178.0,337.0,1894.0,571.0,,,4.0,28.0,Adams,Eddy,53_001,35_015,inflow_09_13_Washington.csv,2009,2013
