origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file,year_start,year_end
002,013,002,016,Alaska,Aleutians East Borough,3323.0,7.0,2725.0,155.0,510.0,108.0,173.0,65.0,131.0,58.0,206.0,81.0,88.0,71.0,Alaska,Aleutians West Census Area,5482.0,276.0,4486.0,137.0,996.0,244.0,453.0,91.0,128.0,110.0,415.0,195.0,,,25.0,37.0,Aleutians East Borough,Aleutians West Census Area,inflow_13_17_Alaska.csv,2013,2017
002,013,002,020,Alaska,Aleutians East Borough,3323.0,7.0,2725.0,155.0,510.0,108.0,173.0,65.0,131.0,58.0,206.0,81.0,88.0,71.0,Alaska,Anchorage Municipality,310248.0,2722.0,235360.0,2908.0,74859.0,2902.0,37387.0,2563.0,5769.0,532.0,31703.0,1892.0,29.0,38.0,67.0,29.0,Aleutians East Borough,Anchorage Municipality,inflow_13_17_Alaska.csv,2013,2017
002,013,002,110,Alaska,Aleutians East Borough,3323.0,7.0,2725.0,155.0,510.0,108.0,173.0,65.0,131.0,58.0,206.0,81.0,88.0,71.0,Alaska,Juneau City and Borough,32778.0,645.0,26131.0,677.0,6647.0,796.0,3736.0,582.0,933.0,333.0,1978.0,421.0,,,5.0,5.0,Aleutians East Borough,Juneau City and Borough,inflow_13_17_Alaska.csv,2013,2017
002,013,002,122,Alaska,Aleutians East Borough,3323.0,7.0,2725.0,155.0,510.0,108.0,173.0,65.0,131.0,58.0,206.0,81.0,88.0,71.0,Alaska,Kenai Peninsula Borough,59615.0,1017.0,47233.0,801.0,12382.0,1147.0,6209.0,812.0,1370.0,338.0,4803.0,830.0,,,2.0,3.0,Aleutians East Borough,Kenai Peninsula Borough,inflow_13_17_Alaska.csv,2013,2017
002,013,002,158,Alaska,Aleutians East Borough,3323.0,7.0,2725.0,155.0,510.0,108.0,173.0,65.0,131.0,58.0,206.0,81.0,88.0,71.0,Alaska,Kusilvak Census Area,8189.0,223.0,7274.0,84.0,915.0,216.0,370.0,87.0,498.0,193.0,47.0,41.0,,,5.0,6.0,Aleutians East Borough,Kusilvak Census Area,inflow_13_17_Alaska.csv,2013,2017
002,013,002,195,Alaska,Aleutians East Borough,3323.0,7.0,2725.0,155.0,510.0,108.0,173.0,65.0,131.0,58.0,206.0,81.0,88.0,71.0,Alaska,Petersburg Borough,3304.0,138.0,2822.0,95.0,482.0,170.0,237.0,73.0,48.0,25.0,197.0,142.0,,,2.0,4.0,Aleutians East Borough,Petersburg Borough,inflow_13_17_Alaska.csv,2013,2017
002,013,002,261,Alaska,Aleutians East Borough,3323.0,7.0,2725.0,155.0,510.0,108.0,173.0,65.0,131.0,58.0,206.0,81.0,88.0,71.0,Alaska,Valdez-Cordova Census Area,10261.0,601.0,7453.0,385.0,2808.0,583.0,582.0,227.0,743.0,377.0,1483.0,412.0,,,25.0,38.0,Aleutians East Borough,Valdez-Cordova Census Area,inflow_13_17_Alaska.csv,2013,2017
002,013,006,021,Alaska,Aleutians East Borough,3323.0,7.0,2725.0,155.0,510.0,108.0,173.0,65.0,131.0,58.0,206.0,81.0,88.0,71.0,California,Glenn County,28436.0,590.0,25138.0,572.0,3298.0,625.0,1317.0,484.0,1556.0,346.0,425.0,246.0,,,6.0,7.0,Aleutians East Borough,Glenn,inflow_13_17_Alaska.csv,2013,2017
002,013,006,025,Alaska,Aleutians East Borough,3323.0,7.0,2725.0,155.0,510.0,108.0,173.0,65.0,131.0,58.0,206.0,81.0,88.0,71.0,California,Imperial County,177964.0,1455.0,151832.0,2358.0,26132.0,2274.0,18275.0,2143.0,5423.0,802.0,2434.0,557.0,,,25.0,35.0,Aleutians East Borough,Imperial,inflow_13_17_Alaska.csv,2013,2017
002,013,006,037,Alaska,Aleutians East Borough,3323.0,7.0,2725.0,155.0,510.0,108.0,173.0,65.0,131.0,58.0,206.0,81.0,88.0,71.0,California,Los Angeles County,10017580.0,7426.0,8849567.0,12645.0,1167643.0,13132.0,851215.0,11114.0,180991.0,4718.0,135437.0,4025.0,370.0,233.0,9.0,11.0,Aleutians East Borough,Los Angeles,inflow_13_17_Alaska.csv,2013,2017
