origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file,year_start,year_end
013,001,006,037,Georgia,Appling County,18247.0,108.0,16069.0,476.0,2178.0,504.0,1484.0,493.0,566.0,193.0,128.0,80.0,,,California,Los Angeles County,10017580.0,7426.0,8849567.0,12645.0,1167643.0,13132.0,851215.0,11114.0,180991.0,4718.0,135437.0,4025.0,370.0,233.0,31.0,49.0,Appling,Los Angeles,inflow_13_17_Georgia.csv,2013,2017
013,001,012,011,Georgia,Appling County,18247.0,108.0,16069.0,476.0,2178.0,504.0,1484.0,493.0,566.0,193.0,128.0,80.0,,,Florida,Broward County,1840512.0,5414.0,1567853.0,6956.0,272453.0,6997.0,189907.0,6060.0,50940.0,2845.0,31606.0,2199.0,206.0,151.0,8.0,13.0,Appling,Broward,inflow_13_17_Georgia.csv,2013,2017
013,001,012,086,Georgia,Appling County,18247.0,108.0,16069.0,476.0,2178.0,504.0,1484.0,493.0,566.0,193.0,128.0,80.0,,,Florida,Miami-Dade County,2665776.0,4975.0,2352487.0,6682.0,312806.0,7404.0,218528.0,5933.0,54549.0,3416.0,39729.0,2147.0,483.0,176.0,3.0,5.0,Appling,Miami-Dade,inflow_13_17_Georgia.csv,2013,2017
013,001,013,003,Georgia,Appling County,18247.0,108.0,16069.0,476.0,2178.0,504.0,1484.0,493.0,566.0,193.0,128.0,80.0,,,Georgia,Atkinson County,8868.0,386.0,7473.0,209.0,1395.0,405.0,447.0,166.0,722.0,243.0,226.0,238.0,,,16.0,19.0,Appling,Atkinson,inflow_13_17_Georgia.csv,2013,2017
013,001,013,005,Georgia,Appling County,18247.0,108.0,16069.0,476.0,2178.0,504.0,1484.0,493.0,566.0,193.0,128.0,80.0,,,Georgia,Bacon County,10870.0,271.0,9606.0,344.0,1264.0,326.0,808.0,294.0,280.0,104.0,176.0,158.0,,,30.0,40.0,Appling,Bacon,inflow_13_17_Georgia.csv,2013,2017
013,001,013,009,Georgia,Appling County,18247.0,108.0,16069.0,476.0,2178.0,504.0,1484.0,493.0,566.0,193.0,128.0,80.0,,,Georgia,Baldwin County,43838.0,772.0,35432.0,1041.0,8406.0,990.0,5324.0,872.0,2751.0,513.0,331.0,118.0,,,13.0,15.0,Appling,Baldwin,inflow_13_17_Georgia.csv,2013,2017
013,001,013,051,Georgia,Appling County,18247.0,108.0,16069.0,476.0,2178.0,504.0,1484.0,493.0,566.0,193.0,128.0,80.0,,,Georgia,Chatham County,274874.0,2638.0,217847.0,2926.0,57027.0,2636.0,35455.0,2213.0,9765.0,1171.0,11807.0,1255.0,,,8.0,14.0,Appling,Chatham,inflow_13_17_Georgia.csv,2013,2017
013,001,013,059,Georgia,Appling County,18247.0,108.0,16069.0,476.0,2178.0,504.0,1484.0,493.0,566.0,193.0,128.0,80.0,,,Georgia,Clarke County,112476.0,1639.0,86997.0,1807.0,25479.0,1561.0,15386.0,1312.0,6830.0,650.0,3263.0,555.0,,,14.0,26.0,Appling,Clarke,inflow_13_17_Georgia.csv,2013,2017
013,001,013,067,Georgia,Appling County,18247.0,108.0,16069.0,476.0,2178.0,504.0,1484.0,493.0,566.0,193.0,128.0,80.0,,,Georgia,Cobb County,719904.0,4128.0,600998.0,4376.0,118906.0,4483.0,67036.0,3828.0,33012.0,2056.0,18858.0,1375.0,,,10.0,13.0,Appling,Cobb,inflow_13_17_Georgia.csv,2013,2017
013,001,013,089,Georgia,Appling County,18247.0,108.0,16069.0,476.0,2178.0,504.0,1484.0,493.0,566.0,193.0,128.0,80.0,,,Georgia,DeKalb County,715387.0,4613.0,594603.0,3982.0,120784.0,4315.0,63194.0,3107.0,37076.0,2547.0,20514.0,1552.0,,,5.0,10.0,Appling,DeKalb,inflow_13_17_Georgia.csv,2013,2017
