origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file,year_start,year_end
019,001,004,013,Iowa,Adair County,7161.0,19.0,6231.0,158.0,925.0,157.0,308.0,90.0,514.0,140.0,103.0,66.0,5.0,6.0,Arizona,Maricopa County,4045924.0,6818.0,3383797.0,9897.0,662063.0,9206.0,512911.0,8522.0,44893.0,1941.0,104259.0,3152.0,64.0,42.0,10.0,15.0,Adair,Maricopa,inflow_13_17_Iowa.csv,2013,2017
019,001,012,111,Iowa,Adair County,7161.0,19.0,6231.0,158.0,925.0,157.0,308.0,90.0,514.0,140.0,103.0,66.0,5.0,6.0,Florida,St. Lucie County,288486.0,2578.0,253098.0,2667.0,35377.0,2918.0,20210.0,2132.0,9033.0,1072.0,6134.0,1102.0,11.0,17.0,6.0,8.0,Adair,St. Lucie,inflow_13_17_Iowa.csv,2013,2017
019,001,019,003,Iowa,Adair County,7161.0,19.0,6231.0,158.0,925.0,157.0,308.0,90.0,514.0,140.0,103.0,66.0,5.0,6.0,Iowa,Adams County,4068.0,278.0,3428.0,93.0,640.0,282.0,216.0,73.0,356.0,269.0,68.0,51.0,,,22.0,30.0,Adair,Adams,inflow_13_17_Iowa.csv,2013,2017
019,001,019,009,Iowa,Adair County,7161.0,19.0,6231.0,158.0,925.0,157.0,308.0,90.0,514.0,140.0,103.0,66.0,5.0,6.0,Iowa,Audubon County,5817.0,251.0,5012.0,143.0,805.0,224.0,285.0,99.0,467.0,226.0,53.0,46.0,,,10.0,16.0,Adair,Audubon,inflow_13_17_Iowa.csv,2013,2017
019,001,019,029,Iowa,Adair County,7161.0,19.0,6231.0,158.0,925.0,157.0,308.0,90.0,514.0,140.0,103.0,66.0,5.0,6.0,Iowa,Cass County,13443.0,322.0,11356.0,284.0,2087.0,381.0,1073.0,239.0,634.0,123.0,380.0,256.0,,,50.0,36.0,Adair,Cass,inflow_13_17_Iowa.csv,2013,2017
019,001,019,049,Iowa,Adair County,7161.0,19.0,6231.0,158.0,925.0,157.0,308.0,90.0,514.0,140.0,103.0,66.0,5.0,6.0,Iowa,Dallas County,78940.0,1382.0,67498.0,1302.0,11442.0,1169.0,4090.0,794.0,5386.0,828.0,1966.0,525.0,,,37.0,29.0,Adair,Dallas,inflow_13_17_Iowa.csv,2013,2017
019,001,019,073,Iowa,Adair County,7161.0,19.0,6231.0,158.0,925.0,157.0,308.0,90.0,514.0,140.0,103.0,66.0,5.0,6.0,Iowa,Greene County,8907.0,307.0,7608.0,257.0,1299.0,294.0,683.0,206.0,575.0,231.0,41.0,37.0,,,12.0,18.0,Adair,Greene,inflow_13_17_Iowa.csv,2013,2017
019,001,019,077,Iowa,Adair County,7161.0,19.0,6231.0,158.0,925.0,157.0,308.0,90.0,514.0,140.0,103.0,66.0,5.0,6.0,Iowa,Guthrie County,10737.0,311.0,9431.0,194.0,1306.0,301.0,499.0,135.0,592.0,223.0,215.0,138.0,,,55.0,47.0,Adair,Guthrie,inflow_13_17_Iowa.csv,2013,2017
019,001,019,091,Iowa,Adair County,7161.0,19.0,6231.0,158.0,925.0,157.0,308.0,90.0,514.0,140.0,103.0,66.0,5.0,6.0,Iowa,Humboldt County,9604.0,303.0,8215.0,295.0,1389.0,314.0,614.0,193.0,485.0,137.0,290.0,196.0,,,2.0,4.0,Adair,Humboldt,inflow_13_17_Iowa.csv,2013,2017
019,001,019,103,Iowa,Adair County,7161.0,19.0,6231.0,158.0,925.0,157.0,308.0,90.0,514.0,140.0,103.0,66.0,5.0,6.0,Iowa,Johnson County,139883.0,1725.0,107057.0,1674.0,32826.0,1981.0,19563.0,1340.0,5647.0,842.0,7616.0,982.0,,,4.0,7.0,Adair,Johnson,inflow_13_17_Iowa.csv,2013,2017
