origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
22,001,12,091,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Florida,Okaloosa County,195048.0,2373.0,157199.0,1974.0,37849.0,2397.0,18369.0,1480.0,7999.0,1196.0,11481.0,1246.0,,,21.0,34.0,Acadia Parish,Okaloosa,22_001,12_091,inflow_13_17_Louisiana.csv,2013,2017
22,001,13,003,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Georgia,Atkinson County,8868.0,386.0,7473.0,209.0,1395.0,405.0,447.0,166.0,722.0,243.0,226.0,238.0,,,127.0,207.0,Acadia Parish,Atkinson,22_001,13_003,inflow_13_17_Louisiana.csv,2013,2017
22,001,13,121,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Georgia,Fulton County,1003221.0,5775.0,812898.0,5423.0,190231.0,5459.0,92314.0,3937.0,58884.0,3015.0,39033.0,2140.0,92.0,97.0,143.0,222.0,Acadia Parish,Fulton,22_001,13_121,inflow_13_17_Louisiana.csv,2013,2017
22,001,17,031,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Illinois,Cook County,5220006.0,6123.0,4489327.0,9175.0,730510.0,9771.0,511224.0,8099.0,81478.0,2827.0,137808.0,4377.0,169.0,87.0,39.0,61.0,Acadia Parish,Cook,22_001,17_031,inflow_13_17_Louisiana.csv,2013,2017
22,001,20,051,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Kansas,Ellis County,27480.0,651.0,21736.0,790.0,5744.0,925.0,3900.0,817.0,1371.0,346.0,473.0,181.0,,,21.0,33.0,Acadia Parish,Ellis,22_001,20_051,inflow_13_17_Louisiana.csv,2013,2017
22,001,21,179,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Kentucky,Nelson County,44690.0,782.0,39363.0,833.0,5327.0,811.0,2859.0,655.0,1729.0,431.0,739.0,356.0,,,1.0,2.0,Acadia Parish,Nelson,22_001,21_179,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,003,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Allen Parish,25313.0,674.0,21593.0,607.0,3720.0,720.0,1854.0,586.0,1211.0,480.0,655.0,295.0,,,10.0,18.0,Acadia Parish,Allen Parish,22_001,22_003,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,019,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Calcasieu Parish,195407.0,1740.0,165274.0,2078.0,30133.0,2180.0,22046.0,1932.0,4210.0,745.0,3877.0,634.0,,,27.0,29.0,Acadia Parish,Calcasieu Parish,22_001,22_019,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,023,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Cameron Parish,7355.0,385.0,6533.0,107.0,822.0,372.0,43.0,44.0,661.0,338.0,118.0,85.0,,,29.0,39.0,Acadia Parish,Cameron Parish,22_001,22_023,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,033,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,East Baton Rouge Parish,434447.0,2424.0,367174.0,3517.0,67246.0,3320.0,45676.0,3115.0,12549.0,1304.0,9021.0,1057.0,27.0,41.0,44.0,36.0,Acadia Parish,East Baton Rouge Parish,22_001,22_033,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,035,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,East Carroll Parish,6441.0,1018.0,5297.0,1072.0,1144.0,429.0,367.0,253.0,642.0,298.0,135.0,135.0,,,7.0,13.0,Acadia Parish,East Carroll Parish,22_001,22_035,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,039,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Evangeline Parish,32600.0,506.0,28424.0,689.0,4176.0,626.0,3110.0,606.0,876.0,285.0,190.0,126.0,,,17.0,21.0,Acadia Parish,Evangeline Parish,22_001,22_039,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,045,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Iberia Parish,72377.0,1032.0,61601.0,1367.0,10776.0,1380.0,7080.0,1113.0,3105.0,736.0,591.0,239.0,,,28.0,45.0,Acadia Parish,Iberia Parish,22_001,22_045,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,047,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Iberville Parish,31973.0,673.0,28309.0,745.0,3664.0,879.0,1892.0,661.0,1548.0,417.0,224.0,116.0,,,5.0,9.0,Acadia Parish,Iberville Parish,22_001,22_047,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,051,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Jefferson Parish,433354.0,2357.0,383775.0,2413.0,49579.0,3051.0,27977.0,2327.0,14235.0,1343.0,7367.0,921.0,,,86.0,116.0,Acadia Parish,Jefferson Parish,22_001,22_051,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,053,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Jefferson Davis Parish,30870.0,783.0,26502.0,788.0,4368.0,742.0,2565.0,574.0,1375.0,466.0,428.0,260.0,,,170.0,104.0,Acadia Parish,Jefferson Davis Parish,22_001,22_053,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,055,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Lafayette Parish,231199.0,2262.0,194844.0,3068.0,36355.0,2522.0,24186.0,2283.0,7074.0,909.0,5095.0,929.0,,,691.0,328.0,Acadia Parish,Lafayette Parish,22_001,22_055,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,063,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Livingston Parish,135362.0,1500.0,120303.0,1818.0,15059.0,1854.0,8286.0,1607.0,4897.0,912.0,1876.0,417.0,,,7.0,13.0,Acadia Parish,Livingston Parish,22_001,22_063,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,071,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Orleans Parish,387365.0,2658.0,325570.0,2264.0,61795.0,2791.0,33278.0,1925.0,15155.0,1565.0,13362.0,1404.0,,,28.0,29.0,Acadia Parish,Orleans Parish,22_001,22_071,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,073,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Ouachita Parish,154573.0,1392.0,134346.0,1556.0,20227.0,1527.0,12972.0,1228.0,3385.0,504.0,3870.0,845.0,,,14.0,21.0,Acadia Parish,Ouachita Parish,22_001,22_073,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,077,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Pointe Coupee Parish,21835.0,399.0,19515.0,595.0,2320.0,534.0,1638.0,471.0,495.0,193.0,187.0,169.0,,,50.0,56.0,Acadia Parish,Pointe Coupee Parish,22_001,22_077,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,097,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,St. Landry Parish,84169.0,903.0,75023.0,884.0,9146.0,1081.0,4968.0,787.0,3168.0,698.0,1010.0,464.0,,,520.0,355.0,Acadia Parish,St. Landry Parish,22_001,22_097,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,099,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,St. Martin Parish,54278.0,891.0,49040.0,796.0,5238.0,890.0,2133.0,592.0,2365.0,533.0,740.0,441.0,,,10.0,14.0,Acadia Parish,St. Martin Parish,22_001,22_099,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,107,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Tensas Parish,4769.0,117.0,4351.0,120.0,418.0,129.0,218.0,113.0,192.0,87.0,8.0,13.0,,,8.0,14.0,Acadia Parish,Tensas Parish,22_001,22_107,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,109,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Terrebonne Parish,111230.0,1392.0,96884.0,1669.0,14346.0,1529.0,9091.0,1311.0,3926.0,970.0,1329.0,363.0,,,15.0,27.0,Acadia Parish,Terrebonne Parish,22_001,22_109,inflow_13_17_Louisiana.csv,2013,2017
22,001,22,113,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Louisiana,Vermilion Parish,58298.0,1075.0,50232.0,1320.0,8066.0,1261.0,5337.0,1028.0,1699.0,454.0,1030.0,590.0,,,281.0,204.0,Acadia Parish,Vermilion Parish,22_001,22_113,inflow_13_17_Louisiana.csv,2013,2017
22,001,28,047,Louisiana,Acadia Parish,61587.0,251.0,54802.0,1128.0,6607.0,1041.0,3925.0,807.0,2047.0,574.0,635.0,358.0,178.0,123.0,Mississippi,Harrison County,193668.0,2140.0,156683.0,2109.0,36985.0,2512.0,21656.0,1983.0,4669.0,859.0,10660.0,1309.0,,,19.0,30.0,Acadia Parish,Harrison,22_001,28_047,inflow_13_17_Louisiana.csv,2013,2017
