origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
38,001,06,073,North Dakota,Adams County,2345.0,22.0,2135.0,73.0,205.0,68.0,84.0,40.0,45.0,36.0,76.0,43.0,5.0,7.0,California,San Diego County,3236292.0,7461.0,2732840.0,7503.0,503452.0,7366.0,349972.0,6364.0,64245.0,2567.0,89235.0,3154.0,,,8.0,12.0,Adams,San Diego,38_001,06_073,inflow_13_17_North Dakota.csv,2013,2017
38,001,06,099,North Dakota,Adams County,2345.0,22.0,2135.0,73.0,205.0,68.0,84.0,40.0,45.0,36.0,76.0,43.0,5.0,7.0,California,Stanislaus County,524767.0,2634.0,453405.0,3773.0,71362.0,3633.0,50955.0,3287.0,15438.0,1307.0,4969.0,722.0,,,11.0,17.0,Adams,Stanislaus,38_001,06_099,inflow_13_17_North Dakota.csv,2013,2017
38,001,08,041,North Dakota,Adams County,2345.0,22.0,2135.0,73.0,205.0,68.0,84.0,40.0,45.0,36.0,76.0,43.0,5.0,7.0,Colorado,El Paso County,651215.0,4006.0,516388.0,4310.0,134810.0,4095.0,82533.0,3101.0,13843.0,1083.0,38434.0,2385.0,17.0,20.0,15.0,20.0,Adams,El Paso,38_001,08_041,inflow_13_17_North Dakota.csv,2013,2017
38,001,38,003,North Dakota,Adams County,2345.0,22.0,2135.0,73.0,205.0,68.0,84.0,40.0,45.0,36.0,76.0,43.0,5.0,7.0,North Dakota,Barnes County,10767.0,361.0,9112.0,285.0,1655.0,289.0,805.0,198.0,387.0,147.0,463.0,169.0,,,10.0,14.0,Adams,Barnes,38_001,38_003,inflow_13_17_North Dakota.csv,2013,2017
38,001,38,011,North Dakota,Adams County,2345.0,22.0,2135.0,73.0,205.0,68.0,84.0,40.0,45.0,36.0,76.0,43.0,5.0,7.0,North Dakota,Bowman County,3299.0,163.0,2826.0,108.0,473.0,162.0,169.0,72.0,175.0,105.0,129.0,97.0,,,2.0,5.0,Adams,Bowman,38_001,38_011,inflow_13_17_North Dakota.csv,2013,2017
38,001,38,015,North Dakota,Adams County,2345.0,22.0,2135.0,73.0,205.0,68.0,84.0,40.0,45.0,36.0,76.0,43.0,5.0,7.0,North Dakota,Burleigh County,90428.0,882.0,76991.0,998.0,13437.0,1057.0,7316.0,793.0,3422.0,516.0,2699.0,446.0,,,2.0,5.0,Adams,Burleigh,38_001,38_015,inflow_13_17_North Dakota.csv,2013,2017
38,001,38,035,North Dakota,Adams County,2345.0,22.0,2135.0,73.0,205.0,68.0,84.0,40.0,45.0,36.0,76.0,43.0,5.0,7.0,North Dakota,Grand Forks County,65523.0,895.0,52768.0,1097.0,12755.0,968.0,7324.0,816.0,1787.0,385.0,3644.0,439.0,,,8.0,14.0,Adams,Grand Forks,38_001,38_035,inflow_13_17_North Dakota.csv,2013,2017
38,001,38,041,North Dakota,Adams County,2345.0,22.0,2135.0,73.0,205.0,68.0,84.0,40.0,45.0,36.0,76.0,43.0,5.0,7.0,North Dakota,Hettinger County,2515.0,157.0,2179.0,88.0,336.0,124.0,99.0,40.0,139.0,87.0,98.0,85.0,,,2.0,5.0,Adams,Hettinger,38_001,38_041,inflow_13_17_North Dakota.csv,2013,2017
38,001,38,071,North Dakota,Adams County,2345.0,22.0,2135.0,73.0,205.0,68.0,84.0,40.0,45.0,36.0,76.0,43.0,5.0,7.0,North Dakota,Ramsey County,11188.0,305.0,9824.0,333.0,1364.0,313.0,889.0,276.0,428.0,143.0,47.0,40.0,,,3.0,4.0,Adams,Ramsey,38_001,38_071,inflow_13_17_North Dakota.csv,2013,2017
38,001,38,077,North Dakota,Adams County,2345.0,22.0,2135.0,73.0,205.0,68.0,84.0,40.0,45.0,36.0,76.0,43.0,5.0,7.0,North Dakota,Richland County,15619.0,345.0,13826.0,275.0,1793.0,320.0,805.0,199.0,548.0,224.0,440.0,143.0,,,18.0,22.0,Adams,Richland,38_001,38_077,inflow_13_17_North Dakota.csv,2013,2017
