origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
42,001,04,019,Pennsylvania,Adams County,100764.0,115.0,89008.0,890.0,11519.0,894.0,6438.0,874.0,2442.0,383.0,2639.0,367.0,237.0,116.0,Arizona,Pima County,979668.0,3667.0,786820.0,5633.0,192815.0,5725.0,146232.0,4790.0,16602.0,1485.0,29981.0,2070.0,33.0,36.0,11.0,16.0,Adams,Pima,42_001,04_019,inflow_13_17_Pennsylvania.csv,2013,2017
42,001,04,025,Pennsylvania,Adams County,100764.0,115.0,89008.0,890.0,11519.0,894.0,6438.0,874.0,2442.0,383.0,2639.0,367.0,237.0,116.0,Arizona,Yavapai County,212605.0,2046.0,181961.0,2150.0,30644.0,2185.0,18813.0,1891.0,5065.0,540.0,6766.0,1008.0,,,7.0,12.0,Adams,Yavapai,42_001,04_025,inflow_13_17_Pennsylvania.csv,2013,2017
42,001,06,041,Pennsylvania,Adams County,100764.0,115.0,89008.0,890.0,11519.0,894.0,6438.0,874.0,2442.0,383.0,2639.0,367.0,237.0,116.0,California,Marin County,254401.0,1967.0,222927.0,1832.0,31474.0,1845.0,15019.0,1280.0,12406.0,1334.0,4049.0,509.0,,,23.0,27.0,Adams,Marin,42_001,06_041,inflow_13_17_Pennsylvania.csv,2013,2017
42,001,06,059,Pennsylvania,Adams County,100764.0,115.0,89008.0,890.0,11519.0,894.0,6438.0,874.0,2442.0,383.0,2639.0,367.0,237.0,116.0,California,Orange County,3108192.0,5757.0,2709673.0,8434.0,398519.0,6738.0,273160.0,6228.0,75467.0,2646.0,49892.0,2756.0,,,12.0,18.0,Adams,Orange,42_001,06_059,inflow_13_17_Pennsylvania.csv,2013,2017
42,001,06,073,Pennsylvania,Adams County,100764.0,115.0,89008.0,890.0,11519.0,894.0,6438.0,874.0,2442.0,383.0,2639.0,367.0,237.0,116.0,California,San Diego County,3236292.0,7461.0,2732840.0,7503.0,503452.0,7366.0,349972.0,6364.0,64245.0,2567.0,89235.0,3154.0,,,24.0,29.0,Adams,San Diego,42_001,06_073,inflow_13_17_Pennsylvania.csv,2013,2017
42,001,06,087,Pennsylvania,Adams County,100764.0,115.0,89008.0,890.0,11519.0,894.0,6438.0,874.0,2442.0,383.0,2639.0,367.0,237.0,116.0,California,Santa Cruz County,267687.0,1784.0,233009.0,1891.0,34678.0,2227.0,19154.0,1565.0,11499.0,1150.0,4025.0,749.0,,,18.0,22.0,Adams,Santa Cruz,42_001,06_087,inflow_13_17_Pennsylvania.csv,2013,2017
42,001,08,005,Pennsylvania,Adams County,100764.0,115.0,89008.0,890.0,11519.0,894.0,6438.0,874.0,2442.0,383.0,2639.0,367.0,237.0,116.0,Colorado,Arapahoe County,612269.0,3956.0,500547.0,3900.0,111722.0,3803.0,53268.0,2754.0,39514.0,1915.0,18940.0,1545.0,,,9.0,14.0,Adams,Arapahoe,42_001,08_005,inflow_13_17_Pennsylvania.csv,2013,2017
42,001,08,041,Pennsylvania,Adams County,100764.0,115.0,89008.0,890.0,11519.0,894.0,6438.0,874.0,2442.0,383.0,2639.0,367.0,237.0,116.0,Colorado,El Paso County,651215.0,4006.0,516388.0,4310.0,134810.0,4095.0,82533.0,3101.0,13843.0,1083.0,38434.0,2385.0,17.0,20.0,6.0,10.0,Adams,El Paso,42_001,08_041,inflow_13_17_Pennsylvania.csv,2013,2017
42,001,08,059,Pennsylvania,Adams County,100764.0,115.0,89008.0,890.0,11519.0,894.0,6438.0,874.0,2442.0,383.0,2639.0,367.0,237.0,116.0,Colorado,Jefferson County,555207.0,3216.0,472154.0,2478.0,83053.0,3362.0,37814.0,2044.0,31914.0,1909.0,13325.0,1145.0,,,20.0,23.0,Adams,Jefferson,42_001,08_059,inflow_13_17_Pennsylvania.csv,2013,2017
42,001,08,123,Pennsylvania,Adams County,100764.0,115.0,89008.0,890.0,11519.0,894.0,6438.0,874.0,2442.0,383.0,2639.0,367.0,237.0,116.0,Colorado,Weld County,273442.0,2077.0,231448.0,2285.0,41994.0,2131.0,24387.0,1677.0,11725.0,1072.0,5882.0,601.0,,,11.0,16.0,Adams,Weld,42_001,08_123,inflow_13_17_Pennsylvania.csv,2013,2017
