origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
31,001,04,013,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Arizona,Maricopa County,4294816.0,7863.0,3637569.0,12791.0,657176.0,11666.0,508750.0,10297.0,47928.0,2845.0,100498.0,4438.0,71.0,58.0,18.0,27.0,Adams,Maricopa,31_001,04_013,inflow_16_20_Nebraska.csv,2016,2020
31,001,05,069,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Arkansas,Jefferson County,66748.0,1165.0,56995.0,1073.0,9753.0,1064.0,5546.0,782.0,2965.0,666.0,1242.0,408.0,,,4.0,6.0,Adams,Jefferson,31_001,05_069,inflow_16_20_Nebraska.csv,2016,2020
31,001,06,067,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,California,Sacramento County,1506394.0,4402.0,1298698.0,5339.0,207696.0,5566.0,138844.0,5099.0,46638.0,2646.0,22214.0,1763.0,,,1.0,3.0,Adams,Sacramento,31_001,06_067,inflow_16_20_Nebraska.csv,2016,2020
31,001,06,073,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,California,San Diego County,3274487.0,5768.0,2792207.0,9001.0,482271.0,9083.0,325445.0,7330.0,61910.0,3414.0,94916.0,3522.0,9.0,14.0,2.0,6.0,Adams,San Diego,31_001,06_073,inflow_16_20_Nebraska.csv,2016,2020
31,001,08,013,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Colorado,Boulder County,311859.0,2858.0,249074.0,2753.0,62785.0,2932.0,34073.0,2180.0,17358.0,1519.0,11354.0,1180.0,,,14.0,22.0,Adams,Boulder,31_001,08_013,inflow_16_20_Nebraska.csv,2016,2020
31,001,08,025,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Colorado,Crowley County,6022.0,351.0,5171.0,258.0,851.0,382.0,187.0,209.0,557.0,297.0,107.0,88.0,,,5.0,12.0,Adams,Crowley,31_001,08_025,inflow_16_20_Nebraska.csv,2016,2020
31,001,08,031,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Colorado,Denver County,707069.0,5906.0,567350.0,4796.0,139709.0,4380.0,58132.0,2971.0,55288.0,2885.0,26289.0,2131.0,10.0,17.0,13.0,21.0,Adams,Denver,31_001,08_031,inflow_16_20_Nebraska.csv,2016,2020
31,001,08,035,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Colorado,Douglas County,336153.0,2767.0,287368.0,2837.0,48785.0,2513.0,21350.0,1892.0,16980.0,1502.0,10455.0,1099.0,,,5.0,6.0,Adams,Douglas,31_001,08_035,inflow_16_20_Nebraska.csv,2016,2020
31,001,08,041,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Colorado,El Paso County,689774.0,3984.0,554323.0,4808.0,135337.0,3944.0,77796.0,3477.0,14923.0,1610.0,42618.0,2389.0,114.0,108.0,66.0,69.0,Adams,El Paso,31_001,08_041,inflow_16_20_Nebraska.csv,2016,2020
31,001,08,059,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Colorado,Jefferson County,569580.0,3970.0,485505.0,3511.0,84075.0,3367.0,35656.0,2046.0,32302.0,1969.0,16117.0,1905.0,,,26.0,29.0,Adams,Jefferson,31_001,08_059,inflow_16_20_Nebraska.csv,2016,2020
31,001,08,101,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Colorado,Pueblo County,166236.0,1398.0,141110.0,1611.0,25126.0,1999.0,16258.0,1572.0,5297.0,728.0,3571.0,711.0,,,6.0,11.0,Adams,Pueblo,31_001,08_101,inflow_16_20_Nebraska.csv,2016,2020
31,001,08,123,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Colorado,Weld County,300427.0,2332.0,261415.0,2990.0,39012.0,2573.0,21906.0,2109.0,9721.0,917.0,7385.0,1015.0,,,7.0,13.0,Adams,Weld,31_001,08_123,inflow_16_20_Nebraska.csv,2016,2020
31,001,11,001,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,District of Columbia,District of Columbia,687141.0,3518.0,559402.0,3329.0,127636.0,3630.0,67102.0,2693.0,,,60534.0,2490.0,103.0,88.0,1.0,2.0,Adams,District of Columbia,31_001,11_001,inflow_16_20_Nebraska.csv,2016,2020
31,001,13,229,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Georgia,Pierce County,19582.0,420.0,18119.0,339.0,1463.0,414.0,524.0,250.0,805.0,353.0,134.0,127.0,,,18.0,27.0,Adams,Pierce,31_001,13_229,inflow_16_20_Nebraska.csv,2016,2020
31,001,17,043,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Illinois,DuPage County,920977.0,3625.0,809935.0,3599.0,111042.0,4003.0,52303.0,2644.0,34761.0,1984.0,23978.0,1540.0,,,6.0,13.0,Adams,DuPage,31_001,17_043,inflow_16_20_Nebraska.csv,2016,2020
31,001,19,065,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Iowa,Fayette County,19488.0,328.0,16817.0,330.0,2671.0,407.0,1447.0,270.0,1029.0,275.0,195.0,80.0,,,1.0,3.0,Adams,Fayette,31_001,19_065,inflow_16_20_Nebraska.csv,2016,2020
31,001,19,113,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Iowa,Linn County,221394.0,1826.0,191686.0,2000.0,29708.0,1999.0,19003.0,1666.0,6064.0,797.0,4641.0,930.0,,,2.0,4.0,Adams,Linn,31_001,19_113,inflow_16_20_Nebraska.csv,2016,2020
31,001,19,155,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Iowa,Pottawattamie County,94127.0,1149.0,81373.0,997.0,12754.0,1238.0,6639.0,812.0,1785.0,453.0,4330.0,721.0,,,1.0,4.0,Adams,Pottawattamie,31_001,19_155,inflow_16_20_Nebraska.csv,2016,2020
31,001,20,173,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Kansas,Sedgwick County,506488.0,3257.0,419754.0,3923.0,86734.0,3664.0,62960.0,3068.0,10912.0,915.0,12862.0,1566.0,,,1.0,4.0,Adams,Sedgwick,31_001,20_173,inflow_16_20_Nebraska.csv,2016,2020
31,001,27,013,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Minnesota,Blue Earth County,64823.0,1208.0,51740.0,1092.0,13083.0,1175.0,7089.0,753.0,4601.0,676.0,1393.0,391.0,,,1.0,2.0,Adams,Blue Earth,31_001,27_013,inflow_16_20_Nebraska.csv,2016,2020
31,001,27,053,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Minnesota,Hennepin County,1234879.0,4985.0,1032007.0,4745.0,202872.0,4980.0,122890.0,3978.0,47984.0,2956.0,31998.0,1766.0,,,1.0,2.0,Adams,Hennepin,31_001,27_053,inflow_16_20_Nebraska.csv,2016,2020
31,001,29,021,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Missouri,Buchanan County,86898.0,1223.0,72184.0,1401.0,14714.0,1664.0,8640.0,1218.0,3592.0,638.0,2482.0,561.0,,,8.0,12.0,Adams,Buchanan,31_001,29_021,inflow_16_20_Nebraska.csv,2016,2020
31,001,29,047,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Missouri,Clay County,239473.0,2200.0,203320.0,2349.0,36153.0,2070.0,21637.0,1902.0,8578.0,869.0,5938.0,1231.0,,,9.0,13.0,Adams,Clay,31_001,29_047,inflow_16_20_Nebraska.csv,2016,2020
31,001,30,013,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Montana,Cascade County,79564.0,1207.0,65396.0,1135.0,14168.0,1360.0,8507.0,958.0,2205.0,543.0,3456.0,624.0,,,2.0,4.0,Adams,Cascade,31_001,30_013,inflow_16_20_Nebraska.csv,2016,2020
31,001,31,011,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Nebraska,Boone County,5077.0,150.0,4597.0,131.0,480.0,139.0,274.0,95.0,144.0,66.0,62.0,79.0,,,19.0,33.0,Adams,Boone,31_001,31_011,inflow_16_20_Nebraska.csv,2016,2020
31,001,31,013,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Nebraska,Box Butte County,10038.0,456.0,8749.0,617.0,1289.0,459.0,946.0,453.0,237.0,117.0,106.0,54.0,,,7.0,25.0,Adams,Box Butte,31_001,31_013,inflow_16_20_Nebraska.csv,2016,2020
31,001,31,017,Nebraska,Adams County,31153.0,119.0,26650.0,578.0,4480.0,589.0,2795.0,496.0,1300.0,280.0,385.0,128.0,23.0,18.0,Nebraska,Brown County,2661.0,217.0,2396.0,158.0,265.0,112.0,127.0,91.0,136.0,68.0,2.0,4.0,,,12.0,13.0,Adams,Brown,31_001,31_017,inflow_16_20_Nebraska.csv,2016,2020
