origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file,year_start,year_end
049,001,006,071,Utah,Beaver County,6416.0,55.0,6157.0,158.0,239.0,139.0,157.0,104.0,29.0,40.0,53.0,54.0,20.0,21.0,California,San Bernardino County,2109202.0,6136.0,1876486.0,7274.0,232716.0,6359.0,144025.0,5623.0,53033.0,2732.0,35658.0,2213.0,,,35.0,52.0,Beaver,San Bernardino,inflow_16_20_Utah.csv,2016,2020
049,001,016,027,Utah,Beaver County,6416.0,55.0,6157.0,158.0,239.0,139.0,157.0,104.0,29.0,40.0,53.0,54.0,20.0,21.0,Idaho,Canyon County,213869.0,2203.0,178734.0,3073.0,35135.0,3223.0,23872.0,2797.0,6231.0,984.0,5032.0,917.0,,,7.0,10.0,Beaver,Canyon,inflow_16_20_Utah.csv,2016,2020
049,001,049,007,Utah,Beaver County,6416.0,55.0,6157.0,158.0,239.0,139.0,157.0,104.0,29.0,40.0,53.0,54.0,20.0,21.0,Utah,Carbon County,19880.0,475.0,17046.0,518.0,2834.0,494.0,1667.0,331.0,888.0,335.0,279.0,135.0,,,5.0,14.0,Beaver,Carbon,inflow_16_20_Utah.csv,2016,2020
049,001,049,041,Utah,Beaver County,6416.0,55.0,6157.0,158.0,239.0,139.0,157.0,104.0,29.0,40.0,53.0,54.0,20.0,21.0,Utah,Sevier County,20716.0,565.0,17715.0,533.0,3001.0,554.0,1873.0,406.0,796.0,345.0,332.0,219.0,,,24.0,37.0,Beaver,Sevier,inflow_16_20_Utah.csv,2016,2020
049,001,053,077,Utah,Beaver County,6416.0,55.0,6157.0,158.0,239.0,139.0,157.0,104.0,29.0,40.0,53.0,54.0,20.0,21.0,Washington,Yakima County,246922.0,1544.0,213587.0,2394.0,33335.0,2202.0,25450.0,2212.0,4925.0,756.0,2960.0,700.0,,,11.0,17.0,Beaver,Yakima,inflow_16_20_Utah.csv,2016,2020
049,001,CAM,,Utah,Beaver County,6416.0,55.0,6157.0,158.0,239.0,139.0,157.0,104.0,29.0,40.0,53.0,54.0,20.0,21.0,Central America,-,,,,,,,,,,,,,,,20.0,21.0,Beaver,,inflow_16_20_Utah.csv,2016,2020
049,003,004,001,Utah,Box Elder County,54132.0,160.0,47107.0,815.0,6844.0,813.0,3294.0,647.0,2509.0,537.0,1041.0,331.0,181.0,101.0,Arizona,Apache County,74511.0,1013.0,66818.0,656.0,7693.0,1041.0,1828.0,374.0,4067.0,813.0,1798.0,517.0,,,10.0,16.0,Box Elder,Apache,inflow_16_20_Utah.csv,2016,2020
049,003,005,007,Utah,Box Elder County,54132.0,160.0,47107.0,815.0,6844.0,813.0,3294.0,647.0,2509.0,537.0,1041.0,331.0,181.0,101.0,Arkansas,Benton County,268072.0,2123.0,231924.0,2375.0,36148.0,2553.0,20743.0,2091.0,6369.0,1115.0,9036.0,1192.0,,,3.0,7.0,Box Elder,Benton,inflow_16_20_Utah.csv,2016,2020
049,003,006,001,Utah,Box Elder County,54132.0,160.0,47107.0,815.0,6844.0,813.0,3294.0,647.0,2509.0,537.0,1041.0,331.0,181.0,101.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,4.0,10.0,Box Elder,Alameda,inflow_16_20_Utah.csv,2016,2020
049,003,006,029,Utah,Box Elder County,54132.0,160.0,47107.0,815.0,6844.0,813.0,3294.0,647.0,2509.0,537.0,1041.0,331.0,181.0,101.0,California,Kern County,874840.0,3336.0,760031.0,4928.0,114809.0,3922.0,79067.0,3792.0,23173.0,1613.0,12569.0,1381.0,,,51.0,66.0,Box Elder,Kern,inflow_16_20_Utah.csv,2016,2020
