origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file,year_start,year_end
053,001,006,001,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,24.0,37.0,Adams,Alameda,inflow_16_20_Washington.csv,2016,2020
053,001,006,073,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,California,San Diego County,3274487.0,5768.0,2792207.0,9001.0,482271.0,9083.0,325445.0,7330.0,61910.0,3414.0,94916.0,3522.0,9.0,14.0,9.0,13.0,Adams,San Diego,inflow_16_20_Washington.csv,2016,2020
053,001,006,095,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,California,Solano County,433910.0,2730.0,380510.0,3242.0,53400.0,2939.0,28807.0,2381.0,16583.0,1588.0,8010.0,967.0,,,14.0,23.0,Adams,Solano,inflow_16_20_Washington.csv,2016,2020
053,001,008,001,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Colorado,Adams County,499473.0,3523.0,424011.0,3500.0,75462.0,3363.0,36545.0,2663.0,28100.0,2132.0,10817.0,1415.0,,,6.0,13.0,Adams,Adams,inflow_16_20_Washington.csv,2016,2020
053,001,016,055,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Idaho,Kootenai County,158022.0,1605.0,134887.0,1855.0,23135.0,1876.0,14589.0,1535.0,2612.0,458.0,5934.0,962.0,,,49.0,75.0,Adams,Kootenai,inflow_16_20_Washington.csv,2016,2020
053,001,018,141,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Indiana,St. Joseph County,267145.0,1916.0,230878.0,1989.0,36267.0,1948.0,21513.0,1594.0,5842.0,590.0,8912.0,1409.0,,,1.0,7.0,Adams,St. Joseph,inflow_16_20_Washington.csv,2016,2020
053,001,030,023,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Montana,Deer Lodge County,8993.0,498.0,7327.0,297.0,1666.0,458.0,636.0,260.0,747.0,327.0,283.0,145.0,,,3.0,6.0,Adams,Deer Lodge,inflow_16_20_Washington.csv,2016,2020
053,001,041,029,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Oregon,Jackson County,215648.0,1672.0,180407.0,2612.0,35241.0,2221.0,24260.0,2116.0,5402.0,842.0,5579.0,825.0,,,7.0,11.0,Adams,Jackson,inflow_16_20_Washington.csv,2016,2020
053,001,041,049,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Oregon,Morrow County,10957.0,324.0,9998.0,372.0,959.0,363.0,473.0,259.0,217.0,86.0,269.0,227.0,,,11.0,18.0,Adams,Morrow,inflow_16_20_Washington.csv,2016,2020
053,001,041,065,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Oregon,Wasco County,25640.0,583.0,22269.0,548.0,3371.0,594.0,1622.0,360.0,1003.0,340.0,746.0,304.0,,,5.0,8.0,Adams,Wasco,inflow_16_20_Washington.csv,2016,2020
053,001,048,201,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Texas,Harris County,4588530.0,10090.0,3902169.0,12254.0,686134.0,11268.0,504712.0,10048.0,119381.0,5404.0,62041.0,2957.0,227.0,154.0,25.0,22.0,Adams,Harris,inflow_16_20_Washington.csv,2016,2020
053,001,048,453,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Texas,Travis County,1222183.0,5676.0,998886.0,7114.0,223219.0,6066.0,138212.0,5077.0,55368.0,3910.0,29639.0,2036.0,78.0,90.0,1.0,2.0,Adams,Travis,inflow_16_20_Washington.csv,2016,2020
053,001,053,005,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Washington,Benton County,198935.0,1840.0,171312.0,1902.0,27623.0,2056.0,15898.0,1691.0,6579.0,993.0,5146.0,995.0,,,276.0,201.0,Adams,Benton,inflow_16_20_Washington.csv,2016,2020
053,001,053,007,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Washington,Chelan County,75749.0,1287.0,66407.0,1263.0,9342.0,1318.0,4471.0,1001.0,3779.0,683.0,1092.0,324.0,,,82.0,103.0,Adams,Chelan,inflow_16_20_Washington.csv,2016,2020
053,001,053,009,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Washington,Clallam County,74657.0,926.0,65647.0,1025.0,9010.0,1012.0,5502.0,846.0,1861.0,425.0,1647.0,438.0,,,3.0,4.0,Adams,Clallam,inflow_16_20_Washington.csv,2016,2020
053,001,053,011,Washington,Adams County,19431.0,123.0,16950.0,533.0,2120.0,421.0,1004.0,378.0,961.0,290.0,155.0,95.0,361.0,240.0,Washington,Clark County,471240.0,2503.0,398734.0,3057.0,72506.0,3249.0,48180.0,2837.0,9684.0,1174.0,14642.0,1311.0,,,9.0,17.0,Adams,Clark,inflow_16_20_Washington.csv,2016,2020
