origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
02,090,04,001,Alaska,Fairbanks North Star Borough,95280,248,70967,1673,22900,1644,12946,1470,2673.0,644.0,7281,1056,1413.0,431.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,5,9,Fairbanks North Star Borough,Apache,02_090,04_001,outflow_05_09_Arizona.csv,2005,2009
04,003,04,001,Arizona,Cochise County,125767,313,99519,1766,24633,1589,11517,1459,4378.0,1048.0,8738,856,1615.0,512.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,141,113,Cochise,Apache,04_003,04_001,outflow_05_09_Arizona.csv,2005,2009
04,005,04,001,Arizona,Coconino County,125363,251,100381,1820,24184,1704,13197,1289,5890.0,849.0,5097,786,798.0,519.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,298,335,Coconino,Apache,04_005,04_001,outflow_05_09_Arizona.csv,2005,2009
04,007,04,001,Arizona,Gila County,51047,196,44286,936,6644,947,3199,742,2220.0,469.0,1225,459,117.0,100.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,12,19,Gila,Apache,04_007,04_001,outflow_05_09_Arizona.csv,2005,2009
04,009,04,001,Arizona,Graham County,34252,121,28322,677,5720,648,2597,536,2268.0,419.0,855,281,210.0,97.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,12,14,Graham,Apache,04_009,04_001,outflow_05_09_Arizona.csv,2005,2009
04,013,04,001,Arizona,Maricopa County,3790712,1932,2993298,11083,762397,10588,569170,9886,38081.0,2432.0,155146,4477,35017.0,2618.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,838,358,Maricopa,Apache,04_013,04_001,outflow_05_09_Arizona.csv,2005,2009
04,015,04,001,Arizona,Mohave County,190848,280,150464,2318,39664,2332,21658,2043,2970.0,638.0,15036,1506,720.0,275.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,69,94,Mohave,Apache,04_015,04_001,outflow_05_09_Arizona.csv,2005,2009
04,017,04,001,Arizona,Navajo County,108699,280,92556,1691,15895,1661,8384,1353,5075.0,825.0,2436,626,248.0,102.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,497,346,Navajo,Apache,04_017,04_001,outflow_05_09_Arizona.csv,2005,2009
04,019,04,001,Arizona,Pima County,976344,825,766189,5644,200553,5726,143700,5281,17666.0,1836.0,39187,2394,9602.0,1195.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,70,50,Pima,Apache,04_019,04_001,outflow_05_09_Arizona.csv,2005,2009
04,021,04,001,Arizona,Pinal County,291403,462,220095,3651,68430,3481,24302,2293,28020.0,2415.0,16108,1551,2878.0,672.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,142,119,Pinal,Apache,04_021,04_001,outflow_05_09_Arizona.csv,2005,2009
04,025,04,001,Arizona,Yavapai County,206686,384,171335,2504,34390,2526,19147,1923,6177.0,948.0,9066,1236,961.0,366.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,23,26,Yavapai,Apache,04_025,04_001,outflow_05_09_Arizona.csv,2005,2009
05,125,04,001,Arkansas,Saline County,93887,190,79649,1280,14113,1260,7034,1047,4914.0,710.0,2165,515,125.0,102.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,7,12,Saline,Apache,05_125,04_001,outflow_05_09_Arizona.csv,2005,2009
06,007,04,001,California,Butte County,214970,344,166892,2404,47132,2389,31047,2164,12580.0,1231.0,3505,657,946.0,351.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,22,38,Butte,Apache,06_007,04_001,outflow_05_09_Arizona.csv,2005,2009
06,035,04,001,California,Lassen County,34059,135,24693,962,9236,836,3153,634,5005.0,406.0,1078,722,130.0,147.0,Arizona,Apache County,69107,1013,61634,1134,7473,1236,3143,846,2102,669,2228,502,,,26,41,Lassen,Apache,06_035,04_001,outflow_05_09_Arizona.csv,2005,2009
