origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
05,143,13,001,Arkansas,Washington County,189893,457,140596,2327,48024,2261,29535,1947,9048.0,917.0,9441.0,1345.0,1273.0,458.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,21,30,Washington,Appling,05_143,13_001,outflow_05_09_Georgia.csv
12,031,13,001,Florida,Duval County,834556,809,664346,4998,165606,4786,113622,4035,22275.0,1642.0,29709.0,2151.0,4604.0,871.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,139,123,Duval,Appling,12_031,13_001,outflow_05_09_Georgia.csv
12,121,13,001,Florida,Suwannee County,38688,196,30780,1024,7860,976,4641,993,2570.0,721.0,649.0,327.0,48.0,82.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,69,93,Suwannee,Appling,12_121,13_001,outflow_05_09_Georgia.csv
13,003,13,001,Georgia,Atkinson County,7925,76,6969,257,913,232,470,180,320.0,165.0,123.0,65.0,43.0,43.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,3,6,Atkinson,Appling,13_003,13_001,outflow_05_09_Georgia.csv
13,005,13,001,Georgia,Bacon County,10361,88,8286,627,2075,605,764,405,798.0,260.0,513.0,540.0,,,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,54,42,Bacon,Appling,13_005,13_001,outflow_05_09_Georgia.csv
13,009,13,001,Georgia,Baldwin County,45573,188,37470,1098,7964,1071,4051,888,3223.0,572.0,690.0,366.0,139.0,87.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,44,56,Baldwin,Appling,13_009,13_001,outflow_05_09_Georgia.csv
13,011,13,001,Georgia,Banks County,16258,58,14628,365,1572,357,573,232,799.0,259.0,200.0,120.0,58.0,49.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,35,50,Banks,Appling,13_011,13_001,outflow_05_09_Georgia.csv
13,017,13,001,Georgia,Ben Hill County,17235,133,14786,541,2386,527,1343,420,682.0,268.0,361.0,186.0,63.0,67.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,75,114,Ben Hill,Appling,13_017,13_001,outflow_05_09_Georgia.csv
13,021,13,001,Georgia,Bibb County,152750,344,120103,2109,32046,2181,21229,1850,7435.0,965.0,3382.0,766.0,601.0,306.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,15,26,Bibb,Appling,13_021,13_001,outflow_05_09_Georgia.csv
13,031,13,001,Georgia,Bulloch County,65491,198,48868,1622,16545,1639,6484,1008,8987.0,2050.0,1074.0,282.0,78.0,80.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,10,16,Bulloch,Appling,13_031,13_001,outflow_05_09_Georgia.csv
13,039,13,001,Georgia,Camden County,46207,150,36735,889,9201,881,4623,667,1488.0,541.0,3090.0,543.0,271.0,182.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,35,45,Camden,Appling,13_039,13_001,outflow_05_09_Georgia.csv
13,067,13,001,Georgia,Cobb County,678491,757,552182,4246,120973,4083,59695,3205,33654.0,2574.0,27624.0,1910.0,5336.0,961.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,35,43,Cobb,Appling,13_067,13_001,outflow_05_09_Georgia.csv
13,069,13,001,Georgia,Coffee County,39673,150,35476,699,4159,689,2641,475,1016.0,463.0,502.0,293.0,38.0,35.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,304,396,Coffee,Appling,13_069,13_001,outflow_05_09_Georgia.csv
13,073,13,001,Georgia,Columbia County,106559,216,90986,1444,14792,1455,6421,999,4649.0,742.0,3722.0,772.0,781.0,248.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,58,90,Columbia,Appling,13_073,13_001,outflow_05_09_Georgia.csv
13,107,13,001,Georgia,Emanuel County,22149,143,19120,639,3029,613,1625,445,1094.0,307.0,310.0,172.0,,,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,6,10,Emanuel,Appling,13_107,13_001,outflow_05_09_Georgia.csv
13,109,13,001,Georgia,Evans County,11159,127,9435,408,1591,373,657,241,895.0,305.0,39.0,31.0,133.0,148.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,20,16,Evans,Appling,13_109,13_001,outflow_05_09_Georgia.csv
13,113,13,001,Georgia,Fayette County,104475,167,90273,1286,13810,1303,5087,877,4776.0,816.0,3947.0,686.0,392.0,159.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,13,22,Fayette,Appling,13_113,13_001,outflow_05_09_Georgia.csv
13,121,13,001,Georgia,Fulton County,973030,874,764369,5679,200006,5744,108571,3949,47489.0,2680.0,43946.0,3051.0,8655.0,938.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,26,29,Fulton,Appling,13_121,13_001,outflow_05_09_Georgia.csv
13,127,13,001,Georgia,Glynn County,73486,219,60123,1286,12967,1281,7310,1022,3054.0,630.0,2603.0,693.0,396.0,167.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,28,33,Glynn,Appling,13_127,13_001,outflow_05_09_Georgia.csv
13,145,13,001,Georgia,Harris County,28568,117,24944,972,3535,973,844,382,1731.0,894.0,960.0,339.0,89.0,68.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,13,21,Harris,Appling,13_145,13_001,outflow_05_09_Georgia.csv
13,153,13,001,Georgia,Houston County,128634,314,101364,1676,26651,1707,16264,1774,5212.0,910.0,5175.0,822.0,619.0,206.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,15,23,Houston,Appling,13_153,13_001,outflow_05_09_Georgia.csv
13,161,13,001,Georgia,Jeff Davis County,13113,91,10902,549,2147,539,1055,415,895.0,393.0,197.0,158.0,64.0,78.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,127,121,Jeff Davis,Appling,13_161,13_001,outflow_05_09_Georgia.csv
13,179,13,001,Georgia,Liberty County,59716,216,40732,1384,16033,1307,5982,936,2691.0,602.0,7360.0,1024.0,2951.0,626.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,203,307,Liberty,Appling,13_179,13_001,outflow_05_09_Georgia.csv
13,185,13,001,Georgia,Lowndes County,100549,226,76403,1499,23438,1516,13650,1439,5379.0,768.0,4409.0,724.0,708.0,284.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,11,17,Lowndes,Appling,13_185,13_001,outflow_05_09_Georgia.csv
13,209,13,001,Georgia,Montgomery County,8842,52,7693,347,1124,335,268,212,794.0,317.0,62.0,42.0,25.0,31.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,34,46,Montgomery,Appling,13_209,13_001,outflow_05_09_Georgia.csv
13,223,13,001,Georgia,Paulding County,123552,363,104576,2425,18786,2368,7837,1743,7764.0,1473.0,3185.0,1168.0,190.0,85.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,38,65,Paulding,Appling,13_223,13_001,outflow_05_09_Georgia.csv
13,261,13,001,Georgia,Sumter County,32007,107,26792,906,5127,896,3667,914,1158.0,290.0,302.0,140.0,88.0,55.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,30,51,Sumter,Appling,13_261,13_001,outflow_05_09_Georgia.csv
13,267,13,001,Georgia,Tattnall County,22915,129,18568,665,4253,666,1552,484,1978.0,431.0,723.0,304.0,94.0,113.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,42,64,Tattnall,Appling,13_267,13_001,outflow_05_09_Georgia.csv
13,279,13,001,Georgia,Toombs County,27000,161,23373,731,3483,718,2022,671,980.0,343.0,481.0,243.0,144.0,117.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,18,30,Toombs,Appling,13_279,13_001,outflow_05_09_Georgia.csv
13,303,13,001,Georgia,Washington County,20318,95,18566,533,1723,539,931,425,709.0,237.0,83.0,59.0,29.0,34.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,7,11,Washington,Appling,13_303,13_001,outflow_05_09_Georgia.csv
13,305,13,001,Georgia,Wayne County,28550,115,24014,660,4462,651,2115,432,1535.0,501.0,812.0,227.0,74.0,69.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,68,95,Wayne,Appling,13_305,13_001,outflow_05_09_Georgia.csv
37,051,13,001,North Carolina,Cumberland County,303942,510,223350,2907,73139,2904,39500,2488,8739.0,1027.0,24900.0,1886.0,7453.0,1774.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,8,14,Cumberland,Appling,37_051,13_001,outflow_05_09_Georgia.csv
37,167,13,001,North Carolina,Stanly County,58454,155,51057,1037,6997,996,4338,933,2016.0,530.0,643.0,231.0,400.0,170.0,Georgia,Appling County,18917,669,15764,578,3153,828,1322,534,1367,550,464.0,266.0,,,5,8,Stanly,Appling,37_167,13_001,outflow_05_09_Georgia.csv
