origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
01,053,17,001,Alabama,Escambia County,37020,139,32160,730,4601,688,2622,509,946.0,282.0,1033,331,259.0,183.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,85,125,Escambia,Adams,01_053,17_001,outflow_05_09_Illinois.csv,2005,2009
12,057,17,001,Florida,Hillsborough County,1150726,803,918416,5632,223215,5381,152269,4424,32928.0,2108.0,38018,2485,9095.0,1192.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,10,16,Hillsborough,Adams,12_057,17_001,outflow_05_09_Illinois.csv,2005,2009
13,117,17,001,Georgia,Forsyth County,155468,322,135791,1746,19021,1698,6672,1076,8247.0,1056.0,4102,695,656.0,254.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,40,65,Forsyth,Adams,13_117,17_001,outflow_05_09_Illinois.csv,2005,2009
16,005,17,001,Idaho,Bannock County,78857,229,60964,1144,17346,1142,10923,1066,2989.0,566.0,3434,644,547.0,172.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,11,16,Bannock,Adams,16_005,17_001,outflow_05_09_Illinois.csv,2005,2009
17,003,17,001,Illinois,Alexander County,8073,94,6612,306,1435,325,743,251,478.0,278.0,214,131,26.0,31.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,18,22,Alexander,Adams,17_003,17_001,outflow_05_09_Illinois.csv,2005,2009
17,005,17,001,Illinois,Bond County,17803,175,15448,515,2325,492,766,297,1028.0,234.0,531,334,30.0,50.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,47,55,Bond,Adams,17_005,17_001,outflow_05_09_Illinois.csv,2005,2009
17,009,17,001,Illinois,Brown County,6485,46,4602,295,1883,287,272,169,1503.0,253.0,108,99,,,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,114,57,Brown,Adams,17_009,17_001,outflow_05_09_Illinois.csv,2005,2009
17,011,17,001,Illinois,Bureau County,34383,81,30863,489,3463,489,2027,383,1200.0,242.0,236,111,57.0,39.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,36,42,Bureau,Adams,17_011,17_001,outflow_05_09_Illinois.csv,2005,2009
17,017,17,001,Illinois,Cass County,13407,72,10795,842,2468,848,1276,557,855.0,400.0,337,249,144.0,133.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,12,20,Cass,Adams,17_017,17_001,outflow_05_09_Illinois.csv,2005,2009
17,019,17,001,Illinois,Champaign County,189747,313,135121,2087,51717,1981,31028,1936,14468.0,1292.0,6221,1032,2909.0,541.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,76,76,Champaign,Adams,17_019,17_001,outflow_05_09_Illinois.csv,2005,2009
17,021,17,001,Illinois,Christian County,34144,100,29690,580,4440,556,2559,432,1534.0,312.0,347,199,14.0,17.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,12,19,Christian,Adams,17_021,17_001,outflow_05_09_Illinois.csv,2005,2009
17,029,17,001,Illinois,Coles County,51647,141,36806,1107,14730,1123,7803,1032,5806.0,728.0,1121,402,111.0,119.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,5,8,Coles,Adams,17_029,17_001,outflow_05_09_Illinois.csv,2005,2009
17,031,17,001,Illinois,Cook County,5179743,1921,4424233,10635,717453,10538,575364,10651,51710.0,2512.0,90379,3058,38057.0,1967.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,275,165,Cook,Adams,17_031,17_001,outflow_05_09_Illinois.csv,2005,2009
17,033,17,001,Illinois,Crawford County,19216,145,16023,568,3148,536,1688,534,664.0,263.0,796,262,45.0,34.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,1,119,Crawford,Adams,17_033,17_001,outflow_05_09_Illinois.csv,2005,2009
17,039,17,001,Illinois,De Witt County,16041,67,13728,406,2302,408,1287,305,867.0,244.0,148,104,11.0,17.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,1,3,De Witt,Adams,17_039,17_001,outflow_05_09_Illinois.csv,2005,2009
17,041,17,001,Illinois,Douglas County,19157,75,16738,431,2404,411,1450,298,801.0,238.0,153,100,15.0,17.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,14,21,Douglas,Adams,17_041,17_001,outflow_05_09_Illinois.csv,2005,2009
17,043,17,001,Illinois,DuPage County,914265,579,800776,3862,108919,3985,57203,3225,33930.0,2007.0,17786,1447,4570.0,729.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,43,35,DuPage,Adams,17_043,17_001,outflow_05_09_Illinois.csv,2005,2009
17,057,17,001,Illinois,Fulton County,36622,83,31098,532,5492,551,3206,588,1807.0,343.0,479,171,32.0,27.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,7,10,Fulton,Adams,17_057,17_001,outflow_05_09_Illinois.csv,2005,2009
17,067,17,001,Illinois,Hancock County,18515,44,16670,335,1833,334,1056,240,306.0,140.0,471,139,12.0,13.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,108,85,Hancock,Adams,17_067,17_001,outflow_05_09_Illinois.csv,2005,2009
17,077,17,001,Illinois,Jackson County,57766,139,40764,1048,16481,991,6995,743,7921.0,837.0,1565,334,521.0,169.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,71,65,Jackson,Adams,17_077,17_001,outflow_05_09_Illinois.csv,2005,2009
17,083,17,001,Illinois,Jersey County,22080,91,19552,533,2474,515,1370,409,638.0,255.0,466,242,54.0,65.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,3,5,Jersey,Adams,17_083,17_001,outflow_05_09_Illinois.csv,2005,2009
17,087,17,001,Illinois,Johnson County,13554,51,10275,516,3277,514,643,203,2433.0,466.0,201,120,2.0,4.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,12,19,Johnson,Adams,17_087,17_001,outflow_05_09_Illinois.csv,2005,2009
17,089,17,001,Illinois,Kane County,486075,643,420354,3508,62153,3421,33803,2718,22788.0,2114.0,5562,739,3568.0,995.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,14,21,Kane,Adams,17_089,17_001,outflow_05_09_Illinois.csv,2005,2009
17,103,17,001,Illinois,Lee County,34545,97,30446,537,4038,525,2108,393,1536.0,339.0,394,212,61.0,53.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,51,77,Lee,Adams,17_103,17_001,outflow_05_09_Illinois.csv,2005,2009
17,105,17,001,Illinois,Livingston County,37431,135,31242,695,6134,676,3136,596,2651.0,422.0,347,162,55.0,34.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,16,22,Livingston,Adams,17_105,17_001,outflow_05_09_Illinois.csv,2005,2009
17,109,17,001,Illinois,McDonough County,32630,83,22849,727,9468,729,3926,534,5091.0,796.0,451,159,313.0,173.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,90,81,McDonough,Adams,17_109,17_001,outflow_05_09_Illinois.csv,2005,2009
17,113,17,001,Illinois,McLean County,161594,252,124843,1614,35869,1568,20419,1383,12636.0,1144.0,2814,567,882.0,204.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,95,91,McLean,Adams,17_113,17_001,outflow_05_09_Illinois.csv,2005,2009
17,115,17,001,Illinois,Macon County,107319,215,88381,1218,18655,1191,13618,995,3169.0,579.0,1868,454,283.0,172.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,27,29,Macon,Adams,17_115,17_001,outflow_05_09_Illinois.csv,2005,2009
17,119,17,001,Illinois,Madison County,263384,339,225419,2004,37612,1999,24609,2023,7472.0,968.0,5531,783,353.0,125.0,Illinois,Adams County,66459,737,56294,906,10165,1011,7036,846,1606,325,1523,387,,,63,73,Madison,Adams,17_119,17_001,outflow_05_09_Illinois.csv,2005,2009
