origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
01,091,22,001,Alabama,Marengo County,20962,130,18208,604,2753,601,1471,453,970.0,440.0,312,159,1.0,2.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,119,180,Marengo,Acadia Parish,01_091,22_001,outflow_05_09_Louisiana.csv,2005,2009
05,125,22,001,Arkansas,Saline County,93887,190,79649,1280,14113,1260,7034,1047,4914.0,710.0,2165,515,125.0,102.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,28,44,Saline,Acadia Parish,05_125,22_001,outflow_05_09_Louisiana.csv,2005,2009
06,029,22,001,California,Kern County,767646,716,608357,4691,154429,4695,102451,4131,39357.0,2585.0,12621,1400,4860.0,772.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,10,17,Kern,Acadia Parish,06_029,22_001,outflow_05_09_Louisiana.csv,2005,2009
10,001,22,001,Delaware,Kent County,149545,258,126566,1713,22383,1711,13590,1418,2842.0,528.0,5951,860,596.0,207.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,28,43,Kent,Acadia Parish,10_001,22_001,outflow_05_09_Louisiana.csv,2005,2009
12,017,22,001,Florida,Citrus County,137104,253,118453,1482,18381,1466,9430,1138,4414.0,697.0,4537,859,270.0,110.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,15,24,Citrus,Acadia Parish,12_017,22_001,outflow_05_09_Louisiana.csv,2005,2009
12,019,22,001,Florida,Clay County,177499,352,147428,2392,28877,2310,13633,1577,9878.0,1448.0,5366,748,1194.0,470.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,2,7,Clay,Acadia Parish,12_019,22_001,outflow_05_09_Louisiana.csv,2005,2009
13,089,22,001,Georgia,DeKalb County,721857,816,563434,5275,151773,5045,76911,3872,46718.0,3009.0,28144,1890,6650.0,1119.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,15,24,DeKalb,Acadia Parish,13_089,22_001,outflow_05_09_Louisiana.csv,2005,2009
13,135,22,001,Georgia,Gwinnett County,753999,899,620709,4696,127678,4607,68832,3363,29834.0,2036.0,29012,2381,5612.0,1049.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,58,95,Gwinnett,Acadia Parish,13_135,22_001,outflow_05_09_Louisiana.csv,2005,2009
18,135,22,001,Indiana,Randolph County,25729,67,22359,459,3303,463,1947,381,896.0,306.0,460,222,67.0,50.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,89,131,Randolph,Acadia Parish,18_135,22_001,outflow_05_09_Louisiana.csv,2005,2009
22,003,22,001,Louisiana,Allen Parish,25142,128,20428,566,4595,591,2070,498,1920.0,454.0,605,146,119.0,70.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,114,97,Allen Parish,Acadia Parish,22_003,22_001,outflow_05_09_Louisiana.csv,2005,2009
22,005,22,001,Louisiana,Ascension Parish,97198,197,83554,1414,13557,1459,6679,1222,4576.0,685.0,2302,615,87.0,96.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,12,19,Ascension Parish,Acadia Parish,22_005,22_001,outflow_05_09_Louisiana.csv,2005,2009
22,009,22,001,Louisiana,Avoyelles Parish,41874,100,34360,958,7389,969,4022,810,3044.0,653.0,323,151,125.0,78.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,27,29,Avoyelles Parish,Acadia Parish,22_009,22_001,outflow_05_09_Louisiana.csv,2005,2009
22,011,22,001,Louisiana,Beauregard Parish,34446,76,28277,593,6000,582,2656,419,2103.0,517.0,1241,371,169.0,73.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,8,14,Beauregard Parish,Acadia Parish,22_011,22_001,outflow_05_09_Louisiana.csv,2005,2009
22,013,22,001,Louisiana,Bienville Parish,14630,77,13261,259,1369,252,729,213,533.0,178.0,107,70,,,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,11,16,Bienville Parish,Acadia Parish,22_013,22_001,outflow_05_09_Louisiana.csv,2005,2009
22,015,22,001,Louisiana,Bossier Parish,107324,241,85817,1489,20956,1460,10170,1128,5244.0,804.0,5542,1014,551.0,252.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,18,28,Bossier Parish,Acadia Parish,22_015,22_001,outflow_05_09_Louisiana.csv,2005,2009
22,017,22,001,Louisiana,Caddo Parish,248859,352,209410,2335,38790,2332,25538,1936,7438.0,1027.0,5814,1026,659.0,289.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,8,14,Caddo Parish,Acadia Parish,22_017,22_001,outflow_05_09_Louisiana.csv,2005,2009
22,019,22,001,Louisiana,Calcasieu Parish,182473,328,145893,2341,35992,2361,25373,2032,5239.0,798.0,5380,974,588.0,293.0,Louisiana,Acadia Parish,59416,948,51210,1187,8206,1225,4865,931,2823,659,518,277,,,166,111,Calcasieu Parish,Acadia Parish,22_019,22_001,outflow_05_09_Louisiana.csv,2005,2009
