origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
04,013,26,001,Arizona,Maricopa County,3790712,1932,2993298,11083,762397,10588,569170,9886,38081.0,2432.0,155146,4477,35017.0,2618.0,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343.0,185.0,,,29,45,Maricopa,Alcona,04_013,26_001,outflow_05_09_Michigan.csv,2005,2009
05,089,26,001,Arkansas,Marion County,16421,59,14413,369,1943,350,711,240,685.0,205.0,547,208,65.0,72.0,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343.0,185.0,,,49,73,Marion,Alcona,05_089,26_001,outflow_05_09_Michigan.csv,2005,2009
12,099,26,001,Florida,Palm Beach County,1254108,871,1059021,5131,183796,4926,120456,4708,27250.0,2083.0,36090,2154,11291.0,1217.0,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343.0,185.0,,,12,20,Palm Beach,Alcona,12_099,26_001,outflow_05_09_Michigan.csv,2005,2009
12,103,26,001,Florida,Pinellas County,905503,678,762103,4594,136804,4559,93558,3697,16975.0,1279.0,26271,2370,6596.0,740.0,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343.0,185.0,,,36,58,Pinellas,Alcona,12_103,26_001,outflow_05_09_Michigan.csv,2005,2009
18,061,26,001,Indiana,Harrison County,36466,158,33307,526,3116,486,1991,385,598.0,206.0,527,201,43.0,42.0,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343.0,185.0,,,3,5,Harrison,Alcona,18_061,26_001,outflow_05_09_Michigan.csv,2005,2009
18,097,26,001,Indiana,Marion County,863989,790,684908,4421,173944,4347,125949,3877,29187.0,1666.0,18808,1314,5137.0,784.0,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343.0,185.0,,,58,60,Marion,Alcona,18_097,26_001,outflow_05_09_Michigan.csv,2005,2009
20,007,26,001,Kansas,Barber County,4651,26,4106,157,544,152,213,97,171.0,103.0,160,67,1.0,4.0,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343.0,185.0,,,2,3,Barber,Alcona,20_007,26_001,outflow_05_09_Michigan.csv,2005,2009
21,223,26,001,Kentucky,Trimble County,8759,68,7422,358,1323,345,387,205,495.0,202.0,441,219,14.0,22.0,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343.0,185.0,,,18,27,Trimble,Alcona,21_223,26_001,outflow_05_09_Michigan.csv,2005,2009
26,003,26,001,Michigan,Alger County,9437,32,8299,244,1132,235,529,179,541.0,171.0,62,33,6.0,8.0,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343.0,185.0,,,13,20,Alger,Alcona,26_003,26_001,outflow_05_09_Michigan.csv,2005,2009
26,005,26,001,Michigan,Allegan County,111173,181,100017,981,11047,950,5497,597,4605.0,782.0,945,314,109.0,58.0,Michigan,Alcona County,11830,359,10307,158,1523,323,423,103,757,260,343.0,185.0,,,14,22,Allegan,Alcona,26_005,26_001,outflow_05_09_Michigan.csv,2005,2009
