origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
008,037,027,001,Colorado,Eagle County,49766.0,269.0,42264.0,1274.0,6798.0,1158.0,3099.0,887.0,2038.0,615.0,1661.0,545.0,704.0,391.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,22.0,35.0,Eagle,Aitkin,outflow_05_09_Minnesota.csv
012,081,027,001,Florida,Manatee County,308772.0,470.0,256496.0,2800.0,50617.0,2639.0,29423.0,2193.0,9871.0,969.0,11323.0,1408.0,1659.0,518.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,29.0,46.0,Manatee,Aitkin,outflow_05_09_Minnesota.csv
013,215,027,001,Georgia,Muscogee County,186093.0,324.0,137911.0,2378.0,46528.0,2410.0,21478.0,1413.0,5684.0,859.0,19366.0,2019.0,1654.0,342.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,13.0,21.0,Muscogee,Aitkin,outflow_05_09_Minnesota.csv
016,065,027,001,Idaho,Madison County,36315.0,159.0,20281.0,725.0,15017.0,791.0,7780.0,755.0,1770.0,379.0,5467.0,760.0,1017.0,243.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,16.0,24.0,Madison,Aitkin,outflow_05_09_Minnesota.csv
017,021,027,001,Illinois,Christian County,34144.0,100.0,29690.0,580.0,4440.0,556.0,2559.0,432.0,1534.0,312.0,347.0,199.0,14.0,17.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,9.0,13.0,Christian,Aitkin,outflow_05_09_Minnesota.csv
018,003,027,001,Indiana,Allen County,342912.0,501.0,295131.0,1947.0,46480.0,1848.0,34345.0,1717.0,5675.0,713.0,6460.0,892.0,1301.0,389.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,6.0,9.0,Allen,Aitkin,outflow_05_09_Minnesota.csv
027,003,027,001,Minnesota,Anoka County,322200.0,340.0,281608.0,1917.0,39137.0,1945.0,19053.0,1483.0,16217.0,1522.0,3867.0,616.0,1455.0,463.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,79.0,77.0,Anoka,Aitkin,outflow_05_09_Minnesota.csv
027,005,027,001,Minnesota,Becker County,31373.0,75.0,27158.0,537.0,4101.0,550.0,2148.0,382.0,1344.0,395.0,609.0,163.0,114.0,93.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,211.0,277.0,Becker,Aitkin,outflow_05_09_Minnesota.csv
027,011,027,001,Minnesota,Big Stone County,5302.0,18.0,4817.0,132.0,477.0,133.0,253.0,106.0,156.0,69.0,68.0,38.0,8.0,8.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,6.0,8.0,Big Stone,Aitkin,outflow_05_09_Minnesota.csv
027,017,027,001,Minnesota,Carlton County,33468.0,95.0,29287.0,455.0,4074.0,415.0,2174.0,363.0,1671.0,301.0,229.0,84.0,107.0,86.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,27.0,33.0,Carlton,Aitkin,outflow_05_09_Minnesota.csv
027,035,027,001,Minnesota,Crow Wing County,60781.0,138.0,52377.0,740.0,8299.0,731.0,5039.0,550.0,2413.0,525.0,847.0,442.0,105.0,55.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,117.0,58.0,Crow Wing,Aitkin,outflow_05_09_Minnesota.csv
027,041,027,001,Minnesota,Douglas County,35578.0,79.0,30546.0,538.0,4979.0,537.0,2995.0,471.0,1746.0,307.0,238.0,151.0,53.0,29.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,20.0,21.0,Douglas,Aitkin,outflow_05_09_Minnesota.csv
027,049,027,001,Minnesota,Goodhue County,45084.0,99.0,39711.0,669.0,5288.0,674.0,2717.0,498.0,1700.0,343.0,871.0,274.0,85.0,47.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,28.0,39.0,Goodhue,Aitkin,outflow_05_09_Minnesota.csv
027,053,027,001,Minnesota,Hennepin County,1119973.0,686.0,917935.0,4466.0,193382.0,4563.0,125553.0,3935.0,35258.0,2247.0,32571.0,1853.0,8656.0,911.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,42.0,50.0,Hennepin,Aitkin,outflow_05_09_Minnesota.csv
027,057,027,001,Minnesota,Hubbard County,18509.0,45.0,16074.0,413.0,2414.0,399.0,864.0,195.0,966.0,278.0,584.0,227.0,21.0,17.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,32.0,41.0,Hubbard,Aitkin,outflow_05_09_Minnesota.csv
027,061,027,001,Minnesota,Itasca County,43923.0,76.0,38740.0,583.0,5127.0,580.0,2920.0,450.0,1868.0,403.0,339.0,144.0,56.0,34.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,180.0,167.0,Itasca,Aitkin,outflow_05_09_Minnesota.csv
027,065,027,001,Minnesota,Kanabec County,15859.0,55.0,14159.0,272.0,1660.0,261.0,663.0,193.0,864.0,166.0,133.0,86.0,40.0,20.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,4.0,6.0,Kanabec,Aitkin,outflow_05_09_Minnesota.csv
027,067,027,001,Minnesota,Kandiyohi County,40512.0,77.0,35619.0,692.0,4789.0,728.0,2402.0,372.0,1813.0,725.0,574.0,185.0,104.0,76.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,13.0,16.0,Kandiyohi,Aitkin,outflow_05_09_Minnesota.csv
027,083,027,001,Minnesota,Lyon County,24616.0,68.0,20171.0,424.0,4388.0,441.0,2259.0,326.0,1240.0,279.0,889.0,206.0,57.0,42.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,8.0,14.0,Lyon,Aitkin,outflow_05_09_Minnesota.csv
027,085,027,001,Minnesota,McLeod County,36369.0,118.0,31859.0,647.0,4409.0,654.0,2271.0,473.0,1489.0,307.0,649.0,238.0,101.0,66.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,6.0,8.0,McLeod,Aitkin,outflow_05_09_Minnesota.csv
027,095,027,001,Minnesota,Mille Lacs County,25712.0,98.0,22176.0,432.0,3524.0,431.0,1365.0,264.0,1922.0,315.0,237.0,58.0,12.0,9.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,92.0,80.0,Mille Lacs,Aitkin,outflow_05_09_Minnesota.csv
027,097,027,001,Minnesota,Morrison County,32326.0,70.0,28923.0,411.0,3255.0,419.0,2002.0,358.0,969.0,203.0,284.0,163.0,148.0,129.0,Minnesota,Aitkin County,16344.0,443.0,14056.0,288.0,2288.0,453.0,1016.0,231.0,1107.0,390.0,165.0,93.0,,,41.0,46.0,Morrison,Aitkin,outflow_05_09_Minnesota.csv
