origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
04,013,29,001,Arizona,Maricopa County,3790712,1932,2993298,11083,762397,10588,569170,9886,38081.0,2432.0,155146,4477,35017.0,2618.0,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,79,89,Maricopa,Adair,04_013,29_001,outflow_05_09_Missouri.csv,2005,2009
08,041,29,001,Colorado,El Paso County,577823,582,444359,4003,126618,3715,75679,3276,10472.0,1018.0,40467,2025,6846.0,852.0,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,28,43,El Paso,Adair,08_041,29_001,outflow_05_09_Missouri.csv,2005,2009
12,033,29,001,Florida,Escambia County,299000,494,232385,2483,64618,2431,36250,2204,8785.0,1218.0,19583,1425,1997.0,436.0,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,47,77,Escambia,Adair,12_033,29_001,outflow_05_09_Missouri.csv,2005,2009
12,099,29,001,Florida,Palm Beach County,1254108,871,1059021,5131,183796,4926,120456,4708,27250.0,2083.0,36090,2154,11291.0,1217.0,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,13,19,Palm Beach,Adair,12_099,29_001,outflow_05_09_Missouri.csv,2005,2009
13,059,29,001,Georgia,Clarke County,111555,252,79646,1702,31225,1696,17102,1329,10510.0,843.0,3613,524,684.0,223.0,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,11,18,Clarke,Adair,13_059,29_001,outflow_05_09_Missouri.csv,2005,2009
17,019,29,001,Illinois,Champaign County,189747,313,135121,2087,51717,1981,31028,1936,14468.0,1292.0,6221,1032,2909.0,541.0,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,46,55,Champaign,Adair,17_019,29_001,outflow_05_09_Missouri.csv,2005,2009
17,043,29,001,Illinois,DuPage County,914265,579,800776,3862,108919,3985,57203,3225,33930.0,2007.0,17786,1447,4570.0,729.0,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,54,71,DuPage,Adair,17_043,29_001,outflow_05_09_Missouri.csv,2005,2009
17,077,29,001,Illinois,Jackson County,57766,139,40764,1048,16481,991,6995,743,7921.0,837.0,1565,334,521.0,169.0,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,16,25,Jackson,Adair,17_077,29_001,outflow_05_09_Missouri.csv,2005,2009
17,097,29,001,Illinois,Lake County,693366,487,604147,3235,84504,3122,48114,2401,17192.0,1466.0,19198,1592,4715.0,705.0,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,12,17,Lake,Adair,17_097,29_001,outflow_05_09_Missouri.csv,2005,2009
17,113,29,001,Illinois,McLean County,161594,252,124843,1614,35869,1568,20419,1383,12636.0,1144.0,2814,567,882.0,204.0,Missouri,Adair County,24233,785,16991,694,7242,745,4011,489,1672,337,1559,423,,,84,96,McLean,Adair,17_113,29_001,outflow_05_09_Missouri.csv,2005,2009
