origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
002,170,030,001,Alaska,Matanuska-Susitna Borough,80867.0,150.0,65819.0,1300.0,14679.0,1278.0,6661.0,708.0,3987.0,572.0,4031.0,806.0,369.0,214.0,Montana,Beaverhead County,9293.0,354.0,7381.0,343.0,1912.0,398.0,685.0,266.0,912.0,217.0,315.0,151.0,,,26.0,42.0,Matanuska-Susitna Borough,Beaverhead,outflow_05_09_Montana.csv
002,195,030,001,Alaska,Petersburg Census Area,3790.0,43.0,3339.0,211.0,434.0,207.0,143.0,107.0,205.0,149.0,86.0,76.0,17.0,27.0,Montana,Beaverhead County,9293.0,354.0,7381.0,343.0,1912.0,398.0,685.0,266.0,912.0,217.0,315.0,151.0,,,8.0,13.0,Petersburg Census Area,Beaverhead,outflow_05_09_Montana.csv
006,011,030,001,California,Colusa County,20718.0,93.0,17076.0,651.0,3105.0,610.0,1835.0,433.0,987.0,350.0,283.0,152.0,537.0,653.0,Montana,Beaverhead County,9293.0,354.0,7381.0,343.0,1912.0,398.0,685.0,266.0,912.0,217.0,315.0,151.0,,,14.0,16.0,Colusa,Beaverhead,outflow_05_09_Montana.csv
006,097,030,001,California,Sonoma County,458705.0,539.0,386608.0,3004.0,70101.0,2909.0,51399.0,2802.0,12890.0,1208.0,5812.0,893.0,1996.0,372.0,Montana,Beaverhead County,9293.0,354.0,7381.0,343.0,1912.0,398.0,685.0,266.0,912.0,217.0,315.0,151.0,,,13.0,21.0,Sonoma,Beaverhead,outflow_05_09_Montana.csv
016,009,030,001,Idaho,Benewah County,9123.0,56.0,7871.0,219.0,1252.0,201.0,581.0,155.0,310.0,130.0,361.0,127.0,,,Montana,Beaverhead County,9293.0,354.0,7381.0,343.0,1912.0,398.0,685.0,266.0,912.0,217.0,315.0,151.0,,,10.0,16.0,Benewah,Beaverhead,outflow_05_09_Montana.csv
016,039,030,001,Idaho,Elmore County,28412.0,161.0,22144.0,1043.0,5766.0,1051.0,3052.0,696.0,437.0,201.0,2277.0,675.0,502.0,231.0,Montana,Beaverhead County,9293.0,354.0,7381.0,343.0,1912.0,398.0,685.0,266.0,912.0,217.0,315.0,151.0,,,33.0,49.0,Elmore,Beaverhead,outflow_05_09_Montana.csv
016,041,030,001,Idaho,Franklin County,12088.0,55.0,10319.0,352.0,1684.0,339.0,605.0,218.0,169.0,86.0,910.0,288.0,85.0,57.0,Montana,Beaverhead County,9293.0,354.0,7381.0,343.0,1912.0,398.0,685.0,266.0,912.0,217.0,315.0,151.0,,,67.0,104.0,Franklin,Beaverhead,outflow_05_09_Montana.csv
016,053,030,001,Idaho,Jerome County,19790.0,130.0,17527.0,515.0,2215.0,474.0,876.0,337.0,1087.0,351.0,252.0,127.0,48.0,53.0,Montana,Beaverhead County,9293.0,354.0,7381.0,343.0,1912.0,398.0,685.0,266.0,912.0,217.0,315.0,151.0,,,59.0,60.0,Jerome,Beaverhead,outflow_05_09_Montana.csv
022,051,030,001,Louisiana,Jefferson Parish,433996.0,502.0,365025.0,3783.0,67642.0,3683.0,36880.0,2676.0,20280.0,1827.0,10482.0,1206.0,1329.0,431.0,Montana,Beaverhead County,9293.0,354.0,7381.0,343.0,1912.0,398.0,685.0,266.0,912.0,217.0,315.0,151.0,,,30.0,48.0,Jefferson Parish,Beaverhead,outflow_05_09_Montana.csv
030,009,030,001,Montana,Carbon County,9688.0,31.0,8204.0,259.0,1480.0,263.0,827.0,253.0,483.0,140.0,170.0,63.0,4.0,8.0,Montana,Beaverhead County,9293.0,354.0,7381.0,343.0,1912.0,398.0,685.0,266.0,912.0,217.0,315.0,151.0,,,7.0,13.0,Carbon,Beaverhead,outflow_05_09_Montana.csv
