origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
06,037,31,001,California,Los Angeles County,9639633,2416,8385192,16130,1179519,15903,966637.0,14727.0,116102.0,4179.0,96780.0,3804.0,74922.0,2875.0,Nebraska,Adams County,31861,621,26450,674,5411,603,3564,501,1432,317,415.0,158.0,,,18,30,Los Angeles,Adams,06_037,31_001,outflow_05_09_Nebraska.csv,2005,2009
08,031,31,001,Colorado,Denver County,571132,755,444801,4003,120979,3801,65361.0,3260.0,36431.0,2068.0,19187.0,1386.0,5352.0,827.0,Nebraska,Adams County,31861,621,26450,674,5411,603,3564,501,1432,317,415.0,158.0,,,12,19,Denver,Adams,08_031,31_001,outflow_05_09_Nebraska.csv,2005,2009
08,041,31,001,Colorado,El Paso County,577823,582,444359,4003,126618,3715,75679.0,3276.0,10472.0,1018.0,40467.0,2025.0,6846.0,852.0,Nebraska,Adams County,31861,621,26450,674,5411,603,3564,501,1432,317,415.0,158.0,,,12,20,El Paso,Adams,08_041,31_001,outflow_05_09_Nebraska.csv,2005,2009
08,117,31,001,Colorado,Summit County,25907,134,21657,802,4109,803,1732.0,559.0,939.0,449.0,1438.0,504.0,141.0,80.0,Nebraska,Adams County,31861,621,26450,674,5411,603,3564,501,1432,317,415.0,158.0,,,23,32,Summit,Adams,08_117,31_001,outflow_05_09_Nebraska.csv,2005,2009
19,149,31,001,Iowa,Plymouth County,24039,79,20984,507,3038,503,2008.0,465.0,593.0,173.0,437.0,188.0,17.0,15.0,Nebraska,Adams County,31861,621,26450,674,5411,603,3564,501,1432,317,415.0,158.0,,,10,16,Plymouth,Adams,19_149,31_001,outflow_05_09_Nebraska.csv,2005,2009
20,041,31,001,Kansas,Dickinson County,18777,67,15760,500,2961,501,1499.0,424.0,703.0,227.0,759.0,278.0,56.0,42.0,Nebraska,Adams County,31861,621,26450,674,5411,603,3564,501,1432,317,415.0,158.0,,,4,6,Dickinson,Adams,20_041,31_001,outflow_05_09_Nebraska.csv,2005,2009
20,123,31,001,Kansas,Mitchell County,6301,22,5455,224,844,228,226.0,98.0,387.0,158.0,231.0,158.0,2.0,4.0,Nebraska,Adams County,31861,621,26450,674,5411,603,3564,501,1432,317,415.0,158.0,,,19,31,Mitchell,Adams,20_123,31_001,outflow_05_09_Nebraska.csv,2005,2009
24,027,31,001,Maryland,Howard County,270528,350,234336,2296,34251,2204,13289.0,1514.0,11720.0,1324.0,9242.0,1068.0,1941.0,481.0,Nebraska,Adams County,31861,621,26450,674,5411,603,3564,501,1432,317,415.0,158.0,,,36,58,Howard,Adams,24_027,31_001,outflow_05_09_Nebraska.csv,2005,2009
24,043,31,001,Maryland,Washington County,142170,251,122069,1783,19733,1709,11185.0,1431.0,4645.0,687.0,3903.0,671.0,368.0,173.0,Nebraska,Adams County,31861,621,26450,674,5411,603,3564,501,1432,317,415.0,158.0,,,38,54,Washington,Adams,24_043,31_001,outflow_05_09_Nebraska.csv,2005,2009
27,053,31,001,Minnesota,Hennepin County,1119973,686,917935,4466,193382,4563,125553.0,3935.0,35258.0,2247.0,32571.0,1853.0,8656.0,911.0,Nebraska,Adams County,31861,621,26450,674,5411,603,3564,501,1432,317,415.0,158.0,,,21,25,Hennepin,Adams,27_053,31_001,outflow_05_09_Nebraska.csv,2005,2009
