origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
001,031,035,001,Alabama,Coffee County,46160.0,126.0,36230.0,870.0,9477.0,850.0,4473.0,660.0,2443.0,663.0,2561.0,605.0,453.0,159.0,New Mexico,Bernalillo County,612170.0,2940.0,502137.0,3939.0,109975.0,4145.0,76033.0,3664.0,12846.0,1411.0,21096.0,1883.0,58.0,55.0,34.0,48.0,Coffee,Bernalillo,outflow_05_09_New Mexico.csv
001,069,035,001,Alabama,Houston County,95672.0,163.0,81756.0,728.0,13531.0,763.0,8087.0,586.0,2277.0,347.0,3167.0,391.0,385.0,182.0,New Mexico,Bernalillo County,612170.0,2940.0,502137.0,3939.0,109975.0,4145.0,76033.0,3664.0,12846.0,1411.0,21096.0,1883.0,58.0,55.0,23.0,35.0,Houston,Bernalillo,outflow_05_09_New Mexico.csv
001,077,035,001,Alabama,Lauderdale County,87528.0,196.0,74316.0,1178.0,12961.0,1152.0,7445.0,896.0,3336.0,574.0,2180.0,463.0,251.0,108.0,New Mexico,Bernalillo County,612170.0,2940.0,502137.0,3939.0,109975.0,4145.0,76033.0,3664.0,12846.0,1411.0,21096.0,1883.0,58.0,55.0,3.0,5.0,Lauderdale,Bernalillo,outflow_05_09_New Mexico.csv
001,089,035,001,Alabama,Madison County,310170.0,389.0,252912.0,2287.0,55022.0,2310.0,33567.0,2211.0,7285.0,782.0,14170.0,1705.0,2236.0,593.0,New Mexico,Bernalillo County,612170.0,2940.0,502137.0,3939.0,109975.0,4145.0,76033.0,3664.0,12846.0,1411.0,21096.0,1883.0,58.0,55.0,21.0,34.0,Madison,Bernalillo,outflow_05_09_New Mexico.csv
001,097,035,001,Alabama,Mobile County,399807.0,551.0,341967.0,2754.0,56145.0,2636.0,42234.0,2491.0,4615.0,781.0,9296.0,1058.0,1695.0,472.0,New Mexico,Bernalillo County,612170.0,2940.0,502137.0,3939.0,109975.0,4145.0,76033.0,3664.0,12846.0,1411.0,21096.0,1883.0,58.0,55.0,37.0,61.0,Mobile,Bernalillo,outflow_05_09_New Mexico.csv
001,101,035,001,Alabama,Montgomery County,220982.0,398.0,177299.0,2091.0,42491.0,2097.0,27272.0,1895.0,7494.0,952.0,7725.0,943.0,1192.0,383.0,New Mexico,Bernalillo County,612170.0,2940.0,502137.0,3939.0,109975.0,4145.0,76033.0,3664.0,12846.0,1411.0,21096.0,1883.0,58.0,55.0,14.0,22.0,Montgomery,Bernalillo,outflow_05_09_New Mexico.csv
001,109,035,001,Alabama,Pike County,29619.0,113.0,22956.0,628.0,6417.0,604.0,3287.0,469.0,2412.0,489.0,718.0,275.0,246.0,164.0,New Mexico,Bernalillo County,612170.0,2940.0,502137.0,3939.0,109975.0,4145.0,76033.0,3664.0,12846.0,1411.0,21096.0,1883.0,58.0,55.0,6.0,10.0,Pike,Bernalillo,outflow_05_09_New Mexico.csv
001,111,035,001,Alabama,Randolph County,22235.0,111.0,19135.0,632.0,3037.0,646.0,1627.0,459.0,576.0,248.0,834.0,324.0,63.0,50.0,New Mexico,Bernalillo County,612170.0,2940.0,502137.0,3939.0,109975.0,4145.0,76033.0,3664.0,12846.0,1411.0,21096.0,1883.0,58.0,55.0,18.0,29.0,Randolph,Bernalillo,outflow_05_09_New Mexico.csv
001,125,035,001,Alabama,Tuscaloosa County,176666.0,334.0,139762.0,2097.0,35550.0,2033.0,20417.0,1731.0,9799.0,1138.0,5334.0,918.0,1354.0,490.0,New Mexico,Bernalillo County,612170.0,2940.0,502137.0,3939.0,109975.0,4145.0,76033.0,3664.0,12846.0,1411.0,21096.0,1883.0,58.0,55.0,41.0,45.0,Tuscaloosa,Bernalillo,outflow_05_09_New Mexico.csv
002,020,035,001,Alaska,Anchorage Municipality,275651.0,482.0,210426.0,2824.0,62055.0,2724.0,40186.0,2078.0,6133.0,841.0,15736.0,1481.0,3170.0,642.0,New Mexico,Bernalillo County,612170.0,2940.0,502137.0,3939.0,109975.0,4145.0,76033.0,3664.0,12846.0,1411.0,21096.0,1883.0,58.0,55.0,80.0,71.0,Anchorage Municipality,Bernalillo,outflow_05_09_New Mexico.csv
