origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
01,061,37,001,Alabama,Geneva County,25489,110,21998,642,3435,620,2059,457,773.0,302.0,603,236,56.0,57.0,North Carolina,Alamance County,139570,1654,117599,1762,21971,1593,14699,1282,5382,710,1890,467,,,10,17,Geneva,Alamance,01_061,37_001,outflow_05_09_North Carolina.csv
01,069,37,001,Alabama,Houston County,95672,163,81756,728,13531,763,8087,586,2277.0,347.0,3167,391,385.0,182.0,North Carolina,Alamance County,139570,1654,117599,1762,21971,1593,14699,1282,5382,710,1890,467,,,13,19,Houston,Alamance,01_069,37_001,outflow_05_09_North Carolina.csv
01,101,37,001,Alabama,Montgomery County,220982,398,177299,2091,42491,2097,27272,1895,7494.0,952.0,7725,943,1192.0,383.0,North Carolina,Alamance County,139570,1654,117599,1762,21971,1593,14699,1282,5382,710,1890,467,,,4,9,Montgomery,Alamance,01_101,37_001,outflow_05_09_North Carolina.csv
05,011,37,001,Arkansas,Bradley County,11739,71,9865,503,1824,506,1436,409,251.0,225.0,137,132,50.0,58.0,North Carolina,Alamance County,139570,1654,117599,1762,21971,1593,14699,1282,5382,710,1890,467,,,9,17,Bradley,Alamance,05_011,37_001,outflow_05_09_North Carolina.csv
05,045,37,001,Arkansas,Faulkner County,103308,217,79508,1356,23174,1388,12112,1173,7521.0,991.0,3541,592,626.0,210.0,North Carolina,Alamance County,139570,1654,117599,1762,21971,1593,14699,1282,5382,710,1890,467,,,6,11,Faulkner,Alamance,05_045,37_001,outflow_05_09_North Carolina.csv
06,037,37,001,California,Los Angeles County,9639633,2416,8385192,16130,1179519,15903,966637,14727,116102.0,4179.0,96780,3804,74922.0,2875.0,North Carolina,Alamance County,139570,1654,117599,1762,21971,1593,14699,1282,5382,710,1890,467,,,38,67,Los Angeles,Alamance,06_037,37_001,outflow_05_09_North Carolina.csv
06,071,37,001,California,San Bernardino County,1956573,1270,1611008,8626,333997,8132,215908,6913,91509.0,3894.0,26580,2201,11568.0,1095.0,North Carolina,Alamance County,139570,1654,117599,1762,21971,1593,14699,1282,5382,710,1890,467,,,12,19,San Bernardino,Alamance,06_071,37_001,outflow_05_09_North Carolina.csv
09,011,37,001,Connecticut,New London County,263554,334,221445,2495,39908,2327,23524,1902,6234.0,692.0,10150,1193,2201.0,557.0,North Carolina,Alamance County,139570,1654,117599,1762,21971,1593,14699,1282,5382,710,1890,467,,,44,72,New London,Alamance,09_011,37_001,outflow_05_09_North Carolina.csv
12,103,37,001,Florida,Pinellas County,905503,678,762103,4594,136804,4559,93558,3697,16975.0,1279.0,26271,2370,6596.0,740.0,North Carolina,Alamance County,139570,1654,117599,1762,21971,1593,14699,1282,5382,710,1890,467,,,7,11,Pinellas,Alamance,12_103,37_001,outflow_05_09_North Carolina.csv
12,115,37,001,Florida,Sarasota County,364350,384,306554,2423,55594,2433,30746,1967,10938.0,1355.0,13910,1269,2202.0,446.0,North Carolina,Alamance County,139570,1654,117599,1762,21971,1593,14699,1282,5382,710,1890,467,,,27,40,Sarasota,Alamance,12_115,37_001,outflow_05_09_North Carolina.csv
