origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
06,067,39,001,California,Sacramento County,1356263,919,1076592,6391,270778,6312,196753,5776,55765.0,2452.0,18260,1987,8893.0,1121.0,Ohio,Adams County,28117,610,23974,634,4143,644,2443,521,1276,386,424,207,,,10,16,Sacramento,Adams,06_067,39_001,outflow_05_09_Ohio.csv,2005,2009
12,101,39,001,Florida,Pasco County,448864,517,372440,3369,74499,3197,33225,2502,25591.0,1860.0,15683,1639,1925.0,543.0,Ohio,Adams County,28117,610,23974,634,4143,644,2443,521,1276,386,424,207,,,27,42,Pasco,Adams,12_101,39_001,outflow_05_09_Ohio.csv,2005,2009
18,063,39,001,Indiana,Hendricks County,132380,196,113614,1453,18509,1420,8325,1130,7299.0,759.0,2885,556,257.0,115.0,Ohio,Adams County,28117,610,23974,634,4143,644,2443,521,1276,386,424,207,,,8,13,Hendricks,Adams,18_063,39_001,outflow_05_09_Ohio.csv,2005,2009
18,157,39,001,Indiana,Tippecanoe County,160128,311,111705,1809,46143,1722,28701,1647,10162.0,803.0,7280,743,2280.0,429.0,Ohio,Adams County,28117,610,23974,634,4143,644,2443,521,1276,386,424,207,,,17,27,Tippecanoe,Adams,18_157,39_001,outflow_05_09_Ohio.csv,2005,2009
21,023,39,001,Kentucky,Bracken County,8468,72,7248,336,1160,338,763,313,271.0,182.0,126,74,60.0,67.0,Ohio,Adams County,28117,610,23974,634,4143,644,2443,521,1276,386,424,207,,,22,32,Bracken,Adams,21_023,39_001,outflow_05_09_Ohio.csv,2005,2009
21,037,39,001,Kentucky,Campbell County,86284,166,73415,1354,12680,1315,6991,871,2778.0,501.0,2911,548,189.0,117.0,Ohio,Adams County,28117,610,23974,634,4143,644,2443,521,1276,386,424,207,,,14,23,Campbell,Adams,21_037,39_001,outflow_05_09_Ohio.csv,2005,2009
21,083,39,001,Kentucky,Graves County,36975,129,32265,796,4634,802,3012,643,916.0,310.0,706,285,76.0,53.0,Ohio,Adams County,28117,610,23974,634,4143,644,2443,521,1276,386,424,207,,,11,18,Graves,Adams,21_083,39_001,outflow_05_09_Ohio.csv,2005,2009
21,089,39,001,Kentucky,Greenup County,37169,112,33419,570,3736,573,2167,494,811.0,262.0,758,222,14.0,19.0,Ohio,Adams County,28117,610,23974,634,4143,644,2443,521,1276,386,424,207,,,2,4,Greenup,Adams,21_089,39_001,outflow_05_09_Ohio.csv,2005,2009
21,093,39,001,Kentucky,Hardin County,96543,286,76902,1547,18117,1548,8571,1077,2723.0,991.0,6823,1029,1524.0,440.0,Ohio,Adams County,28117,610,23974,634,4143,644,2443,521,1276,386,424,207,,,48,56,Hardin,Adams,21_093,39_001,outflow_05_09_Ohio.csv,2005,2009
21,173,39,001,Kentucky,Montgomery County,24872,103,21649,642,3155,649,1973,514,636.0,237.0,546,325,68.0,43.0,Ohio,Adams County,28117,610,23974,634,4143,644,2443,521,1276,386,424,207,,,45,75,Montgomery,Adams,21_173,39_001,outflow_05_09_Ohio.csv,2005,2009
