origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
04,005,46,003,Arizona,Coconino County,125363,251,100381,1820,24184,1704,13197,1289,5890.0,849.0,5097.0,786.0,798.0,519.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,8,14,Coconino,Aurora,04_005,46_003,outflow_05_09_South Dakota.csv,2005,2009
08,031,46,003,Colorado,Denver County,571132,755,444801,4003,120979,3801,65361,3260,36431.0,2068.0,19187.0,1386.0,5352.0,827.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,44,71,Denver,Aurora,08_031,46_003,outflow_05_09_South Dakota.csv,2005,2009
17,089,46,003,Illinois,Kane County,486075,643,420354,3508,62153,3421,33803,2718,22788.0,2114.0,5562.0,739.0,3568.0,995.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,10,19,Kane,Aurora,17_089,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,005,46,003,South Dakota,Beadle County,15753,48,13021,420,2680,436,1829,436,225.0,97.0,626.0,213.0,52.0,52.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,1,3,Beadle,Aurora,46_005,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,011,46,003,South Dakota,Brookings County,29077,110,20902,762,8093,743,4068,552,2477.0,505.0,1548.0,335.0,82.0,53.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,17,27,Brookings,Aurora,46_011,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,027,46,003,South Dakota,Clay County,13298,79,8872,423,4305,403,1892,413,1325.0,310.0,1088.0,239.0,121.0,90.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,10,16,Clay,Aurora,46_027,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,043,46,003,South Dakota,Douglas County,3020,22,2699,146,320,144,99,56,202.0,135.0,19.0,19.0,1.0,3.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,5,12,Douglas,Aurora,46_043,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,079,46,003,South Dakota,Lake County,11393,45,9584,316,1803,320,811,279,500.0,159.0,492.0,163.0,6.0,12.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,5,9,Lake,Aurora,46_079,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,083,46,003,South Dakota,Lincoln County,36937,122,32009,771,4846,713,1326,452,2492.0,503.0,1028.0,349.0,82.0,94.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,1,5,Lincoln,Aurora,46_083,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,099,46,003,South Dakota,Minnehaha County,173118,325,141343,2001,31377,1955,20556,1649,4946.0,710.0,5875.0,887.0,398.0,160.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,38,43,Minnehaha,Aurora,46_099,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,103,46,003,South Dakota,Pennington County,95441,239,74385,1364,20335,1307,11746,1031,3558.0,661.0,5031.0,739.0,721.0,273.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,52,38,Pennington,Aurora,46_103,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,111,46,003,South Dakota,Sanborn County,2434,13,2083,115,351,111,71,30,125.0,65.0,155.0,99.0,,,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,41,55,Sanborn,Aurora,46_111,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,115,46,003,South Dakota,Spink County,6619,26,5954,165,660,166,346,130,211.0,100.0,103.0,58.0,5.0,6.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,4,7,Spink,Aurora,46_115,46_003,outflow_05_09_South Dakota.csv,2005,2009
46,135,46,003,South Dakota,Yankton County,21488,90,17555,638,3916,651,2256,613,745.0,211.0,915.0,267.0,17.0,24.0,South Dakota,Aurora County,2888,171,2561,121,327,126,76,36,189.0,95.0,62.0,74.0,,,15,24,Yankton,Aurora,46_135,46_003,outflow_05_09_South Dakota.csv,2005,2009
04,013,46,005,Arizona,Maricopa County,3790712,1932,2993298,11083,762397,10588,569170,9886,38081.0,2432.0,155146.0,4477.0,35017.0,2618.0,South Dakota,Beadle County,15580,326,13021,420,2559,509,1829,436,461.0,159.0,269.0,164.0,,,25,39,Maricopa,Beadle,04_013,46_005,outflow_05_09_South Dakota.csv,2005,2009
06,073,46,005,California,San Diego County,2942250,1336,2402432,8152,505688,7975,363883,7418,64096.0,3642.0,77709.0,3350.0,34130.0,2164.0,South Dakota,Beadle County,15580,326,13021,420,2559,509,1829,436,461.0,159.0,269.0,164.0,,,18,29,San Diego,Beadle,06_073,46_005,outflow_05_09_South Dakota.csv,2005,2009
17,091,46,005,Illinois,Kankakee County,109810,233,90821,1414,18792,1340,11143,1119,5598.0,841.0,2051.0,443.0,197.0,81.0,South Dakota,Beadle County,15580,326,13021,420,2559,509,1829,436,461.0,159.0,269.0,164.0,,,17,21,Kankakee,Beadle,17_091,46_005,outflow_05_09_South Dakota.csv,2005,2009
27,037,46,005,Minnesota,Dakota County,383542,403,334563,2623,46977,2498,24404,1996,15307.0,1120.0,7266.0,857.0,2002.0,537.0,South Dakota,Beadle County,15580,326,13021,420,2559,509,1829,436,461.0,159.0,269.0,164.0,,,103,138,Dakota,Beadle,27_037,46_005,outflow_05_09_South Dakota.csv,2005,2009
27,099,46,005,Minnesota,Mower County,37463,123,33167,531,4167,508,2683,480,933.0,188.0,551.0,167.0,129.0,66.0,South Dakota,Beadle County,15580,326,13021,420,2559,509,1829,436,461.0,159.0,269.0,164.0,,,34,53,Mower,Beadle,27_099,46_005,outflow_05_09_South Dakota.csv,2005,2009
29,169,46,005,Missouri,Pulaski County,44053,131,26261,935,16969,908,4475,814,2096.0,552.0,10398.0,710.0,823.0,295.0,South Dakota,Beadle County,15580,326,13021,420,2559,509,1829,436,461.0,159.0,269.0,164.0,,,15,26,Pulaski,Beadle,29_169,46_005,outflow_05_09_South Dakota.csv,2005,2009
