origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
06,037,51,001,California,Los Angeles County,9639633.0,2416.0,8385192.0,16130.0,1179519.0,15903.0,966637.0,14727.0,116102.0,4179.0,96780.0,3804.0,74922.0,2875.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,15.0,23.0,Los Angeles,Accomack,06_037,51_001,outflow_05_09_Virginia.csv
10,005,51,001,Delaware,Sussex County,182811.0,268.0,161253.0,1719.0,20653.0,1634.0,11297.0,1290.0,1896.0,405.0,7460.0,855.0,905.0,509.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,79.0,122.0,Sussex,Accomack,10_005,51_001,outflow_05_09_Virginia.csv
12,009,51,001,Florida,Brevard County,527095.0,461.0,448165.0,3644.0,76721.0,3439.0,47486.0,2620.0,12992.0,1586.0,16243.0,1436.0,2209.0,522.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,17.0,27.0,Brevard,Accomack,12_009,51_001,outflow_05_09_Virginia.csv
12,015,51,001,Florida,Charlotte County,154762.0,244.0,130661.0,1728.0,23671.0,1650.0,11565.0,1398.0,6557.0,984.0,5549.0,818.0,430.0,204.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,58.0,65.0,Charlotte,Accomack,12_015,51_001,outflow_05_09_Virginia.csv
12,057,51,001,Florida,Hillsborough County,1150726.0,803.0,918416.0,5632.0,223215.0,5381.0,152269.0,4424.0,32928.0,2108.0,38018.0,2485.0,9095.0,1192.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,202.0,185.0,Hillsborough,Accomack,12_057,51_001,outflow_05_09_Virginia.csv
12,086,51,001,Florida,Miami-Dade County,2423752.0,1341.0,2064866.0,7611.0,323433.0,7176.0,261685.0,6790.0,30420.0,2153.0,31328.0,2220.0,35453.0,2383.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,2.0,1.0,Miami-Dade,Accomack,12_086,51_001,outflow_05_09_Virginia.csv
12,125,51,001,Florida,Union County,14396.0,76.0,11476.0,660.0,2892.0,652.0,718.0,271.0,1925.0,613.0,249.0,130.0,28.0,34.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,14.0,22.0,Union,Accomack,12_125,51_001,outflow_05_09_Virginia.csv
13,139,51,001,Georgia,Hall County,174573.0,433.0,147134.0,2253.0,26632.0,2212.0,16536.0,1877.0,7184.0,805.0,2912.0,644.0,807.0,330.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,152.0,242.0,Hall,Accomack,13_139,51_001,outflow_05_09_Virginia.csv
17,097,51,001,Illinois,Lake County,693366.0,487.0,604147.0,3235.0,84504.0,3122.0,48114.0,2401.0,17192.0,1466.0,19198.0,1592.0,4715.0,705.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,21.0,34.0,Lake,Accomack,17_097,51_001,outflow_05_09_Virginia.csv
23,031,51,001,Maine,York County,199070.0,245.0,174288.0,1918.0,24324.0,1959.0,13471.0,1322.0,4248.0,770.0,6605.0,913.0,458.0,164.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,32.0,49.0,York,Accomack,23_031,51_001,outflow_05_09_Virginia.csv
24,021,51,001,Maryland,Frederick County,221049.0,302.0,191078.0,2053.0,28796.0,2095.0,14842.0,1600.0,8353.0,1053.0,5601.0,767.0,1175.0,364.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,37.0,53.0,Frederick,Accomack,24_021,51_001,outflow_05_09_Virginia.csv
24,031,51,001,Maryland,Montgomery County,932026.0,770.0,794535.0,4206.0,121700.0,4047.0,69711.0,3287.0,15919.0,1318.0,36070.0,1884.0,15791.0,1608.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,51.0,77.0,Montgomery,Accomack,24_031,51_001,outflow_05_09_Virginia.csv
24,037,51,001,Maryland,St. Mary's County,98673.0,256.0,82316.0,1362.0,15614.0,1274.0,6916.0,845.0,3972.0,885.0,4726.0,807.0,743.0,303.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,14.0,24.0,St. Mary's,Accomack,24_037,51_001,outflow_05_09_Virginia.csv
24,039,51,001,Maryland,Somerset County,25783.0,92.0,20662.0,721.0,5039.0,719.0,1656.0,436.0,2811.0,490.0,572.0,277.0,82.0,64.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,4.0,8.0,Somerset,Accomack,24_039,51_001,outflow_05_09_Virginia.csv
24,041,51,001,Maryland,Talbot County,35597.0,95.0,30997.0,748.0,4509.0,721.0,2525.0,455.0,1491.0,500.0,493.0,207.0,91.0,102.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,7.0,11.0,Talbot,Accomack,24_041,51_001,outflow_05_09_Virginia.csv
24,045,51,001,Maryland,Wicomico County,91580.0,214.0,73996.0,1448.0,17073.0,1412.0,10517.0,1094.0,3806.0,700.0,2750.0,509.0,511.0,267.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,69.0,67.0,Wicomico,Accomack,24_045,51_001,outflow_05_09_Virginia.csv
24,047,51,001,Maryland,Worcester County,48524.0,139.0,42622.0,1054.0,5561.0,985.0,2246.0,505.0,2301.0,806.0,1014.0,316.0,341.0,306.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,168.0,209.0,Worcester,Accomack,24_047,51_001,outflow_05_09_Virginia.csv
25,025,51,001,Massachusetts,Suffolk County,720614.0,766.0,559410.0,4973.0,148135.0,4912.0,87295.0,4179.0,33014.0,2083.0,27826.0,1880.0,13069.0,1542.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,36.0,41.0,Suffolk,Accomack,25_025,51_001,outflow_05_09_Virginia.csv
29,037,51,001,Missouri,Cass County,95995.0,180.0,80897.0,1150.0,14900.0,1156.0,7604.0,1091.0,5188.0,747.0,2108.0,451.0,198.0,111.0,Virginia,Accomack County,38790.0,733.0,34122.0,707.0,4668.0,858.0,2228.0,611.0,1142.0,422.0,1298.0,482.0,,,55.0,79.0,Cass,Accomack,29_037,51_001,outflow_05_09_Virginia.csv
