origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
02,020,56,001,Alaska,Anchorage Municipality,275651,482,210426,2824,62055,2724,40186,2078,6133.0,841.0,15736,1481,3170.0,642.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,35,46,Anchorage Municipality,Albany,02_020,56_001,outflow_05_09_Wyoming.csv
04,013,56,001,Arizona,Maricopa County,3790712,1932,2993298,11083,762397,10588,569170,9886,38081.0,2432.0,155146,4477,35017.0,2618.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,72,55,Maricopa,Albany,04_013,56_001,outflow_05_09_Wyoming.csv
04,019,56,001,Arizona,Pima County,976344,825,766189,5644,200553,5726,143700,5281,17666.0,1836.0,39187,2394,9602.0,1195.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,12,19,Pima,Albany,04_019,56_001,outflow_05_09_Wyoming.csv
04,021,56,001,Arizona,Pinal County,291403,462,220095,3651,68430,3481,24302,2293,28020.0,2415.0,16108,1551,2878.0,672.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,12,18,Pinal,Albany,04_021,56_001,outflow_05_09_Wyoming.csv
04,025,56,001,Arizona,Yavapai County,206686,384,171335,2504,34390,2526,19147,1923,6177.0,948.0,9066,1236,961.0,366.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,50,60,Yavapai,Albany,04_025,56_001,outflow_05_09_Wyoming.csv
06,023,56,001,California,Humboldt County,127421,258,103284,1611,23627,1491,15167,1256,5744.0,695.0,2716,552,510.0,192.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,62,67,Humboldt,Albany,06_023,56_001,outflow_05_09_Wyoming.csv
06,037,56,001,California,Los Angeles County,9639633,2416,8385192,16130,1179519,15903,966637,14727,116102.0,4179.0,96780,3804,74922.0,2875.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,25,29,Los Angeles,Albany,06_037,56_001,outflow_05_09_Wyoming.csv
06,053,56,001,California,Monterey County,397750,623,326404,2670,67220,2615,44314,2598,13986.0,1292.0,8920,922,4126.0,590.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,21,32,Monterey,Albany,06_053,56_001,outflow_05_09_Wyoming.csv
06,065,56,001,California,Riverside County,2005811,1137,1644224,7910,348946,7731,217463,5782,106373.0,4612.0,25110,1945,12641.0,1306.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,20,30,Riverside,Albany,06_065,56_001,outflow_05_09_Wyoming.csv
06,067,56,001,California,Sacramento County,1356263,919,1076592,6391,270778,6312,196753,5776,55765.0,2452.0,18260,1987,8893.0,1121.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,13,21,Sacramento,Albany,06_067,56_001,outflow_05_09_Wyoming.csv
06,073,56,001,California,San Diego County,2942250,1336,2402432,8152,505688,7975,363883,7418,64096.0,3642.0,77709,3350,34130.0,2164.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,49,58,San Diego,Albany,06_073,56_001,outflow_05_09_Wyoming.csv
06,083,56,001,California,Santa Barbara County,395879,550,307500,3537,84567,3470,57781,3075,18235.0,1227.0,8551,958,3812.0,530.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,17,29,Santa Barbara,Albany,06_083,56_001,outflow_05_09_Wyoming.csv
06,087,56,001,California,Santa Cruz County,248017,366,201203,2589,44738,2509,29439,2111,11930.0,1171.0,3369,675,2076.0,481.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,13,24,Santa Cruz,Albany,06_087,56_001,outflow_05_09_Wyoming.csv
06,101,56,001,California,Sutter County,89387,279,74093,1320,14007,1302,8396,1082,4473.0,744.0,1138,422,1287.0,397.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,15,24,Sutter,Albany,06_101,56_001,outflow_05_09_Wyoming.csv
06,111,56,001,California,Ventura County,781459,684,675019,4258,101161,4238,67554,3292,23156.0,2070.0,10451,1138,5279.0,851.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,19,30,Ventura,Albany,06_111,56_001,outflow_05_09_Wyoming.csv
06,113,56,001,California,Yolo County,190575,351,141148,2374,47618,2369,26762,1811,18133.0,2148.0,2723,603,1809.0,353.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,34,55,Yolo,Albany,06_113,56_001,outflow_05_09_Wyoming.csv
08,001,56,001,Colorado,Adams County,411985,541,334356,2980,74890,3001,37178,2285,27592.0,2102.0,10120,1220,2739.0,678.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,97,75,Adams,Albany,08_001,56_001,outflow_05_09_Wyoming.csv
08,005,56,001,Colorado,Arapahoe County,536072,583,440783,3280,91705,3139,42087,2280,32640.0,1851.0,16978,1508,3584.0,635.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,46,38,Arapahoe,Albany,08_005,56_001,outflow_05_09_Wyoming.csv
08,013,56,001,Colorado,Boulder County,291654,371,221555,2473,67263,2511,37267,2098,14318.0,1460.0,15678,1504,2836.0,691.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,11,17,Boulder,Albany,08_013,56_001,outflow_05_09_Wyoming.csv
08,031,56,001,Colorado,Denver County,571132,755,444801,4003,120979,3801,65361,3260,36431.0,2068.0,19187,1386,5352.0,827.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,20,24,Denver,Albany,08_031,56_001,outflow_05_09_Wyoming.csv
08,035,56,001,Colorado,Douglas County,265412,320,220201,2586,44185,2594,16842,1745,14669.0,1267.0,12674,1529,1026.0,347.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,62,71,Douglas,Albany,08_035,56_001,outflow_05_09_Wyoming.csv
08,041,56,001,Colorado,El Paso County,577823,582,444359,4003,126618,3715,75679,3276,10472.0,1018.0,40467,2025,6846.0,852.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,25,40,El Paso,Albany,08_041,56_001,outflow_05_09_Wyoming.csv
08,057,56,001,Colorado,Jackson County,1305,120,1161,118,144,65,53,31,23.0,18.0,68,50,,,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,15,24,Jackson,Albany,08_057,56_001,outflow_05_09_Wyoming.csv
08,059,56,001,Colorado,Jefferson County,522633,413,434256,3098,86236,3084,41966,2138,30008.0,2087.0,14262,1327,2141.0,514.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,58,64,Jefferson,Albany,08_059,56_001,outflow_05_09_Wyoming.csv
08,063,56,001,Colorado,Kit Carson County,7984,40,6307,375,1405,273,682,295,421.0,152.0,302,156,272.0,255.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,5,8,Kit Carson,Albany,08_063,56_001,outflow_05_09_Wyoming.csv
08,067,56,001,Colorado,La Plata County,49100,137,38441,837,10374,846,5637,697,1541.0,442.0,3196,561,285.0,207.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,15,25,La Plata,Albany,08_067,56_001,outflow_05_09_Wyoming.csv
08,069,56,001,Colorado,Larimer County,283350,349,215689,2463,66295,2451,40779,2013,11711.0,1404.0,13805,998,1366.0,333.0,Wyoming,Albany County,32389,794,22348,708,10041,790,4749,563,1353,298,3939,452,,,211,135,Larimer,Albany,08_069,56_001,outflow_05_09_Wyoming.csv
