origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
01,003,01,001,Alabama,Baldwin County,184905.0,346.0,151868.0,2529.0,32178.0,2538.0,18726.0,2001.0,5903.0,1072.0,7549.0,1337.0,859.0,315.0,Alabama,Autauga County,54759.0,1115.0,46357.0,1182.0,8402.0,1191.0,3805.0,877.0,2987.0,622.0,1610.0,463.0,,,62.0,48.0,Baldwin,Autauga,01_003,01_001,outflow_09_13_Alabama.csv
01,005,01,001,Alabama,Barbour County,27021.0,112.0,22907.0,472.0,4009.0,465.0,1743.0,346.0,1611.0,222.0,655.0,213.0,105.0,95.0,Alabama,Autauga County,54759.0,1115.0,46357.0,1182.0,8402.0,1191.0,3805.0,877.0,2987.0,622.0,1610.0,463.0,,,10.0,16.0,Barbour,Autauga,01_005,01_001,outflow_09_13_Alabama.csv
01,007,01,001,Alabama,Bibb County,22557.0,97.0,19539.0,782.0,2959.0,764.0,1580.0,653.0,1140.0,311.0,239.0,245.0,59.0,79.0,Alabama,Autauga County,54759.0,1115.0,46357.0,1182.0,8402.0,1191.0,3805.0,877.0,2987.0,622.0,1610.0,463.0,,,118.0,127.0,Bibb,Autauga,01_007,01_001,outflow_09_13_Alabama.csv
01,009,01,001,Alabama,Blount County,56983.0,163.0,50546.0,1036.0,6328.0,1023.0,3152.0,691.0,2453.0,571.0,723.0,300.0,109.0,86.0,Alabama,Autauga County,54759.0,1115.0,46357.0,1182.0,8402.0,1191.0,3805.0,877.0,2987.0,622.0,1610.0,463.0,,,37.0,62.0,Blount,Autauga,01_009,01_001,outflow_09_13_Alabama.csv
01,011,01,001,Alabama,Bullock County,10648.0,94.0,9015.0,493.0,1608.0,495.0,909.0,425.0,528.0,272.0,171.0,106.0,25.0,41.0,Alabama,Autauga County,54759.0,1115.0,46357.0,1182.0,8402.0,1191.0,3805.0,877.0,2987.0,622.0,1610.0,463.0,,,7.0,11.0,Bullock,Autauga,01_011,01_001,outflow_09_13_Alabama.csv
01,015,01,001,Alabama,Calhoun County,116574.0,212.0,97423.0,1301.0,18893.0,1340.0,11601.0,1303.0,4768.0,734.0,2524.0,622.0,258.0,138.0,Alabama,Autauga County,54759.0,1115.0,46357.0,1182.0,8402.0,1191.0,3805.0,877.0,2987.0,622.0,1610.0,463.0,,,18.0,30.0,Calhoun,Autauga,01_015,01_001,outflow_09_13_Alabama.csv
01,023,01,001,Alabama,Choctaw County,13515.0,60.0,12346.0,302.0,1169.0,303.0,716.0,223.0,220.0,102.0,233.0,113.0,,,Alabama,Autauga County,54759.0,1115.0,46357.0,1182.0,8402.0,1191.0,3805.0,877.0,2987.0,622.0,1610.0,463.0,,,43.0,61.0,Choctaw,Autauga,01_023,01_001,outflow_09_13_Alabama.csv
01,031,01,001,Alabama,Coffee County,49864.0,206.0,41531.0,840.0,7867.0,803.0,3181.0,552.0,1892.0,546.0,2794.0,733.0,466.0,211.0,Alabama,Autauga County,54759.0,1115.0,46357.0,1182.0,8402.0,1191.0,3805.0,877.0,2987.0,622.0,1610.0,463.0,,,33.0,34.0,Coffee,Autauga,01_031,01_001,outflow_09_13_Alabama.csv
01,033,01,001,Alabama,Colbert County,54004.0,138.0,47116.0,763.0,6754.0,702.0,3686.0,588.0,2183.0,492.0,885.0,315.0,134.0,141.0,Alabama,Autauga County,54759.0,1115.0,46357.0,1182.0,8402.0,1191.0,3805.0,877.0,2987.0,622.0,1610.0,463.0,,,39.0,84.0,Colbert,Autauga,01_033,01_001,outflow_09_13_Alabama.csv
01,037,01,001,Alabama,Coosa County,11151.0,39.0,9719.0,347.0,1390.0,337.0,647.0,215.0,703.0,301.0,40.0,36.0,42.0,75.0,Alabama,Autauga County,54759.0,1115.0,46357.0,1182.0,8402.0,1191.0,3805.0,877.0,2987.0,622.0,1610.0,463.0,,,12.0,16.0,Coosa,Autauga,01_037,01_001,outflow_09_13_Alabama.csv
