origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
02,020,02,013,Alaska,Anchorage Municipality,290691.0,472.0,231102.0,2593.0,56928.0,2476.0,35631.0,2367.0,5778.0,794.0,15519.0,1304.0,2661.0,505.0,Alaska,Aleutians East Borough,2928.0,228.0,2416.0,159.0,479.0,158.0,101.0,43.0,378.0,161.0,,,33.0,51.0,227.0,158.0,Anchorage Municipality,Aleutians East Borough,02_020,02_013,outflow_09_13_Alaska.csv,2009,2013
02,050,02,013,Alaska,Bethel Census Area,17003.0,52.0,14484.0,436.0,2511.0,415.0,1747.0,410.0,438.0,125.0,326.0,141.0,8.0,9.0,Alaska,Aleutians East Borough,2928.0,228.0,2416.0,159.0,479.0,158.0,101.0,43.0,378.0,161.0,,,33.0,51.0,22.0,11.0,Bethel Census Area,Aleutians East Borough,02_050,02_013,outflow_09_13_Alaska.csv,2009,2013
02,090,02,013,Alaska,Fairbanks North Star Borough,97171.0,244.0,71748.0,1643.0,23900.0,1578.0,13633.0,1359.0,2416.0,555.0,7851.0,1092.0,1523.0,411.0,Alaska,Aleutians East Borough,2928.0,228.0,2416.0,159.0,479.0,158.0,101.0,43.0,378.0,161.0,,,33.0,51.0,27.0,27.0,Fairbanks North Star Borough,Aleutians East Borough,02_090,02_013,outflow_09_13_Alaska.csv,2009,2013
02,110,02,013,Alaska,Juneau City and Borough,31475.0,97.0,25496.0,727.0,5842.0,752.0,3788.0,629.0,603.0,264.0,1451.0,391.0,137.0,82.0,Alaska,Aleutians East Borough,2928.0,228.0,2416.0,159.0,479.0,158.0,101.0,43.0,378.0,161.0,,,33.0,51.0,8.0,10.0,Juneau City and Borough,Aleutians East Borough,02_110,02_013,outflow_09_13_Alaska.csv,2009,2013
02,130,02,013,Alaska,Ketchikan Gateway Borough,13448.0,48.0,10524.0,322.0,2884.0,332.0,1937.0,325.0,429.0,152.0,518.0,139.0,40.0,33.0,Alaska,Aleutians East Borough,2928.0,228.0,2416.0,159.0,479.0,158.0,101.0,43.0,378.0,161.0,,,33.0,51.0,4.0,7.0,Ketchikan Gateway Borough,Aleutians East Borough,02_130,02_013,outflow_09_13_Alaska.csv,2009,2013
02,170,02,013,Alaska,Matanuska-Susitna Borough,90256.0,149.0,75823.0,1137.0,14167.0,1140.0,7851.0,921.0,3575.0,598.0,2741.0,389.0,266.0,110.0,Alaska,Aleutians East Borough,2928.0,228.0,2416.0,159.0,479.0,158.0,101.0,43.0,378.0,161.0,,,33.0,51.0,70.0,54.0,Matanuska-Susitna Borough,Aleutians East Borough,02_170,02_013,outflow_09_13_Alaska.csv,2009,2013
02,240,02,013,Alaska,Southeast Fairbanks Census Area,6967.0,28.0,5360.0,267.0,1583.0,255.0,641.0,149.0,385.0,118.0,557.0,214.0,24.0,34.0,Alaska,Aleutians East Borough,2928.0,228.0,2416.0,159.0,479.0,158.0,101.0,43.0,378.0,161.0,,,33.0,51.0,20.0,32.0,Southeast Fairbanks Census Area,Aleutians East Borough,02_240,02_013,outflow_09_13_Alaska.csv,2009,2013
72,127,02,013,Puerto Rico,San Juan Municipio,383291.0,362.0,338118.0,2156.0,39941.0,2119.0,25827.0,1499.0,14114.0,1379.0,3451.0,569.0,1781.0,361.0,Alaska,Aleutians East Borough,2928.0,228.0,2416.0,159.0,479.0,158.0,101.0,43.0,378.0,161.0,,,33.0,51.0,33.0,51.0,San Juan Municipio,Aleutians East Borough,72_127,02_013,outflow_09_13_Alaska.csv,2009,2013
02,013,02,016,Alaska,Aleutians East Borough,3123.0,32.0,2416.0,159.0,684.0,163.0,101.0,43.0,88.0,36.0,495.0,146.0,23.0,19.0,Alaska,Aleutians West Census Area,5422.0,298.0,4474.0,150.0,948.0,262.0,314.0,88.0,62.0,35.0,572.0,233.0,,,18.0,18.0,Aleutians East Borough,Aleutians West Census Area,02_013,02_016,outflow_09_13_Alaska.csv,2009,2013
02,020,02,016,Alaska,Anchorage Municipality,290691.0,472.0,231102.0,2593.0,56928.0,2476.0,35631.0,2367.0,5778.0,794.0,15519.0,1304.0,2661.0,505.0,Alaska,Aleutians West Census Area,5422.0,298.0,4474.0,150.0,948.0,262.0,314.0,88.0,62.0,35.0,572.0,233.0,,,4.0,7.0,Anchorage Municipality,Aleutians West Census Area,02_020,02_016,outflow_09_13_Alaska.csv,2009,2013
